tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CAK9059675.1, -, PTHR11139.orig.30.pi, -,1.8e-173,581.6,35.4,1e-174,581.4,35.4,GCA_963969995.1
CAK9094971.1, -, PTHR11139.orig.30.pi, -,8.7e-72,244.3,19.8,1e-70,240.7,19.8,GCA_963969995.1
CAK9032960.1, -, PTHR11139.orig.30.pi, -,1.6e-70,240.1,5.0,3e-70,239.1,5.0,GCA_963969995.1
CAK9031417.1, -, PTHR11139.orig.30.pi, -,1.8e-70,239.9,4.6,3.6e-70,238.9,4.6,GCA_963969995.1
CAK9002937.1, -, PTHR11139.orig.30.pi, -,2.4e-27,96.9,1.1,4.6e-27,95.9,0.4,GCA_963969995.1
CAK8993716.1, -, PTHR11139.orig.30.pi, -,1.8e-14,54.1,10.0,1.4e-05,24.7,2.3,GCA_963969995.1
CAK9034636.1, -, PTHR11139.orig.30.pi, -,2.3e-11,43.8,0.5,7.5e-11,42.1,0.5,GCA_963969995.1
CAK9004655.1, -, PTHR11139.orig.30.pi, -,6.7e-11,42.3,1.7,3.5e-10,39.9,1.7,GCA_963969995.1
CAK9033216.1, -, PTHR11139.orig.30.pi, -,2.3e-10,40.5,0.2,2.3e-10,40.5,0.2,GCA_963969995.1
CAK9054250.1, -, PTHR11139.orig.30.pi, -,4.6e-10,39.5,1.0,4.6e-10,39.5,1.0,GCA_963969995.1
CAK9004819.1, -, PTHR11139.orig.30.pi, -,3.2e-09,36.7,1.7,3.2e-09,36.7,1.7,GCA_963969995.1
CAK9004821.1, -, PTHR11139.orig.30.pi, -,3.3e-09,36.7,1.8,3.3e-09,36.7,1.8,GCA_963969995.1
CAK9004822.1, -, PTHR11139.orig.30.pi, -,3.3e-09,36.7,1.8,3.3e-09,36.7,1.8,GCA_963969995.1
CAK9105565.1, -, PTHR11139.orig.30.pi, -,1.5e-08,34.4,0.1,2.3e-08,33.9,0.1,GCA_963969995.1
CAK9105035.1, -, PTHR11139.orig.30.pi, -,3e-08,33.5,0.0,4.7e-08,32.8,0.0,GCA_963969995.1
CAK9096121.1, -, PTHR11139.orig.30.pi, -,3.3e-08,33.3,0.4,3.6e-07,29.9,0.0,GCA_963969995.1
CAK9095470.1, -, PTHR11139.orig.30.pi, -,3.5e-08,33.3,0.4,3.6e-07,29.9,0.0,GCA_963969995.1
CAK8988717.1, -, PTHR11139.orig.30.pi, -,3.5e-07,30.0,14.0,0.00023,20.6,5.9,GCA_963969995.1
CAK9031415.1, -, PTHR11139.orig.30.pi, -,1.6e-06,27.7,0.0,1.6e-06,27.7,0.0,GCA_963969995.1
CAK9032959.1, -, PTHR11139.orig.30.pi, -,1.6e-06,27.7,0.0,1.6e-06,27.7,0.0,GCA_963969995.1
CAK9072486.1, -, PTHR11139.orig.30.pi, -,4.8e-06,26.2,0.1,6.8e-06,25.7,0.1,GCA_963969995.1
CAK8988719.1, -, PTHR11139.orig.30.pi, -,4.8e-06,26.2,9.5,0.00016,21.1,8.5,GCA_963969995.1
CAK9072652.1, -, PTHR11139.orig.30.pi, -,1.2e-05,24.9,0.1,1.9e-05,24.2,0.1,GCA_963969995.1
CAK9009471.1, -, PTHR11139.orig.30.pi, -,1.6e-05,24.4,8.6,0.0028,17.0,0.0,GCA_963969995.1
CAK9089117.1, -, PTHR11139.orig.30.pi, -,2.3e-05,23.9,4.2,0.00019,20.9,4.2,GCA_963969995.1
CAK9113421.1, -, PTHR11139.orig.30.pi, -,2.7e-05,23.7,1.4,0.0019,17.5,1.4,GCA_963969995.1
CAK9113466.1, -, PTHR11139.orig.30.pi, -,2.7e-05,23.7,1.4,0.0019,17.5,1.4,GCA_963969995.1
CAK9014571.1, -, PTHR11139.orig.30.pi, -,0.0001,21.7,0.8,0.002,17.5,0.7,GCA_963969995.1
CAK8987628.1, -, PTHR11139.orig.30.pi, -,0.00018,20.9,0.1,0.00025,20.5,0.1,GCA_963969995.1
CAK9034480.1, -, PTHR11139.orig.30.pi, -,0.0004,19.8,31.7,0.077,12.2,13.6,GCA_963969995.1
CAK9025883.1, -, PTHR11139.orig.30.pi, -,0.00049,19.5,9.3,0.00049,19.5,9.3,GCA_963969995.1
CAK8989299.1, -, PTHR11139.orig.30.pi, -,0.00059,19.2,13.5,0.0029,16.9,10.2,GCA_963969995.1
CAK9105744.1, -, PTHR11139.orig.30.pi, -,0.0013,18.1,5.3,0.0032,16.8,5.2,GCA_963969995.1
CAK9067825.1, -, PTHR11139.orig.30.pi, -,0.0015,17.9,0.0,0.0061,15.9,0.0,GCA_963969995.1
CAK9023818.1, -, PTHR11139.orig.30.pi, -,0.0019,17.5,7.0,0.0024,17.2,7.0,GCA_963969995.1
CAK9016375.1, -, PTHR11139.orig.30.pi, -,0.0026,17.1,14.4,0.0045,16.3,14.4,GCA_963969995.1
CAK9062048.1, -, PTHR11139.orig.30.pi, -,0.0027,17.0,0.2,0.0039,16.5,0.2,GCA_963969995.1
CAK8988631.1, -, PTHR11139.orig.30.pi, -,0.0035,16.7,1.8,0.034,13.4,1.1,GCA_963969995.1
CAK9080972.1, -, PTHR11139.orig.30.pi, -,0.0048,16.2,0.0,0.0074,15.6,0.0,GCA_963969995.1
CAK9081932.1, -, PTHR11139.orig.30.pi, -,0.0048,16.2,0.0,0.0074,15.6,0.0,GCA_963969995.1
CAK9036427.1, -, PTHR11139.orig.30.pi, -,0.016,14.5,0.1,0.19,10.9,0.0,GCA_963969995.1
CAK9114430.1, -, PTHR11139.orig.30.pi, -,0.024,13.9,1.3,0.076,12.2,1.5,GCA_963969995.1
CAK9114428.1, -, PTHR11139.orig.30.pi, -,0.026,13.8,1.2,0.098,11.9,1.5,GCA_963969995.1
CAK9105276.1, -, PTHR11139.orig.30.pi, -,0.032,13.5,4.5,0.045,13.0,4.5,GCA_963969995.1
CAK9008804.1, -, PTHR11139.orig.30.pi, -,0.069,12.4,4.4,0.076,12.2,4.4,GCA_963969995.1
CAK9094867.1, -, PTHR11139.orig.30.pi, -,0.079,12.2,0.6,0.14,11.4,0.2,GCA_963969995.1
CAK9002157.1, -, PTHR11139.orig.30.pi, -,0.12,11.6,1.2,0.13,11.4,1.2,GCA_963969995.1
CAK9013131.1, -, PTHR11139.orig.30.pi, -,0.14,11.3,0.1,0.17,11.1,0.1,GCA_963969995.1
CAK9112624.1, -, PTHR11139.orig.30.pi, -,0.26,10.5,1.5,0.3,10.2,1.5,GCA_963969995.1
CAK9112660.1, -, PTHR11139.orig.30.pi, -,0.26,10.5,1.5,0.31,10.2,1.5,GCA_963969995.1
CAK8990191.1, -, PTHR11139.orig.30.pi, -,0.26,10.5,0.2,0.28,10.4,0.2,GCA_963969995.1
CAK9041635.1, -, PTHR11139.orig.30.pi, -,0.37,9.9,3.2,0.42,9.8,3.2,GCA_963969995.1
CAK9040792.1, -, PTHR11139.orig.30.pi, -,1.9,7.6,5.3,4.4,6.4,5.3,GCA_963969995.1
CAK9057040.1, -, PTHR11139.orig.30.pi, -,9.3,5.3,6.5,10.0,5.2,6.5,GCA_963969995.1
