tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EEY66214.1, -, PTHR13298.orig.30.pi, -,0.0,1114.3,0.0,0.0,1114.0,0.0,GCA_000142945.1
EEY66144.1, -, PTHR13298.orig.30.pi, -,0.048,10.9,0.0,0.065,10.5,0.0,GCA_000142945.1
EEY65834.1, -, PTHR13298.orig.30.pi, -,0.19,9.0,0.0,0.46,7.7,0.0,GCA_000142945.1
EEY55368.1, -, PTHR13298.orig.30.pi, -,0.34,8.1,4.5,0.51,7.5,0.2,GCA_000142945.1
EED95072.1, -, PTHR13298.orig.30.pi, -,0.00065,16.5,1.5,0.00075,16.3,1.5,GCA_000149405.2
EED92002.1, -, PTHR13298.orig.30.pi, -,0.027,11.1,0.4,0.59,6.7,0.0,GCA_000149405.2
EED88719.1, -, PTHR13298.orig.30.pi, -,0.16,8.5,4.0,0.092,9.4,0.7,GCA_000149405.2
EGZ28645.1, -, PTHR13298.orig.30.pi, -,0.0,1122.5,0.0,0.0,1122.1,0.0,GCA_000149755.2
EGZ29017.1, -, PTHR13298.orig.30.pi, -,0.0068,14.3,7.0,0.026,12.4,0.0,GCA_000149755.2
EGZ18906.1, -, PTHR13298.orig.30.pi, -,0.013,13.3,0.1,0.039,11.8,0.0,GCA_000149755.2
EGZ28174.1, -, PTHR13298.orig.30.pi, -,0.069,10.9,1.7,6.0,4.5,0.0,GCA_000149755.2
EGZ07108.1, -, PTHR13298.orig.30.pi, -,0.094,10.5,0.3,0.097,10.5,0.3,GCA_000149755.2
EGZ26191.1, -, PTHR13298.orig.30.pi, -,0.18,9.6,2.5,0.24,9.1,0.7,GCA_000149755.2
EGZ28203.1, -, PTHR13298.orig.30.pi, -,0.25,9.1,0.0,0.73,7.6,0.0,GCA_000149755.2
EEC47119.1, -, PTHR13298.orig.30.pi, -,0.00064,16.3,4.2,0.00079,16.0,4.2,GCA_000150955.2
ACI65309.1, -, PTHR13298.orig.30.pi, -,0.014,11.9,0.9,0.069,9.6,0.1,GCA_000150955.2
EEC46037.1, -, PTHR13298.orig.30.pi, -,0.015,11.8,0.0,0.018,11.5,0.0,GCA_000150955.2
EEC51514.1, -, PTHR13298.orig.30.pi, -,0.026,11.0,0.0,0.066,9.7,0.0,GCA_000150955.2
EEC46783.1, -, PTHR13298.orig.30.pi, -,0.05,10.1,0.0,0.12,8.8,0.0,GCA_000150955.2
KDO20660.1, -, PTHR13298.orig.30.pi, -,2.1e-265,883.3,0.0,4e-266,882.3,0.0,GCA_000151545.2
KDO29672.1, -, PTHR13298.orig.30.pi, -,0.025,12.0,0.1,0.039,11.4,0.1,GCA_000151545.2
KDO32727.1, -, PTHR13298.orig.30.pi, -,0.038,11.4,1.0,0.047,11.1,1.0,GCA_000151545.2
KDO22841.1, -, PTHR13298.orig.30.pi, -,0.084,10.3,4.8,8.7,3.6,0.0,GCA_000151545.2
KDO20756.1, -, PTHR13298.orig.30.pi, -,0.18,9.2,0.2,0.27,8.6,0.2,GCA_000151545.2
KDO31191.1, -, PTHR13298.orig.30.pi, -,0.21,8.9,10.8,0.005,14.3,3.1,GCA_000151545.2
KDO32303.1, -, PTHR13298.orig.30.pi, -,0.33,8.3,0.5,0.48,7.8,0.5,GCA_000151545.2
KDO29401.1, -, PTHR13298.orig.30.pi, -,0.45,7.9,10.1,1.3,6.4,0.4,GCA_000151545.2
KDO29844.1, -, PTHR13298.orig.30.pi, -,0.59,7.5,2.0,13.0,3.0,0.2,GCA_000151545.2
KDO29389.1, -, PTHR13298.orig.30.pi, -,0.79,7.0,10.6,0.5,7.7,1.6,GCA_000151545.2
KDO23550.1, -, PTHR13298.orig.30.pi, -,2.2,5.6,6.0,0.35,8.2,2.4,GCA_000151545.2
CBK24979.2, -, PTHR13298.orig.30.pi, -,1.4e-102,342.3,12.3,1e-103,341.7,12.3,GCA_000151665.1
CBK24502.2, -, PTHR13298.orig.30.pi, -,2.5e-33,112.9,1.1,3.3e-33,112.6,1.1,GCA_000151665.1
CBK24503.2, -, PTHR13298.orig.30.pi, -,1.2e-25,87.5,10.7,1.6e-25,87.1,10.7,GCA_000151665.1
CBK20489.2, -, PTHR13298.orig.30.pi, -,0.2,7.3,3.9,0.16,7.6,2.7,GCA_000151665.1
