"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Alveolata","Symmic1","mmic1|15763|rna1178"," -"," PTHR11139.orig.30.pi"," -",8.5e-139,466.1,19.3,5e-140,466.1,19.3,2951,"Symbiodinium microadriaticum CCMP2467","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Symbiodinium","JGI"
"2","Alveolata","Polgl1383","26|scaffold_1204.3"," -"," PTHR11139.orig.30.pi"," -",0,1302.4,41.9,0,1302.1,41.9,89957,"Polarella glacialis CCMP1383","Dinophyceae",NA,"Suessiales","Suessiaceae","Polarella","JGI"
"3","Alveolata","Tetthe1","98177|XM_001021494."," -"," PTHR11139.orig.30.pi"," -",0,1095.5,33.7,0,1095.5,33.7,312017,"Tetrahymena thermophila SB210","Oligohymenophorea","Ciliophora","Hymenostomatida","Tetrahymenidae","Tetrahymena","JGI"
"4","Alveolata","Partet1","89078|XM_001462465."," -"," PTHR11139.orig.30.pi"," -",0,1157.5,53.4,0,1157.2,53.4,412030,"Paramecium tetraurelia d4_2","Oligohymenophorea","Ciliophora","Peniculida","Parameciidae","Paramecium","JGI"
"5","Alveolata","Toxgon1","|5105|XM_018782904."," -"," PTHR11139.orig.30.pi"," -",3.6e-218,727,23,6e-219,727,23,508771,"Toxoplasma gondii ME49","Conoidasida","Apicomplexa","Eucoccidiorida","Sarcocystidae","Toxoplasma","JGI"
"6","Alveolata","Chrveli1","|17414|Cvel_26718.t"," -"," PTHR11139.orig.30.pi"," -",9e-281,936.7,0,1e-280,936.5,0,1169474,"Chromera velia CCMP2878",NA,NA,NA,"Chromeraceae","Chromera","JGI"
"7","Alveolata","Vitbras1","|10828|Vbra_14744.t"," -"," PTHR11139.orig.30.pi"," -",0,1434.1,0,0,1432.9,0,1169540,"Vitrella brassicaformis CCMP3155",NA,NA,NA,"Vitrellaceae","Vitrella","JGI"
"8","Alveolata","Oxytri1","ri1|3189049|rna1039"," -"," PTHR11139.orig.30.pi"," -",0,1136,25.6,0,1135.7,25.6,1172189,"Oxytricha trifallax JRB310","Spirotrichea","Ciliophora","Sporadotrichida","Oxytrichidae","Oxytricha","JGI"
"9","Alveolata","Amoce1","e1_1|57011|g13236.t"," -"," PTHR11139.orig.30.pi"," -",1.2e-67,228.8,0,1.3e-67,228.6,0,1775427,"Amoebophrya ceratii AT5.2","Dinophyceae",NA,"Syndiniales","Amoebophryaceae","Amoebophrya","JGI"
"10","Alveolata","Bremi1","symbB.v1.2.029032.t"," -"," PTHR11139.orig.30.pi"," -",8.2e-133,446.4,34,2e-134,446.4,34,2499525,"Breviolum minutum","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Breviolum","JGI"
"11","Alveolata","Clago1",".scaffold1144.8.m1"," -"," PTHR11139.orig.30.pi"," -",2.4e-127,427.8,33.8,4e-128,427.8,33.8,2562237,"Cladocopium goreaui SCF055-01","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Cladocopium","JGI"
"12","Alveolata","Fugka2468","F.scaffold1952.2.m1"," -"," PTHR11139.orig.30.pi"," -",2e-72,245.2,0.9,1.3e-68,232.5,0,2697096,"Fugacium kawagutii CCMP2468","Dinophyceae",NA,"Suessiales","Symbiodiniaceae","Fugacium","JGI"
