"","Accn","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source","Group"
"1","GCA_000002595.3",3055,"Chlamydomonas reinhardtii","M",NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI","Chlorophyta"
"2","GCA_000090985.2",296587,"Micromonas commoda",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","NCBI","Chlorophyta"
"3","GCA_000092065.1",436017,"Ostreococcus lucimarinus CCE9901",NA,NA,"H","H","H",NA,"Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Ostreococcus","NCBI","Chlorophyta"
"4","GCA_000143455.1",3068,"Volvox carteri f. nagariensis",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","NCBI","Chlorophyta"
"5","GCA_000147415.1",554065,"Chlorella variabilis",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI","Chlorophyta"
"6","GCA_000151265.1",564608,"Micromonas pusilla CCMP1545",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","NCBI","Chlorophyta"
"7","GCA_000214015.2",70448,"Ostreococcus tauri",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Ostreococcus","NCBI","Chlorophyta"
"8","GCA_000258705.1",574566,"Coccomyxa subellipsoidea C-169",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta",NA,NA,"Coccomyxa","NCBI","Chlorophyta"
"9","GCA_000611645.1",145388,"Monoraphidium neglectum",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","NCBI","Chlorophyta"
"10","GCA_000690575.1",1291522,"Helicosporidium sp. ATCC 50920",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Helicosporidium","NCBI","Chlorophyta"
"11","GCA_000733215.1",3075,"Auxenochlorella protothecoides",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Auxenochlorella","NCBI","Chlorophyta"
"12","GCA_001247695.2",36881,"Cymbomonas tetramitiformis","L","H","H","H","H",NA,"Pyramimonadophyceae","Chlorophyta","Pyramimonadales","Pyramimonadaceae","Cymbomonas","NCBI","Chlorophyta"
"13","GCA_001584585.1",33097,"Gonium pectorale",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Gonium","NCBI","Chlorophyta"
"14","GCA_002220235.1",41875,"Bathycoccus prasinos",NA,NA,"H","H","H","H","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Bathycoccus","NCBI","Chlorophyta"
"15","GCA_002245815.2",554055,"Micractinium conductrix",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Micractinium","NCBI","Chlorophyta"
"16","GCA_002245835.2",3076,"Chlorella sorokiniana",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","NCBI","Chlorophyta"
"17","GCA_002284615.2",3046,"Dunaliella salina",NA,NA,"M","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Dunaliellaceae","Dunaliella","NCBI","Chlorophyta"
"18","GCA_002335675.1",1157962,"Chlamydomonas eustigma",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","NCBI","Chlorophyta"
"19","GCA_002891735.1",47790,"Tetrabaena socialis",NA,NA,"H","M","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Tetrabaenaceae","Tetrabaena","NCBI","Chlorophyta"
"20","GCA_003203535.1",307507,"Raphidocelis subcapitata",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Raphidocelis","NCBI","Chlorophyta"
"21","GCA_007859695.1",1764295,"Chloropicon primus",NA,"M","H","H","H",NA,"Chloropicophyceae","Chlorophyta","Chloropicales","Chloropicaceae","Chloropicon","NCBI","Chlorophyta"
"22","GCA_008636185.1",2608996,"Trebouxia sp. A1-2",NA,NA,"H","H","H",NA,"Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Trebouxia","NCBI","Chlorophyta"
"23","GCA_011766145.1",44745,"Haematococcus lacustris",NA,NA,"M","H","H",NA,"Chlorophyceae","Chlorophyta","Chlamydomonadales","Haematococcaceae","Haematococcus","NCBI","Chlorophyta"
"24","GCA_014080715.1",2650976,"Scenedesmus sp. NREL 46B-D3",NA,NA,"H","H","H",NA,"Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","NCBI","Chlorophyta"
"25","GCA_014905635.1",2742167,"Scenedesmus sp. PABB004",NA,NA,"H","H","H","H","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","NCBI","Chlorophyta"
"26","GCA_015473125.1",41880,"Pycnococcus provasolii",NA,NA,"H","H","H",NA,NA,"Chlorophyta",NA,"Pycnococcaceae","Pycnococcus","NCBI","Chlorophyta"
