"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score"
"1","GCA_000002415.2","Alveolata",5855,"Plasmodium vivax",NA,NA,NA,NA,NA,NA,95.25,1.1
"2","GCA_000002765.3","Alveolata",36329,"Plasmodium falciparum 3D7",NA,NA,NA,NA,NA,NA,99.12,0
"3","GCA_000003225.1","Alveolata",5874,"Theileria annulata",NA,NA,NA,"M",NA,NA,93.74,2.47
"4","GCA_000006355.3","Alveolata",5851,"Plasmodium knowlesi strain H",NA,NA,NA,NA,NA,NA,99.18,0.05
"5","GCA_000006405.1","Alveolata",423536,"Perkinsus marinus ATCC 50983",NA,"L","M","H","M",NA,97.08,1.17
"6","GCA_000006515.1","Alveolata",441375,"Cryptosporidium muris RN66",NA,NA,NA,"H",NA,NA,99.2,0.4
"7","GCA_000006565.2","Alveolata",508771,"Toxoplasma gondii ME49",NA,NA,NA,"H","L",NA,100,0
"8","GCA_000149665.2","Alveolata",137071,"Plasmodium falciparum HB3",NA,NA,NA,NA,NA,NA,85.78,4.06
"9","GCA_000149715.2","Alveolata",507601,"Toxoplasma gondii GT1",NA,NA,NA,"H","L",NA,100,0
"10","GCA_000149795.1","Alveolata",57267,"Plasmodium falciparum Dd2",NA,NA,NA,NA,NA,NA,51.37,6.64
"11","GCA_000150015.2","Alveolata",432359,"Toxoplasma gondii VEG",NA,NA,NA,"H","L",NA,99.4,0.6
"12","GCA_000150435.3","Alveolata",57266,"Plasmodium falciparum 7G8",NA,NA,NA,NA,NA,NA,89.95,4.37
"13","GCA_000165345.1","Alveolata",353152,"Cryptosporidium parvum Iowa II",NA,NA,NA,"H",NA,NA,96.61,1.99
"14","GCA_000165365.1","Alveolata",333668,"Theileria parva strain Muguga",NA,NA,NA,"M",NA,NA,98.06,0.62
"15","GCA_000165395.2","Alveolata",484906,"Babesia bovis T2Bo",NA,NA,NA,"H",NA,NA,98.41,0.09
"16","GCA_000165425.1","Alveolata",5888,"Paramecium tetraurelia","M","H",NA,"H","H",NA,98.83,0.58
"17","GCA_000186025.2","Alveolata",580058,"Plasmodium falciparum RAJ116",NA,NA,NA,NA,NA,NA,24.6,19.71
"18","GCA_000186055.2","Alveolata",580059,"Plasmodium falciparum IGH-CR14",NA,NA,NA,NA,NA,NA,74.79,4.61
"19","GCA_000189635.1","Alveolata",312017,"Tetrahymena thermophila SB210",NA,"H",NA,"H","M",NA,98.83,0
"20","GCA_000208865.2","Alveolata",572307,"Neospora caninum Liverpool",NA,NA,NA,"H","L",NA,98.21,0.8
"21","GCA_000220395.1","Alveolata",5932,"Ichthyophthirius multifiliis",NA,"M",NA,"H","M",NA,82.46,5.26
"22","GCA_000223845.4","Alveolata",110365,"Gregarina niphandrodes",NA,NA,NA,"H",NA,NA,65.74,3.39
"23","GCA_000224805.2","Alveolata",935652,"Toxoplasma gondii RUB",NA,NA,NA,"H","L",NA,89.64,8.57
"24","GCA_000224845.2","Alveolata",933077,"Toxoplasma gondii VAND",NA,NA,NA,"H","L",NA,93.23,5.18
"25","GCA_000224865.2","Alveolata",943118,"Toxoplasma gondii MAS",NA,NA,NA,"H","L",NA,89.84,6.77
"26","GCA_000224885.2","Alveolata",943119,"Toxoplasma gondii p89",NA,NA,NA,"H","L",NA,91.04,6.37
"27","GCA_000224905.2","Alveolata",943167,"Toxoplasma gondii FOU",NA,NA,NA,"H","L",NA,88.25,7.97
"28","GCA_000250965.2","Alveolata",1074872,"Toxoplasma gondii ARI",NA,NA,NA,"H","L",NA,92.63,5.78
"29","GCA_000256705.2","Alveolata",943122,"Toxoplasma gondii CAST",NA,NA,NA,"H","L",NA,92.23,5.38
"30","GCA_000256725.2","Alveolata",1130821,"Toxoplasma gondii TgCatPRC2",NA,NA,NA,"H","L",NA,92.03,6.18
"31","GCA_000258005.2","Alveolata",99158,"Hammondia hammondi",NA,NA,NA,"H","L",NA,99.8,0.2
"32","GCA_000320625.2","Alveolata",1077284,"Plasmodium vivax India VII",NA,NA,NA,NA,NA,NA,94.23,2.42
"33","GCA_000320645.2","Alveolata",1033975,"Plasmodium vivax Brazil I",NA,NA,NA,NA,NA,NA,95.36,1.76
"34","GCA_000320665.2","Alveolata",1035515,"Plasmodium vivax Mauritania I",NA,NA,NA,NA,NA,NA,95.28,1.59
"35","GCA_000320685.2","Alveolata",1035514,"Plasmodium vivax North Korean",NA,NA,NA,NA,NA,NA,94.67,2.2
"36","GCA_000321355.1","Alveolata",1120755,"Plasmodium cynomolgi strain B",NA,NA,NA,NA,NA,NA,80.62,10.24
"37","GCA_000325525.2","Alveolata",1130820,"Toxoplasma gondii GAB2-2007-GAL-DOM2",NA,NA,NA,"H","L",NA,93.23,5.18
"38","GCA_000342415.1","Alveolata",1537102,"Theileria equi strain WA",NA,NA,NA,"H",NA,NA,94.36,3.79
"39","GCA_000401715.2","Alveolata",1237627,"Plasmodium falciparum UGT5.1",NA,NA,NA,NA,NA,NA,81.71,5.27
"40","GCA_000499385.1","Alveolata",51315,"Eimeria necatrix",NA,NA,NA,NA,NA,NA,88.45,6.77
"41","GCA_000499425.1","Alveolata",5801,"Eimeria acervulina",NA,NA,NA,"M",NA,NA,89.44,7.57
"42","GCA_000499445.1","Alveolata",51316,"Eimeria praecox",NA,NA,NA,NA,NA,NA,48.41,14.34
"43","GCA_000499545.1","Alveolata",5802,"Eimeria tenella",NA,NA,NA,"M","L",NA,89.24,7.57
"44","GCA_000499605.1","Alveolata",5804,"Eimeria maxima",NA,NA,NA,"L",NA,NA,77.49,10.96
"45","GCA_000499725.1","Alveolata",51314,"Eimeria brunetti",NA,NA,NA,"M","L",NA,76.29,9.96
"46","GCA_000499745.2","Alveolata",44415,"Eimeria mitis",NA,NA,NA,NA,NA,NA,50.8,20.92
"47","GCA_000505035.1","Alveolata",1323249,"Plasmodium yoelii 17X",NA,NA,NA,NA,NA,NA,96.02,1.43
"48","GCA_000521015.1","Alveolata",1036723,"Plasmodium falciparum Vietnam Oak-Knoll (FVO)",NA,NA,NA,NA,NA,NA,87.34,4.64
"49","GCA_000521035.1","Alveolata",1036727,"Plasmodium falciparum MaliPS096_E11",NA,NA,NA,NA,NA,NA,83.28,5.96
"50","GCA_000521055.1","Alveolata",1036725,"Plasmodium falciparum Tanzania (2000708)",NA,NA,NA,NA,NA,NA,83.44,6.48
"51","GCA_000521075.1","Alveolata",1036726,"Plasmodium falciparum NF135/5.C10",NA,NA,NA,NA,NA,NA,89.98,3.6
"52","GCA_000521095.1","Alveolata",57270,"Plasmodium falciparum Palo Alto/Uganda",NA,NA,NA,NA,NA,NA,85.48,4.75
"53","GCA_000521115.1","Alveolata",5835,"Plasmodium falciparum CAMP/Malaysia",NA,NA,NA,NA,NA,NA,90.25,3.73
"54","GCA_000521155.1","Alveolata",1036724,"Plasmodium falciparum FCH/4",NA,NA,NA,NA,NA,NA,68.62,8.35
"55","GCA_000524495.1","Alveolata",1237626,"Plasmodium inui San Antonio 1",NA,NA,NA,NA,NA,NA,96.51,1.78
"56","GCA_000691945.2","Alveolata",1133968,"Babesia microti strain RI",NA,NA,NA,"M",NA,NA,95.15,1.15
"57","GCA_000711775.1","Alveolata",1172189,"Oxytricha trifallax",NA,NA,NA,NA,NA,NA,0,0
"58","GCA_000740895.1","Alveolata",869250,"Theileria orientalis strain Shintoku",NA,NA,NA,"M",NA,NA,94.27,0.62
"59","GCA_000751175.1","Alveolata",5949,"Stylonychia lemnae",NA,"H",NA,"H","M",NA,97.66,1.17
"60","GCA_000769155.2","Alveolata",88456,"Cyclospora cayetanensis",NA,NA,NA,"M",NA,NA,94.02,3.19
"61","GCA_000956335.1","Alveolata",5857,"Plasmodium fragile",NA,NA,NA,NA,NA,NA,96.79,1.24
"62","GCA_000981445.1","Alveolata",5866,"Babesia bigemina",NA,NA,NA,"H",NA,NA,97.53,0.53
"63","GCA_001179505.1","Alveolata",1169540,"Vitrella brassicaformis CCMP3155",NA,"M","H","H","H",NA,99.42,0
"64","GCA_001447515.1","Alveolata",266149,"Pseudocohnilembus persalinus",NA,"H",NA,"H","M",NA,99.42,0
"65","GCA_001601855.1","Alveolata",5854,"Plasmodium reichenowi",NA,NA,NA,NA,NA,NA,92.75,2.2
"66","GCA_001602025.1","Alveolata",647221,"Plasmodium gaboni",NA,NA,NA,NA,NA,NA,95.14,1.24
"67","GCA_001865345.1","Alveolata",857276,"Cryptosporidium ubiquitum",NA,NA,NA,"H",NA,NA,97.41,0.6
"68","GCA_001865355.1","Alveolata",117008,"Cryptosporidium andersoni",NA,NA,NA,"H",NA,NA,99.2,0.2
"69","GCA_001939145.1","Alveolata",2951,"Symbiodinium microadriaticum",NA,NA,NA,"H","L","H",78.95,10.53
"70","GCA_002095265.1","Alveolata",462227,"Babesia sp. Xinjiang",NA,NA,NA,"H",NA,NA,80.09,2.47
"71","GCA_002140095.1","Alveolata",5850,"Plasmodium knowlesi",NA,NA,NA,NA,NA,NA,98.54,0.11
"72","GCA_002157705.1","Alveolata",77519,"Plasmodium gonderi",NA,NA,NA,NA,NA,NA,99.12,0.03
"73","GCA_002223825.1","Alveolata",237895,"Cryptosporidium hominis",NA,NA,NA,"H",NA,NA,97.21,1.2
"74","GCA_002563875.1","Alveolata",94643,"Besnoitia besnoiti",NA,NA,NA,"H","L",NA,99.8,0.2
"75","GCA_002600585.1","Alveolata",483139,"Cystoisospora suis",NA,NA,NA,"H","L",NA,83.47,11.16
"76","GCA_002831795.1","Alveolata",5843,"Plasmodium falciparum NF54",NA,NA,NA,NA,NA,NA,94.26,0
"77","GCA_002897235.1","Alveolata",189622,"Babesia ovata",NA,NA,NA,"H",NA,NA,83.7,5.9
"78","GCA_003072545.4","Alveolata",68886,"Theileria orientalis",NA,NA,NA,"M",NA,NA,95.15,1.41
"79","GCA_004369235.1","Alveolata",2494336,"Perkinsus sp. BL_2016",NA,NA,NA,NA,NA,NA,9.94,2.92
"80","GCA_004936735.2","Alveolata",1280935,"Cryptosporidium sp. chipmunk genotype I",NA,NA,NA,"H",NA,NA,97.61,1
"81","GCA_007210665.1","Alveolata",756076,"Cryptosporidium tyzzeri",NA,NA,NA,"H",NA,NA,98.01,0.6
"82","GCA_009768925.2","Alveolata",310047,"Cryptosporidium bovis",NA,NA,NA,"H",NA,NA,95.62,0.6
"83","GCA_009792415.2","Alveolata",515981,"Cryptosporidium ryanae",NA,NA,NA,"H",NA,NA,94.62,1
"84","GCA_013099955.1","Alveolata",5811,"Toxoplasma gondii",NA,NA,NA,"H","L",NA,100,0
"85","GCA_013115135.1","Alveolata",32597,"Perkinsus olseni",NA,"M","H","H","M",NA,88.89,4.68
"86","GCA_013115145.1","Alveolata",330153,"Perkinsus chesapeaki",NA,"L","M","H","M",NA,91.23,3.51
"87","GCA_014529505.1","Alveolata",83540,"Cryptosporidium felis",NA,NA,NA,"H",NA,NA,91.04,2.19
"88","GCA_015245375.1","Alveolata",5807,"Cryptosporidium parvum",NA,NA,NA,"H",NA,NA,98.21,0.4
"89","GCA_015476325.1","Alveolata",476202,"Cardiosporidium cionae",NA,NA,NA,"M","M",NA,59.21,3.7
"90","GCA_019968955.1","Alveolata",2853593,"Porospora cf. gigantea A",NA,NA,NA,"M",NA,NA,71.71,1.79
"91","GCA_020844765.3","Alveolata",73239,"Plasmodium yoelii yoelii",NA,NA,NA,NA,NA,NA,89.95,2.86
"92","GCA_023705535.2","Alveolata",5869,"Babesia ovis",NA,NA,NA,"H",NA,NA,90.04,2.38
"93","GCA_023973825.1","Alveolata",5824,"Plasmodium brasilianum",NA,NA,NA,NA,NA,NA,89.07,1.78
"94","GCA_024862765.1","Alveolata",5871,"Babesia caballi",NA,NA,NA,NA,NA,NA,79.03,5.9
"95","GCA_027243985.1","Alveolata",195482,"Cryptosporidium canis",NA,NA,NA,"H",NA,NA,94.22,1.99
"96","GCA_028658345.1","Alveolata",323732,"Babesia duncani",NA,NA,NA,"H",NA,NA,76.21,5.29
"97","GCA_030849525.1","Alveolata",33632,"Babesia gibsoni",NA,NA,NA,"H",NA,NA,94.19,1.15
"98","GCA_031892065.1","Alveolata",2138604,"Cryptosporidium sp. 43IA8",NA,NA,NA,"H",NA,NA,98.21,0.8
"99","GCA_037039495.1","Alveolata",659607,"Cryptosporidium xiaoi",NA,NA,NA,"H",NA,NA,96.22,0.2
"100","GCA_039657295.1","Alveolata",93969,"Cryptosporidium meleagridis",NA,NA,NA,"H",NA,NA,97.81,1
"101","GCA_900002335.2","Alveolata",31271,"Plasmodium chabaudi chabaudi",NA,NA,NA,NA,NA,NA,99.2,0
