tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
AEC09178.1, -, PTHR13298.orig.30.pi, -,8.2e-05,21.5,2.1,9.6e-05,21.3,2.1,GCA_000001735.2
AEE73661.1, -, PTHR13298.orig.30.pi, -,0.019,13.6,2.8,0.043,12.5,0.4,GCA_000001735.2
AEC07113.1, -, PTHR13298.orig.30.pi, -,0.036,12.7,0.2,0.045,12.4,0.2,GCA_000001735.2
AED95795.1, -, PTHR13298.orig.30.pi, -,0.15,10.7,1.5,8.0,5.0,0.2,GCA_000001735.2
AEE31412.1, -, PTHR13298.orig.30.pi, -,0.17,10.5,0.1,0.23,10.1,0.1,GCA_000001735.2
ANM61127.1, -, PTHR13298.orig.30.pi, -,0.19,10.4,0.1,0.25,10.0,0.1,GCA_000001735.2
ANM60275.1, -, PTHR13298.orig.30.pi, -,0.19,10.3,0.0,0.32,9.6,0.0,GCA_000001735.2
AEE30021.1, -, PTHR13298.orig.30.pi, -,0.22,10.2,7.2,0.49,9.0,0.1,GCA_000001735.2
ANM60921.1, -, PTHR13298.orig.30.pi, -,0.22,10.2,7.2,0.49,9.0,0.1,GCA_000001735.2
ANM60922.1, -, PTHR13298.orig.30.pi, -,0.22,10.2,7.2,0.49,9.0,0.1,GCA_000001735.2
AEE79145.1, -, PTHR13298.orig.30.pi, -,0.25,9.9,0.0,0.64,8.6,0.0,GCA_000001735.2
ANM64185.1, -, PTHR13298.orig.30.pi, -,0.31,9.7,0.1,1.1,7.9,0.1,GCA_000001735.2
AED92042.1, -, PTHR13298.orig.30.pi, -,0.39,9.3,3.7,0.54,8.8,3.7,GCA_000001735.2
AEE35980.1, -, PTHR13298.orig.30.pi, -,0.94,8.0,19.8,2.5,6.7,0.0,GCA_000001735.2
AEE35981.1, -, PTHR13298.orig.30.pi, -,0.94,8.0,19.8,2.5,6.7,0.0,GCA_000001735.2
ANM60394.1, -, PTHR13298.orig.30.pi, -,0.94,8.0,19.8,2.5,6.7,0.0,GCA_000001735.2
ANM60395.1, -, PTHR13298.orig.30.pi, -,0.94,8.0,19.8,2.5,6.7,0.0,GCA_000001735.2
PNT38712.1, -, PTHR13298.orig.30.pi, -,0.00062,18.7,12.1,0.75,8.5,4.4,GCA_000002775.4
PNT46895.1, -, PTHR13298.orig.30.pi, -,0.00064,18.7,0.2,0.032,13.1,0.0,GCA_000002775.4
