tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
IO_Genome00004661-R, -, PTHR12848.orig.30.pi, -,3.9e-166,555.7,0.0,7e-162,538.6,0.0,Chrpa1_1_RAPTOR
IO_Genome00004660-R, -, PTHR12848.orig.30.pi, -,9.4e-97,325.8,0.0,1.9e-95,321.5,0.0,Chrpa1_1_RAPTOR
IO_Genome00024559-R, -, PTHR12848.orig.30.pi, -,1.6e-23,83.2,0.0,1.7e-12,46.7,0.0,Chrpa1_1_RAPTOR
IO_Genome00005689-R, -, PTHR12848.orig.30.pi, -,8.8e-23,80.8,0.0,0.035,12.5,0.0,Chrpa1_1_RAPTOR
IO_Genome00015012-R, -, PTHR12848.orig.30.pi, -,1.7e-22,79.9,21.9,0.00072,18.1,0.0,Chrpa1_1_RAPTOR
IO_Genome00021502-R, -, PTHR12848.orig.30.pi, -,2.4e-21,76.0,4.3,2.1e-10,39.8,0.1,Chrpa1_1_RAPTOR
O_Genome00010900-RA, -, PTHR12848.orig.30.pi, -,3.4e-21,75.5,12.8,6.3e-13,48.1,6.9,Chrpa1_1_RAPTOR
O_Genome00009519-RA, -, PTHR12848.orig.30.pi, -,9.4e-21,74.1,0.8,0.035,12.6,0.0,Chrpa1_1_RAPTOR
IO_Genome00007941-R, -, PTHR12848.orig.30.pi, -,6.8e-20,71.2,29.1,0.00065,18.3,0.0,Chrpa1_1_RAPTOR
O_Genome00006164-RA, -, PTHR12848.orig.30.pi, -,2.2e-18,66.2,44.7,0.00024,19.7,0.0,Chrpa1_1_RAPTOR
IO_Genome00000398-R, -, PTHR12848.orig.30.pi, -,2.9e-17,62.5,0.0,1.6e-09,36.8,0.1,Chrpa1_1_RAPTOR
O_Genome00019128-RA, -, PTHR12848.orig.30.pi, -,3e-17,62.5,0.0,3.4e-10,39.1,0.0,Chrpa1_1_RAPTOR
IO_Genome00006302-R, -, PTHR12848.orig.30.pi, -,6.3e-17,61.4,0.1,1.2e-08,33.9,0.0,Chrpa1_1_RAPTOR
O_Genome00020867-RA, -, PTHR12848.orig.30.pi, -,1.3e-16,60.3,38.6,5.2e-07,28.5,0.5,Chrpa1_1_RAPTOR
IO_Genome00017573-R, -, PTHR12848.orig.30.pi, -,1.3e-16,60.3,1.6,2.2e-09,36.4,2.3,Chrpa1_1_RAPTOR
O_Genome00017987-RA, -, PTHR12848.orig.30.pi, -,2e-16,59.7,0.2,6.4e-12,44.8,0.0,Chrpa1_1_RAPTOR
IO_Genome00012291-R, -, PTHR12848.orig.30.pi, -,1.4e-15,57.0,28.1,0.023,13.2,0.0,Chrpa1_1_RAPTOR
O_Genome00018227-RA, -, PTHR12848.orig.30.pi, -,2.8e-15,55.9,32.5,0.0052,15.3,0.8,Chrpa1_1_RAPTOR
O_Genome00004593-RA, -, PTHR12848.orig.30.pi, -,3.3e-15,55.7,25.2,4.6e-05,22.1,1.1,Chrpa1_1_RAPTOR
IO_Genome00000377-R, -, PTHR12848.orig.30.pi, -,3.9e-15,55.4,0.0,3.9e-15,55.4,0.0,Chrpa1_1_RAPTOR
IO_Genome00012093-R, -, PTHR12848.orig.30.pi, -,5.4e-15,55.0,30.9,0.0028,16.2,7.3,Chrpa1_1_RAPTOR
O_Genome00004452-RA, -, PTHR12848.orig.30.pi, -,5.6e-15,54.9,26.3,0.002,16.7,0.0,Chrpa1_1_RAPTOR
IO_Genome00001676-R, -, PTHR12848.orig.30.pi, -,6.1e-15,54.8,0.5,1.2e-14,53.8,0.5,Chrpa1_1_RAPTOR
O_Genome00006892-RA, -, PTHR12848.orig.30.pi, -,1.4e-14,53.6,4.0,8.3e-07,27.9,0.0,Chrpa1_1_RAPTOR
IO_Genome00012645-R, -, PTHR12848.orig.30.pi, -,2.9e-14,52.6,4.2,1.4e-07,30.4,0.2,Chrpa1_1_RAPTOR
IO_Genome00011261-R, -, PTHR12848.orig.30.pi, -,6.5e-14,51.4,0.0,3.9e-10,38.9,0.0,Chrpa1_1_RAPTOR
IO_Genome00003773-R, -, PTHR12848.orig.30.pi, -,6.8e-14,51.4,0.5,1.5e-08,33.6,0.1,Chrpa1_1_RAPTOR
IO_Genome00006754-R, -, PTHR12848.orig.30.pi, -,7.1e-14,51.3,15.5,4.3e-05,22.2,0.0,Chrpa1_1_RAPTOR
IO_Genome00019928-R, -, PTHR12848.orig.30.pi, -,1.1e-13,50.6,0.0,8.6e-08,31.1,0.0,Chrpa1_1_RAPTOR
IO_Genome00027189-R, -, PTHR12848.orig.30.pi, -,2.4e-13,49.5,0.0,2.2e-08,33.1,0.0,Chrpa1_1_RAPTOR
IO_Genome00007505-R, -, PTHR12848.orig.30.pi, -,2.6e-13,49.4,0.0,3.3e-13,49.1,0.0,Chrpa1_1_RAPTOR
O_Genome00009448-RA, -, PTHR12848.orig.30.pi, -,9.6e-13,47.5,1.5,1.4e-12,47.0,1.5,Chrpa1_1_RAPTOR
IO_Genome00000860-R, -, PTHR12848.orig.30.pi, -,1e-12,47.5,1.6,2e-07,29.9,0.9,Chrpa1_1_RAPTOR
IO_Genome00007029-R, -, PTHR12848.orig.30.pi, -,1.4e-12,47.0,0.0,9.7e-10,37.6,0.0,Chrpa1_1_RAPTOR
IO_Genome00007268-R, -, PTHR12848.orig.30.pi, -,3.3e-12,45.8,1.3,1e-11,44.1,1.3,Chrpa1_1_RAPTOR
IO_Genome00008274-R, -, PTHR12848.orig.30.pi, -,3.4e-12,45.7,1.1,3.1e-10,39.2,1.1,Chrpa1_1_RAPTOR
O_Genome00011789-RA, -, PTHR12848.orig.30.pi, -,3.8e-12,45.5,0.3,5.5e-12,45.0,0.3,Chrpa1_1_RAPTOR
IO_Genome00002586-R, -, PTHR12848.orig.30.pi, -,4.7e-12,45.3,0.0,8.2e-10,37.8,0.0,Chrpa1_1_RAPTOR
O_Genome00015129-RA, -, PTHR12848.orig.30.pi, -,5.2e-12,45.1,1.3,3.1e-07,29.3,0.9,Chrpa1_1_RAPTOR
O_Genome00020126-RA, -, PTHR12848.orig.30.pi, -,6e-12,44.9,12.0,0.0018,16.8,0.0,Chrpa1_1_RAPTOR
IO_Genome00010076-R, -, PTHR12848.orig.30.pi, -,1.4e-11,43.7,0.0,2.5e-11,42.9,0.0,Chrpa1_1_RAPTOR
IO_Genome00006174-R, -, PTHR12848.orig.30.pi, -,1.5e-11,43.6,0.0,3.3e-11,42.5,0.0,Chrpa1_1_RAPTOR
O_Genome00015545-RA, -, PTHR12848.orig.30.pi, -,1.8e-11,43.3,0.0,4.8e-07,28.6,0.0,Chrpa1_1_RAPTOR
O_Genome00008254-RA, -, PTHR12848.orig.30.pi, -,1.9e-11,43.3,2.8,1.1e-10,40.7,2.8,Chrpa1_1_RAPTOR
IO_Genome00000040-R, -, PTHR12848.orig.30.pi, -,2.5e-11,42.9,43.6,0.011,14.3,6.3,Chrpa1_1_RAPTOR
O_Genome00001491-RA, -, PTHR12848.orig.30.pi, -,2.6e-11,42.8,0.2,8.3e-06,24.6,0.0,Chrpa1_1_RAPTOR
O_Genome00020657-RA, -, PTHR12848.orig.30.pi, -,2.8e-11,42.7,0.0,8.1e-09,34.5,0.0,Chrpa1_1_RAPTOR
O_Genome00016538-RA, -, PTHR12848.orig.30.pi, -,3e-11,42.6,0.0,3.9e-11,42.2,0.0,Chrpa1_1_RAPTOR
