tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
gw1.16.40.1, -, PTHR33149.orig.30.pi, -,0.47,9.0,3.8,0.86,8.1,0.4,Aurli1_D1
|6138|CCR75_004097., -, PTHR33149.orig.30.pi, -,8.6,4.0,8.5,6.6,4.4,7.2,Brelac1_D1
3103|Cowei_g18972.t, -, PTHR33149.orig.30.pi, -,1.7e-156,520.0,10.6,2e-156,519.8,10.6,Conwei1_D1
8409|CCRYP_003740-R, -, PTHR33149.orig.30.pi, -,0.075,11.6,0.1,0.12,10.9,0.1,Cyccr2_2_D1
, -, PTHR33149.orig.30.pi, -,1.2e-150,501.6,11.7,5e-151,501.2,11.7,Ent11IV18_1_D1
1, -, PTHR33149.orig.30.pi, -,1.2e-150,501.6,11.7,5e-151,501.2,11.7,Ent11IV18_1_D1
8, -, PTHR33149.orig.30.pi, -,1.3e-150,501.4,12.0,6e-151,501.0,12.0,Ent11IV18_1_D1
, -, PTHR33149.orig.30.pi, -,1.3e-150,501.4,11.9,7e-151,501.0,11.9,Ent11IV18_1_D1
, -, PTHR33149.orig.30.pi, -,1.3e-150,501.4,11.9,7e-151,501.0,11.9,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.5e-150,501.2,10.8,9e-151,500.8,10.8,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.5e-150,501.2,10.9,2e-150,500.8,10.9,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.6e-150,501.1,11.1,1e-151,500.7,11.1,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.6e-150,501.1,11.1,1e-151,500.7,11.1,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.6e-150,501.1,11.1,1e-151,500.7,11.1,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.6e-150,501.1,11.1,1e-151,500.7,11.1,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.6e-150,501.1,11.1,1e-151,500.7,11.1,Ent11IV18_1_D1
6, -, PTHR33149.orig.30.pi, -,1.9e-150,500.9,10.8,3e-151,500.6,10.8,Ent11IV18_1_D1
NITY_DN470_c0_g1_i1, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
NITY_DN470_c0_g1_i1, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
ITY_DN470_c0_g1_i7, -, PTHR33149.orig.30.pi, -,1.9e-150,500.8,11.2,5e-151,500.5,11.2,Ent11IV18_1_D1
