tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
e1_1|43672|g3932.t1, -, PTHR19842.orig.30.pi, -,5.1e-48,163.6,2.8,2.6e-12,46.2,0.0,Amoce1_1
e1_1|56548|g12838.t, -, PTHR19842.orig.30.pi, -,4.1e-41,140.9,0.5,8.5e-26,90.6,0.3,Amoce1_1
e1_1|57240|g13429.t, -, PTHR19842.orig.30.pi, -,1.4e-39,135.8,0.0,2.3e-22,79.3,0.0,Amoce1_1
e1_1|56001|g12380.t, -, PTHR19842.orig.30.pi, -,8.7e-37,126.7,5.4,9.2e-19,67.5,0.9,Amoce1_1
e1_1|47906|g6222.t1, -, PTHR19842.orig.30.pi, -,4.6e-36,124.3,9.4,4.3e-13,48.8,0.0,Amoce1_1
e1_1|59772|g15264.t, -, PTHR19842.orig.30.pi, -,1.1e-35,123.1,0.9,9.2e-11,41.2,0.0,Amoce1_1
e1_1|46954|g5622.t1, -, PTHR19842.orig.30.pi, -,1.5e-33,116.1,0.0,1.3e-13,50.5,0.0,Amoce1_1
e1_1|56577|g12867.t, -, PTHR19842.orig.30.pi, -,1.8e-33,115.8,0.3,2.7e-10,39.6,0.0,Amoce1_1
e1_1|42652|g3508.t1, -, PTHR19842.orig.30.pi, -,5.1e-32,111.0,0.1,1.6e-21,76.6,0.0,Amoce1_1
e1_1|52443|g9598.t1, -, PTHR19842.orig.30.pi, -,1.3e-30,106.4,0.0,3.8e-10,39.1,0.0,Amoce1_1
e1_1|51094|g581.t1, -, PTHR19842.orig.30.pi, -,4.2e-30,104.7,0.0,4.6e-15,55.3,0.0,Amoce1_1
e1_1|56221|g12570.t, -, PTHR19842.orig.30.pi, -,7.4e-30,103.9,3.8,7.3e-18,64.5,0.8,Amoce1_1
e1_1|54909|g11610.t, -, PTHR19842.orig.30.pi, -,3.5e-29,101.7,0.7,7.6e-10,38.2,0.0,Amoce1_1
e1_1|56356|g12681.t, -, PTHR19842.orig.30.pi, -,1.1e-28,100.1,0.0,5.4e-18,64.9,0.0,Amoce1_1
e1_1|40524|g15763.t, -, PTHR19842.orig.30.pi, -,1.9e-27,96.0,3.8,3.5e-12,45.8,0.0,Amoce1_1
e1_1|52042|g736.t1, -, PTHR19842.orig.30.pi, -,6.2e-27,94.3,0.0,7.8e-09,34.8,0.0,Amoce1_1
e1_1|46604|g5440.t1, -, PTHR19842.orig.30.pi, -,1.3e-26,93.2,0.4,3.2e-13,49.2,0.0,Amoce1_1
e1_1|41591|g15.t1, -, PTHR19842.orig.30.pi, -,1.4e-26,93.1,0.1,5.7e-09,35.3,0.5,Amoce1_1
e1_1|55829|g12262.t, -, PTHR19842.orig.30.pi, -,3.1e-26,92.0,0.0,4.7e-07,29.0,0.0,Amoce1_1
e1_1|56137|g12486.t, -, PTHR19842.orig.30.pi, -,4.5e-26,91.5,3.2,8.1e-17,61.1,0.2,Amoce1_1
e1_1|50856|g8386.t1, -, PTHR19842.orig.30.pi, -,2.1e-25,89.3,5.9,2e-12,46.7,3.7,Amoce1_1
e1_1|55197|g11818.t, -, PTHR19842.orig.30.pi, -,3.2e-23,82.1,0.3,5e-12,45.3,0.0,Amoce1_1
e1_1|50086|g7842.t1, -, PTHR19842.orig.30.pi, -,2.4e-22,79.3,2.6,7.8e-14,51.3,0.1,Amoce1_1
e1_1|51683|g8966.t1, -, PTHR19842.orig.30.pi, -,8.9e-22,77.4,3.0,8.6e-17,61.0,3.1,Amoce1_1
e1_1|41132|g3000.t1, -, PTHR19842.orig.30.pi, -,9.6e-22,77.2,0.0,4.8e-16,58.5,0.0,Amoce1_1
e1_1|40245|g2715.t1, -, PTHR19842.orig.30.pi, -,1.1e-21,77.0,1.8,3.3e-17,62.3,1.5,Amoce1_1
