"","Group","Accn","Organism_Taxonomic_ID","Organism.Name","SIN1All","SIN1Domain","RICTORAll","RICTORDomain","RAPTORAll","RAPTORDomain","TORAll","TORDomain","LST8All","LST8Domain","source","Class.name","Phylum.name","Order.name","Family.name","Genus.name"
"1","Stramenopiles","GCA_021491655.1",542832,"Peronospora effusa",205.3,204.1,1098.5,1098.1,1364.8,1364.4,2063.4,2062.5,366,365.8,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora"
"2","Stramenopiles","GCA_000150955.2",556484,"Phaeodactylum tricornutum CCAP 1055/1",NA,NA,NA,NA,1021,1020.1,1275.6,1275.3,334,333.9,"NCBI","Bacillariophyceae","Bacillariophyta","Naviculales","Phaeodactylaceae","Phaeodactylum"
"3","Stramenopiles","GCA_000149405.2",296543,"Thalassiosira pseudonana CCMP1335",NA,NA,NA,NA,1297.3,1296.8,1287,1286.7,364.7,364.5,"NCBI","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira"
"4","Stramenopiles","GCA_000310025.1",2880,"Ectocarpus siliculosus",NA,NA,519.5,300.4,675.3,675,977.3,926.7,367.3,367,"NCBI","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus"
"5","Stramenopiles","GCA_004359215.2",4779,"Bremia lactucae",213.2,212.3,1077,1076.6,1356.8,1356.4,1996.2,1995.3,388.1,387.9,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia"
"6","Stramenopiles","GCA_026184515.1",230839,"Peronosclerospora sorghi",NA,NA,1086.2,1085.9,1361.9,1361.5,1956.7,1956.1,363,362.8,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronosclerospora"
"7","Stramenopiles","GCA_000142945.1",403677,"Phytophthora infestans T30-4",233.8,233.6,1114.3,1114,1298.8,1298.6,2086.7,2085.1,385.6,385.4,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"8","Stramenopiles","GCA_027923505.1",2872254,"Mayamaea pseudoterrestris",NA,NA,NA,NA,1113.7,1113.3,1224.3,1224.1,321.1,321,"NCBI","Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Mayamaea"
"9","Stramenopiles","GCA_018873745.1",2496075,"Phytophthora aleatoria",241,240.7,1112.5,1112.2,1166.9,1120.6,2094.8,2092.9,384.2,384,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"10","Stramenopiles","GCA_030267785.1",1490495,"Phytophthora fragariaefolia",NA,NA,1009.7,1009.4,1109.1,1108.8,1971.1,1969.5,244.9,244.8,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"11","Stramenopiles","GCA_000149755.2",67593,"Phytophthora sojae",216.1,215.9,1122.5,1122.1,1357,1356.6,2128.7,2127.1,244.6,244.4,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"12","Stramenopiles","GCA_000247585.2",761204,"Phytophthora nicotianae INRA-310",234.7,234.4,1116,1115.7,1362.4,1362,2085.5,2083.9,388.8,388.7,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"13","Stramenopiles","GCA_020800215.1",164328,"Phytophthora ramorum",252.6,252.3,1134.4,1134.1,1378.2,1377.8,2192.2,2191,386.3,386.1,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"14","Stramenopiles","GCA_016864655.1",29920,"Phytophthora cactorum",240.9,240.6,1112.9,1112.6,1373,1372.6,2097,2095.1,384.2,384,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"15","Stramenopiles","GCA_000240725.1",1093141,"Nannochloropsis gaditana CCMP526",NA,NA,NA,NA,1099.7,1099.2,513.9,513.3,NA,NA,"NCBI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis"
"16","Stramenopiles","GCA_000186865.1",44056,"Aureococcus anophagefferens",NA,NA,NA,NA,636.6,525.2,1217.5,1217.1,346.3,346.2,"NCBI","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus"
"17","Stramenopiles","GCA_018691715.1",4785,"Phytophthora cinnamomi",228.2,228,1123,1122.7,718,717.7,1994,1989,384,383.9,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora"
"18","Stramenopiles","GCA_000151665.1",12968,"Blastocystis hominis",NA,NA,342.3,341.7,316.1,315.7,1026.4,1026.1,185.5,185.3,"NCBI","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis"
"19","Stramenopiles","GCA_900660405.1",183589,"Pseudo-nitzschia multistriata",NA,NA,NA,NA,941.1,566.4,519.1,517.4,NA,NA,"NCBI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia"
"20","Stramenopiles","GCA_900000015.1",4781,"Plasmopara halstedii",227,226.6,1082.5,1082.2,1384,1383.6,1939.9,1939.3,385.1,384.9,"NCBI",NA,"Oomycota","Peronosporales","Peronosporaceae","Plasmopara"
"21","Stramenopiles","GCA_006386115.1",82926,"Globisporangium splendens",199.6,198.8,946.7,946.3,1371.6,1371.3,1894.3,1893.4,373.8,373.7,"NCBI",NA,"Oomycota","Pythiales","Pythiaceae","Globisporangium"
"22","Stramenopiles","GCA_000520075.1",112090,"Aphanomyces astaci",158.4,156,882.2,881.6,886.4,883.5,1689,1688.7,403.3,403,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"23","Stramenopiles","GCA_004565275.1",1027361,"Nannochloropsis salina CCMP1776",NA,NA,244.5,229,1207.6,1207.2,1469.8,1469.4,382,381.8,"NCBI","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Microchloropsis"
"24","Stramenopiles","GCA_918797485.1",35677,"Pelagomonas calceolata",NA,NA,NA,NA,1035,1022.2,1156.5,1156.2,327,326.8,"NCBI","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Pelagomonas"
"25","Stramenopiles","GCA_021527685.1",100861,"Aphanomyces euteiches",196,195.1,885.3,884.3,1178,880.1,1749.2,1748.9,410.1,409.8,"NCBI",NA,"Oomycota","Saprolegniales","Saprolegniaceae","Aphanomyces"
"26","Stramenopiles","GCA_008330645.1",33653,"Cafeteria roenbergensis",NA,NA,NA,NA,492,491.4,847.3,614.9,232,231.7,"NCBI","Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria"
"27","Stramenopiles","GCA_933822405.4",2856,"Cylindrotheca closterium",NA,NA,NA,NA,1109.1,1108.4,1274.8,1274.5,326.2,325.5,"NCBI","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Cylindrotheca"
"28","Stramenopiles","GCA_903772945.1",568900,"Seminavis robusta",NA,NA,NA,NA,1123.4,1122.9,1227.6,1227.3,309.3,309.2,"NCBI","Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Seminavis"
