"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score"
"1","GCA_000142945.1","Stramenopile",403677,"Phytophthora infestans T30-4","M","H","H","H","H",NA,100,0
"2","GCA_000149405.2","Stramenopile",296543,"Thalassiosira pseudonana CCMP1335",NA,NA,"H","H","H","M",97,3
"3","GCA_000149755.2","Stramenopile",67593,"Phytophthora sojae","M","H","H","H","M",NA,99,1
"4","GCA_000150955.2","Stramenopile",556484,"Phaeodactylum tricornutum CCAP 1055/1",NA,NA,"H","H","H",NA,96,4
"5","GCA_000151545.2","Stramenopile",695850,"Saprolegnia parasitica CBS 223.65","M","H","H","H","H",NA,98,1
"6","GCA_000151665.1","Stramenopile",12968,"Blastocystis hominis",NA,"H","H","H","M",NA,87,13
"7","GCA_000186865.1","Stramenopile",44056,"Aureococcus anophagefferens",NA,NA,"H","H","H","H",84,11
"8","GCA_000240725.1","Stramenopile",1093141,"Nannochloropsis gaditana CCMP526",NA,NA,"H","H",NA,NA,40,9
"9","GCA_000281045.1","Stramenopile",1156394,"Saprolegnia diclina VS20","M","H","H","H","H",NA,99,0
"10","GCA_000296195.2","Stramenopile",159749,"Thalassiosira oceanica",NA,NA,"H","H","M","H",89,7
"11","GCA_000310025.1","Stramenopile",2880,"Ectocarpus siliculosus",NA,"H","H","H","H",NA,97,3
"12","GCA_000333075.3","Stramenopile",1284355,"Phytophthora kernoviae 00238/432","M","H","M","H","H",NA,95,4
"13","GCA_000365505.1","Stramenopile",1317065,"Phytophthora nicotianae P1569","M","H","H","H","H",NA,99,0
"14","GCA_000365525.1","Stramenopile",1317066,"Phytophthora nicotianae P1976","M","H","H","H","H",NA,99,0
"15","GCA_000365545.1","Stramenopile",1317063,"Phytophthora nicotianae CJ01A1","M","H","H","H","H",NA,99,0
"16","GCA_000367145.1","Stramenopile",1317064,"Phytophthora nicotianae P10297","M","H","H","H","H",NA,99,0
"17","GCA_000520075.1","Stramenopile",112090,"Aphanomyces astaci","M","H","H","H","H",NA,100,0
"18","GCA_000520115.1","Stramenopile",157072,"Aphanomyces invadans","M","H","H","H","H",NA,99,1
"19","GCA_000569095.1","Stramenopile",72520,"Nannochloropsis gaditana",NA,NA,"H","H","H","H",86,9
"20","GCA_000743755.1","Stramenopile",944170,"Blastocystis sp. subtype 4",NA,"H","H","H","M",NA,98,2
"21","GCA_001078535.1","Stramenopile",65357,"Albugo candida","M","H","H","H","H",NA,99,1
"22","GCA_001482985.1","Stramenopile",4792,"Phytophthora nicotianae","M","H","H","H","H",NA,91,2
"23","GCA_001707905.2","Stramenopile",325452,"Phytophthora kernoviae","M","H","M","H","H",NA,96,3
"24","GCA_001712635.2","Stramenopile",2483409,"Nothophytophthora sp. Chile5",NA,"H","H","H","H",NA,89,4
"25","GCA_001750085.1","Stramenopile",635003,"Fragilariopsis cylindrus CCMP1102",NA,NA,"H","H","H",NA,94,5
"26","GCA_002081575.1","Stramenopile",74557,"Thraustotheca clavata","M","H","H","H","H",NA,100,0
"27","GCA_002081595.1","Stramenopile",1202772,"Achlya hypogyna","M","H","H","H","H",NA,99,1
