tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
GMI50979.1, -, PTHR13335.orig.30.pi, -,5e-21,74.8,1.2,4e-20,71.8,0.8,GCA_030267985.1
GMI53750.1, -, PTHR13335.orig.30.pi, -,7.6e-08,31.2,23.6,8.6e-08,31.0,23.6,GCA_030267985.1
GMI61832.1, -, PTHR13335.orig.30.pi, -,9.7e-08,30.9,5.8,1.1e-07,30.7,5.8,GCA_030267985.1
GMI60829.1, -, PTHR13335.orig.30.pi, -,1.8e-07,30.0,8.8,1.8e-07,30.0,8.8,GCA_030267985.1
GMI49759.1, -, PTHR13335.orig.30.pi, -,6.2e-07,28.2,15.8,1.2e-06,27.2,15.8,GCA_030267985.1
GMI50175.1, -, PTHR13335.orig.30.pi, -,9.4e-07,27.6,14.7,9.4e-07,27.6,14.7,GCA_030267985.1
GMI49407.1, -, PTHR13335.orig.30.pi, -,2.6e-06,26.1,12.0,2.6e-06,26.1,12.0,GCA_030267985.1
GMI62274.1, -, PTHR13335.orig.30.pi, -,4.1e-06,25.5,28.7,5e-06,25.2,28.7,GCA_030267985.1
GMI55184.1, -, PTHR13335.orig.30.pi, -,0.00025,19.6,13.8,0.00025,19.6,13.8,GCA_030267985.1
GMI55846.1, -, PTHR13335.orig.30.pi, -,0.00038,19.0,29.5,0.0007,18.1,8.7,GCA_030267985.1
GMI59491.1, -, PTHR13335.orig.30.pi, -,0.00039,19.0,3.4,0.00039,19.0,3.4,GCA_030267985.1
GMI53239.1, -, PTHR13335.orig.30.pi, -,0.00046,18.7,17.4,0.00089,17.8,17.4,GCA_030267985.1
GMI55527.1, -, PTHR13335.orig.30.pi, -,0.00046,18.7,27.7,0.00059,18.3,27.7,GCA_030267985.1
GMI51655.1, -, PTHR13335.orig.30.pi, -,0.00063,18.3,27.3,0.0096,14.4,8.4,GCA_030267985.1
GMI56495.1, -, PTHR13335.orig.30.pi, -,0.00086,17.8,19.1,0.0013,17.2,19.1,GCA_030267985.1
GMI59286.1, -, PTHR13335.orig.30.pi, -,0.00088,17.8,15.3,0.0011,17.5,15.3,GCA_030267985.1
GMI60633.1, -, PTHR13335.orig.30.pi, -,0.0015,17.0,29.2,0.002,16.6,29.2,GCA_030267985.1
GMI49339.1, -, PTHR13335.orig.30.pi, -,0.0022,16.5,24.4,0.0021,16.5,24.4,GCA_030267985.1
GMI57242.1, -, PTHR13335.orig.30.pi, -,0.004,15.6,6.8,0.0049,15.3,6.8,GCA_030267985.1
GMI62321.1, -, PTHR13335.orig.30.pi, -,0.005,15.3,13.0,0.0058,15.1,13.0,GCA_030267985.1
GMI51721.1, -, PTHR13335.orig.30.pi, -,0.0052,15.2,11.3,0.0071,14.8,11.3,GCA_030267985.1
GMI62885.1, -, PTHR13335.orig.30.pi, -,0.0066,14.9,5.8,0.035,12.5,0.4,GCA_030267985.1
GMI56580.1, -, PTHR13335.orig.30.pi, -,0.0071,14.8,6.9,0.0069,14.8,6.9,GCA_030267985.1
GMI63180.1, -, PTHR13335.orig.30.pi, -,0.0079,14.6,8.9,0.0079,14.6,8.9,GCA_030267985.1
GMI61458.1, -, PTHR13335.orig.30.pi, -,0.0099,14.3,1.8,0.013,14.0,1.8,GCA_030267985.1
GMI59556.1, -, PTHR13335.orig.30.pi, -,0.013,14.0,20.8,0.016,13.6,20.8,GCA_030267985.1
GMI53195.1, -, PTHR13335.orig.30.pi, -,0.017,13.6,22.1,0.01,14.3,10.1,GCA_030267985.1
GMI57258.1, -, PTHR13335.orig.30.pi, -,0.02,13.3,11.3,0.019,13.4,11.3,GCA_030267985.1
GMI55382.1, -, PTHR13335.orig.30.pi, -,0.025,13.0,0.2,0.034,12.5,0.2,GCA_030267985.1
GMI49969.1, -, PTHR13335.orig.30.pi, -,0.028,12.8,0.1,0.028,12.8,0.1,GCA_030267985.1
GMI49967.1, -, PTHR13335.orig.30.pi, -,0.028,12.8,0.1,0.028,12.8,0.1,GCA_030267985.1
GMI59603.1, -, PTHR13335.orig.30.pi, -,0.034,12.5,0.1,0.034,12.5,0.1,GCA_030267985.1
GMI56796.1, -, PTHR13335.orig.30.pi, -,0.071,11.5,15.8,0.097,11.0,15.8,GCA_030267985.1
GMI49490.1, -, PTHR13335.orig.30.pi, -,0.077,11.4,18.7,0.1,10.9,18.7,GCA_030267985.1
GMI53562.1, -, PTHR13335.orig.30.pi, -,0.082,11.3,28.7,0.29,9.5,28.7,GCA_030267985.1
GMI63302.1, -, PTHR13335.orig.30.pi, -,0.086,11.2,68.4,0.012,14.0,22.3,GCA_030267985.1
GMI60047.1, -, PTHR13335.orig.30.pi, -,0.22,9.9,23.9,0.25,9.7,23.9,GCA_030267985.1
GMI59476.1, -, PTHR13335.orig.30.pi, -,0.22,9.8,40.0,0.25,9.7,40.0,GCA_030267985.1
GMI60262.1, -, PTHR13335.orig.30.pi, -,0.27,9.6,10.9,0.6,8.4,10.9,GCA_030267985.1
GMI49579.1, -, PTHR13335.orig.30.pi, -,0.29,9.5,23.7,0.013,13.9,17.3,GCA_030267985.1
GMI52424.1, -, PTHR13335.orig.30.pi, -,0.5,8.7,38.3,0.22,9.9,2.4,GCA_030267985.1
GMI52510.1, -, PTHR13335.orig.30.pi, -,0.51,8.7,30.4,1.9,6.8,30.4,GCA_030267985.1
GMI55516.1, -, PTHR13335.orig.30.pi, -,0.69,8.2,27.0,0.0092,14.4,19.6,GCA_030267985.1
GMI60479.1, -, PTHR13335.orig.30.pi, -,0.97,7.7,38.0,0.83,8.0,12.4,GCA_030267985.1
GMI61215.1, -, PTHR13335.orig.30.pi, -,1.1,7.6,48.9,10.0,4.3,46.1,GCA_030267985.1
GMI52209.1, -, PTHR13335.orig.30.pi, -,1.9,6.8,20.4,2.6,6.3,20.4,GCA_030267985.1
GMI49968.1, -, PTHR13335.orig.30.pi, -,2.3,6.5,21.6,5.4,5.3,21.5,GCA_030267985.1
GMI58434.1, -, PTHR13335.orig.30.pi, -,4.4,5.6,12.2,6.2,5.1,12.2,GCA_030267985.1
GMI60369.1, -, PTHR13335.orig.30.pi, -,5.1,5.3,37.5,6.0,5.1,37.5,GCA_030267985.1
GMI58828.1, -, PTHR13335.orig.30.pi, -,6.0,5.1,18.4,6.8,4.9,18.4,GCA_030267985.1
GMI60425.1, -, PTHR13335.orig.30.pi, -,9.8,4.4,27.2,14.0,3.9,27.2,GCA_030267985.1
