tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EDL45845.1,-,PTHR19842.orig.30.pi,-,8.9e-43,144.6,4.7,3.2e-19,67.2,0.0
EDL46185.1,-,PTHR19842.orig.30.pi,-,1.5e-33,114.3,0.0,1.3e-08,32.3,0.0
EDL45169.1,-,PTHR19842.orig.30.pi,-,5.9e-33,112.4,9.4,1e-17,62.3,1.0
EDL43319.1,-,PTHR19842.orig.30.pi,-,5.1e-32,109.3,2.4,7.7e-17,59.4,1.1
EDL44490.1,-,PTHR19842.orig.30.pi,-,9.3e-27,92.0,3.2,9e-23,78.9,0.2
EDL43379.1,-,PTHR19842.orig.30.pi,-,1.9e-26,90.9,1.9,7.7e-13,46.3,0.0
EDL44119.1,-,PTHR19842.orig.30.pi,-,3.5e-26,90.1,4.9,1.9e-12,45.0,0.9
EDL46365.1,-,PTHR19842.orig.30.pi,-,1.4e-25,88.1,1.1,3.6e-10,37.5,0.7
EDL47314.1,-,PTHR19842.orig.30.pi,-,4.8e-25,86.4,2.6,6.9e-15,53.0,0.1
EDL42933.1,-,PTHR19842.orig.30.pi,-,1.8e-24,84.5,0.0,5.8e-10,36.8,0.0
EDL42479.1,-,PTHR19842.orig.30.pi,-,2.4e-23,80.8,5.0,4.1e-19,66.9,5.0
EDL45207.1,-,PTHR19842.orig.30.pi,-,3.5e-22,77.0,2.3,2.9e-08,31.2,0.5
EDL43801.1,-,PTHR19842.orig.30.pi,-,4.2e-22,76.7,0.0,6.1e-22,76.2,0.0
EDL47564.1,-,PTHR19842.orig.30.pi,-,7.6e-22,75.8,3.6,3.4e-18,63.9,3.2
EDL44870.1,-,PTHR19842.orig.30.pi,-,3.6e-21,73.6,2.0,7.9e-18,62.7,0.6
EDL43603.1,-,PTHR19842.orig.30.pi,-,4.8e-21,73.2,0.3,2.6e-12,44.5,0.3
EDL44715.1,-,PTHR19842.orig.30.pi,-,4.8e-21,73.2,3.9,1.9e-20,71.3,2.0
EDL44210.1,-,PTHR19842.orig.30.pi,-,2.3e-20,71.0,1.9,2.2e-12,44.7,0.1
EDL42924.1,-,PTHR19842.orig.30.pi,-,4.4e-18,63.5,0.5,5.7e-08,30.3,2.9
EDL45604.1,-,PTHR19842.orig.30.pi,-,1.4e-17,61.8,0.0,5.8e-10,36.8,0.0
EDL46914.1,-,PTHR19842.orig.30.pi,-,2e-17,61.3,0.4,4.5e-13,47.0,0.0
