Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_030704535.1	ASM3070453v1	Vitis vinifera	29760	494873210	Complete Genome
GCA_022201045.1	DVS_A1.0	Citrus sinensis	2711	298977511	Complete Genome
GCA_034359265.1	ASM3435926v1	Canna indica	4628	752924351	Complete Genome
GCA_041154625.1	CerSpe_IZO01_v1.0	Prunus speciosa	378228	269259082	Complete Genome
GCA_000001735.2	TAIR10.1	Arabidopsis thaliana	3702	119146348	Chromosome
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis	1480154	241484302	Chromosome
GCA_900231445.1	Svevo.v1	Triticum turgidum subsp. durum	4567	9964338633	Chromosome
GCA_001625215.2	DH1 v3.0	Daucus carota subsp. sativus	79200	440713325	Chromosome
GCA_030408175.1	UTM_Trep_v1.0	Trifolium repens	3899	967718717	Chromosome
GCA_905216605.1	AARE701a	Arabidopsis arenosa	38785	149659193	Chromosome
GCA_036885675.1	ASM3688567v1	Vigna mungo	3915	474197000	Chromosome
GCA_028411795.1	ASM2841179v1	Euphorbia peplus	38846	267196017	Chromosome
GCA_046055965.1	ASM4605596v1	Cinchona calisaya	153742	867786681	Chromosome
GCA_023547065.1	ASM2354706v1	Musa troglodytarum	320322	603587930	Chromosome
GCA_963425845.1	hybrid_with_Hi-C	Sphenostylis stenocarpa	92480	649801261	Chromosome
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis	2320716	4186550321	Chromosome
GCA_949927565.1	Lactuca_saligna	Lactuca saligna	75948	2165762035	Chromosome
GCA_000004515.5	Glycine_max_v4.0	Glycine max	3847	978386919	Chromosome
GCA_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum	3635	2305241538	Chromosome
GCA_020379485.1	Da-Ae	Brassica napus	3708	1001499700	Chromosome
GCA_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor	4558	708735318	Chromosome
GCA_003473485.2	MtrunA17r5.0-ANR	Medicago truncatula	3880	429612362	Chromosome
GCA_000004075.3	Cucumber_9930_V3	Cucumis sativus	3659	224801081	Chromosome
GCA_000346465.2	Prunus_persica_NCBIv2	Prunus persica	3760	227411381	Chromosome
GCA_000499845.2	P. vulgaris v2.0	Phaseolus vulgaris	3885	537154354	Chromosome
GCA_001659605.2	M.esculenta_v8	Manihot esculenta	3983	639586700	Chromosome
GCA_000005505.4	Brachypodium_distachyon_v3.0	Brachypodium distachyon	15368	271163419	Chromosome
GCA_002870075.4	Lsat_Salinas_v11	Lactuca sativa	4236	2589853228	Chromosome
GCA_000002775.4	P.trichocarpa_v4.1	Populus trichocarpa	3694	392162179	Chromosome
GCA_030052815.1	ASM3005281v1	Hevea brasiliensis	3981	1876490218	Chromosome
GCA_024323335.2	CAAS_Psat_ZW6_1.0	Pisum sativum	3888	3796066963	Chromosome
GCA_002127325.2	HanXRQr2.0-SUNRISE	Helianthus annuus	4232	3009595538	Chromosome
GCA_000263155.2	Setaria_italica_v2.0	Setaria italica	4555	405732883	Chromosome
GCA_000801105.3	ASM80110v3	Raphanus sativus	3726	433430583	Chromosome
GCA_016808335.1	P.virgatum_v5	Panicum virgatum	38727	1129857985	Chromosome
GCA_964271285.1	ddAraHall_1.3	Arabidopsis halleri	81970	227207528	Chromosome
GCA_001411555.2	Walnut 2.0	Juglans regia	51240	572786133	Chromosome
GCA_015852605.2	ASM1585260v2	Populus deltoides	3696	424589836	Chromosome
GCA_029852735.1	ASM2985273v1	Persea americana	3435	912940922	Chromosome
GCA_948472305.1	Hedin2 genome v1	Vicia faba	3906	11914498746	Chromosome
GCA_005286985.2	Setaria_viridis_v4.0	Setaria viridis	4556	397277387	Chromosome
GCA_018804465.1	PTv2	Populus tomentosa	118781	738799493	Chromosome
GCA_002994745.2	RchiOBHm-V2	Rosa chinensis	74649	515118979	Chromosome
GCA_030272615.1	Sugi_1.0	Cryptomeria japonica	3369	9046532310	Chromosome
GCA_018446385.1	Zo_v1.1	Zingiber officinale	94328	3090266393	Chromosome
GCA_032690845.1	Eleusine_coracana_v1.0	Eleusine coracana subsp. coracana	191504	1111714373	Chromosome
GCA_902201215.1	ALMONDv2	Prunus dulcis	3755	227599157	Chromosome
GCA_001876935.1	Aspof.V1	Asparagus officinalis	4686	1187538024	Chromosome
GCA_004193775.2	ASM419377v2	Glycine soja	3848	1013211804	Chromosome
GCA_016808095.1	ASM1680809v1	Vigna angularis	3914	447806493	Chromosome
GCA_018687715.1	C.illinoinensisPawnee_v1	Carya illinoinensis	32201	674272338	Chromosome
GCA_040584065.1	ASM4058406v1	Brassica carinata	52824	1070359184	Chromosome
GCA_003573695.1	ASM357369v1	Papaver somniferum	3469	2715377404	Chromosome
GCA_022539455.1	Dnobile	Dendrobium nobile	94219	1199116975	Chromosome
GCA_005239225.2	ASM523922v2	Populus alba	43335	416395670	Chromosome
GCA_020310875.1	C.richardii_v2	Ceratopteris richardii	49495	7462456809	Chromosome
GCA_001865875.1	LupAngTanjil_v1.0	Lupinus angustifolius	3871	609203021	Chromosome
GCA_020875875.1	Dalata_v2	Dioscorea alata	55571	480026477	Chromosome
GCA_009905375.1	ASM990537v1	Apium graveolens	4045	3332577507	Chromosome
GCA_003952965.2	Mru_ZJU_2	Morella rubra	262757	313008583	Chromosome
GCA_023525745.1	ASM2352574v1	Arctium lappa	4217	1727363248	Chromosome
