"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_022201065.1","KAH9678831.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-146,489.4,3.1,9e-147,489.2,3.1,"NCBI","Streptophyta",2711,"Citrus sinensis"
"2","GCA_003032435.1","PTQ46221.1"," -"," PTHR19842.orig.30.pi"," -",3.2e-142,473.6,1.1,5e-143,473.5,1.1,"NCBI","Streptophyta",3197,"Marchantia polymorpha"
"3","GCA_014871385.1","KAG0583620.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-145,485.5,2.7,4e-146,485.4,2.7,"NCBI","Streptophyta",3225,"Ceratodon purpureus"
"4","GCA_030272615.1","GLJ43794.1"," -"," PTHR19842.orig.30.pi"," -",7e-151,503.2,2.5,4e-152,502.9,2.5,"NCBI","Streptophyta",3369,"Cryptomeria japonica"
"5","GCA_029852735.1","KAJ8641893.1"," -"," PTHR19842.orig.30.pi"," -",1e-147,492.4,2.3,2e-148,492.1,2.3,"NCBI","Streptophyta",3435,"Persea americana"
"6","GCA_003573695.1","RZC93783.1"," -"," PTHR19842.orig.30.pi"," -",8.4e-148,493,0.9,8e-149,492.8,0.9,"NCBI","Streptophyta",3469,"Papaver somniferum"
"7","GCA_002914805.1","PON58096.1"," -"," PTHR19842.orig.30.pi"," -",5.8e-146,486.5,0.6,4e-147,486.3,0.6,"NCBI","Streptophyta",3476,"Parasponia andersonii"
"8","GCA_013030025.1","KAF4396105.1"," -"," PTHR19842.orig.30.pi"," -",1.6e-148,494.7,2,9e-149,494.4,2,"NCBI","Streptophyta",3483,"Cannabis sativa"
"9","GCA_033242285.1","GMN54801.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-77,262.7,3.7,7.3e-43,148.3,0,"NCBI","Streptophyta",3494,"Ficus carica"
"10","GCA_035136125.1","KAK4581587.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-149,498.1,3.1,7e-150,497.8,3.1,"NCBI","Streptophyta",3512,"Quercus rubra"
"11","GCA_035136125.1","KAK4581588.1"," -"," PTHR19842.orig.30.pi"," -",2.2e-149,498.1,3.1,7e-150,497.8,3.1,"NCBI","Streptophyta",3512,"Quercus rubra"
"12","GCA_000511025.2","KMT15413.1"," -"," PTHR19842.orig.30.pi"," -",1.2e-143,478.5,2.8,4e-144,478.3,2.8,"NCBI","Streptophyta",3555,"Beta vulgaris subsp. vulgaris"
"13","GCA_000510995.2","KNA19762.1"," -"," PTHR19842.orig.30.pi"," -",1.4e-144,481.3,2.4,7e-145,481,2.4,"NCBI","Streptophyta",3562,"Spinacia oleracea"
"14","GCA_040167595.1","KAK9725765.1"," -"," PTHR19842.orig.30.pi"," -",3.6e-145,484.4,3.1,4e-146,484.1,3.1,"NCBI","Streptophyta",3572,"Saponaria officinalis"
