#                                                                --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name            accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------  -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
EDL46365.1           -          PTHR12848.orig.30.pir -            8.1e-16   55.5   0.0   8.7e-11   38.8   0.0   3.0   1   1   1   2   2   2   2 coatomer alpha subunit, putative [Plasmodium vivax]
EDL44870.1           -          PTHR12848.orig.30.pir -            7.6e-14   49.0   0.0   7.6e-14   49.0   0.0   1.9   2   1   0   2   2   2   1 coatomer complex beta subunit, putative [Plasmodium vivax]
EDL43319.1           -          PTHR12848.orig.30.pir -            1.2e-13   48.3   8.1   5.7e-10   36.1   4.0   2.2   1   1   1   2   2   2   2 splicing regulatory protein, putative [Plasmodium vivax]
EDL43801.1           -          PTHR12848.orig.30.pir -            5.1e-13   46.3   0.0   5.5e-13   46.1   0.0   1.0   1   0   0   1   1   1   1 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
EDL46702.1           -          PTHR12848.orig.30.pir -            4.2e-12   43.2   0.4   2.8e-09   33.8   0.4   2.0   1   1   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL42479.1           -          PTHR12848.orig.30.pir -            4.8e-12   43.0   0.3   5.7e-12   42.8   0.3   1.0   1   0   0   1   1   1   1 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
EDL45284.1           -          PTHR12848.orig.30.pir -              9e-12   42.1   0.0   1.1e-11   41.8   0.0   1.0   1   0   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL45169.1           -          PTHR12848.orig.30.pir -            1.2e-11   41.6   2.2   2.4e-09   34.1   1.0   2.3   1   1   1   2   2   2   2 activated protein kinase C receptor, putative [Plasmodium vivax]
EDL44119.1           -          PTHR12848.orig.30.pir -            2.2e-11   40.8   7.4   5.3e-09   33.0   7.4   2.1   1   1   0   1   1   1   1 WD-repeat potein, putative [Plasmodium vivax]
EDL43379.1           -          PTHR12848.orig.30.pir -            3.2e-11   40.3   3.0   1.3e-10   38.3   2.9   1.7   1   1   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL46586.1           -          PTHR12848.orig.30.pir -            3.5e-11   40.1   3.9   1.4e-10   38.2   3.9   1.7   1   1   0   1   1   1   1 microtubule-associated protein ytm1 homologue, putative [Plasmodium vivax]
EDL47314.1           -          PTHR12848.orig.30.pir -            6.8e-11   39.2   0.2   7.7e-11   39.0   0.2   1.1   1   0   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL46491.1           -          PTHR12848.orig.30.pir -            1.1e-10   38.6   1.8   1.7e-10   37.9   1.8   1.3   1   1   0   1   1   1   1 cleavage stimulation factor subunit 1-like protein, putative [Plasmodium vivax]
EDL46914.1           -          PTHR12848.orig.30.pir -            1.3e-10   38.3   0.8   1.6e-10   38.0   0.8   1.1   1   0   0   1   1   1   1 chromatin assembly factor 1 p55 subunit, putative [Plasmodium vivax]
EDL44522.1           -          PTHR12848.orig.30.pir -            3.1e-10   37.0   0.0   3.7e-08   30.1   0.0   2.0   1   1   1   2   2   2   1 G-beta repeat protein, putative [Plasmodium vivax]
EDL46185.1           -          PTHR12848.orig.30.pir -            4.2e-10   36.6   8.7   0.00023   17.6   0.8   4.3   1   1   2   3   3   3   2 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL44490.1           -          PTHR12848.orig.30.pir -            5.8e-10   36.1   0.7     1e-08   32.0   0.7   2.9   1   1   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL44210.1           -          PTHR12848.orig.30.pir -            6.4e-10   36.0   0.1   1.3e-09   34.9   0.1   1.5   1   1   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL44715.1           -          PTHR12848.orig.30.pir -            1.1e-09   35.2   0.9   1.5e-06   24.9   0.1   2.7   1   1   1   3   3   3   2 hypothetical protein, conserved [Plasmodium vivax]
EDL47564.1           -          PTHR12848.orig.30.pir -            1.6e-09   34.7   5.0   8.1e-09   32.3   4.9   2.0   1   1   0   1   1   1   1 pre-mRNA splicing factor PRP17, putative [Plasmodium vivax]
EDL44356.1           -          PTHR12848.orig.30.pir -            6.1e-09   32.7   0.1   7.1e-09   32.5   0.1   1.2   1   0   0   1   1   1   1 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
EDL44185.1           -          PTHR12848.orig.30.pir -            7.5e-09   32.4   2.3   7.5e-09   32.4   2.3   1.9   3   1   0   3   3   3   1 hypothetical protein, conserved [Plasmodium vivax]
EDL42454.1           -          PTHR12848.orig.30.pir -            5.4e-08   29.6   0.6     0.002   14.4   0.4   2.0   2   0   0   2   2   2   2 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL46981.1           -          PTHR12848.orig.30.pir -            1.5e-07   28.1   0.3   6.2e-07   26.1   0.3   1.8   1   1   0   1   1   1   1 dynein-associated protein, putative [Plasmodium vivax]
EDL43967.1           -          PTHR12848.orig.30.pir -            2.1e-07   27.7   1.9   2.7e-07   27.3   1.9   1.1   1   0   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL42411.1           -          PTHR12848.orig.30.pir -            7.2e-07   25.9   0.1   9.3e-07   25.5   0.1   1.2   1   0   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL47466.1           -          PTHR12848.orig.30.pir -            1.2e-06   25.2   2.0   1.7e-06   24.7   1.7   1.4   1   1   0   1   1   1   1 karyopherin alpha, putative [Plasmodium vivax]
EDL45207.1           -          PTHR12848.orig.30.pir -            1.2e-06   25.2   0.0   2.7e-06   24.0   0.0   1.5   1   1   0   1   1   1   1 U5 snRNP-specific 40 kDa protein, putative [Plasmodium vivax]
EDL43072.1           -          PTHR12848.orig.30.pir -            1.5e-06   24.8   2.8   2.4e-06   24.1   0.0   2.2   2   1   0   2   2   2   1 hypothetical protein, conserved [Plasmodium vivax]
EDL45989.1           -          PTHR12848.orig.30.pir -            1.8e-06   24.6   0.0   5.9e-06   22.8   0.0   1.7   1   1   0   2   2   2   1 hypothetical protein, conserved [Plasmodium vivax]
EDL44867.1           -          PTHR12848.orig.30.pir -            2.3e-06   24.2   0.1   1.2e-05   21.8   0.1   2.0   1   1   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL42933.1           -          PTHR12848.orig.30.pir -            4.1e-06   23.4   0.1   0.00016   18.1   0.1   2.7   1   1   1   2   2   2   1 hypothetical protein, conserved [Plasmodium vivax]
EDL42924.1           -          PTHR12848.orig.30.pir -            9.1e-06   22.2   1.3   2.1e-05   21.0   1.3   1.6   1   1   0   1   1   1   1 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
EDL45845.1           -          PTHR12848.orig.30.pir -            1.3e-05   21.7   0.4     0.003   13.9   0.0   2.3   2   0   0   2   2   2   2 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL47136.1           -          PTHR12848.orig.30.pir -            2.3e-05   20.9   0.0     0.034   10.4   0.0   2.0   1   1   1   2   2   2   2 hypothetical protein, conserved [Plasmodium vivax]
EDL43991.1           -          PTHR12848.orig.30.pir -            0.00022   17.6   4.6   0.00035   17.0   0.2   2.3   1   1   0   2   2   2   1 karyopherin beta, putative [Plasmodium vivax]
EDL45695.1           -          PTHR12848.orig.30.pir -            0.00026   17.4   5.4   0.00026   17.4   5.4   1.9   1   1   0   2   2   2   1 PF16 protein, putative [Plasmodium vivax]
EDL43564.1           -          PTHR12848.orig.30.pir -            0.00091   15.6   0.1    0.0015   14.9   0.1   1.4   1   1   0   1   1   1   1 eukaryotic translation initiation factor 3 subunit 2, putative [Plasmodium vivax]
EDL46377.1           -          PTHR12848.orig.30.pir -             0.0013   15.1   0.1    0.0029   13.9   0.1   1.3   1   1   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL47578.1           -          PTHR12848.orig.30.pir -             0.0017   14.7   0.0    0.0022   14.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL47165.1           -          PTHR12848.orig.30.pir -             0.0047   13.2   0.0    0.0047   13.2   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein, conserved [Plasmodium vivax]
EDL47667.1           -          PTHR12848.orig.30.pir -             0.0049   13.2   0.0     0.006   12.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL42941.1           -          PTHR12848.orig.30.pir -             0.0066   12.7   0.0    0.0076   12.6   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein, conserved [Plasmodium vivax]
EDL47669.1           -          PTHR12848.orig.30.pir -             0.0078   12.5   2.0     0.011   12.0   2.0   1.2   1   0   0   1   1   1   1 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
EDL43294.1           -          PTHR12848.orig.30.pir -              0.009   12.3   1.0     0.011   12.1   1.0   1.1   1   0   0   1   1   1   1 phospholipase A2, putative [Plasmodium vivax]
EDL43166.1           -          PTHR12848.orig.30.pir -              0.015   11.6   5.2     0.099    8.8   5.4   2.2   1   1   0   1   1   1   0 hypothetical protein, conserved [Plasmodium vivax]
EDL46634.1           -          PTHR12848.orig.30.pir -              0.016   11.5   4.6     0.013   11.8   2.0   2.1   2   1   0   2   2   2   0 hypothetical protein, conserved [Plasmodium vivax]
EDL45521.1           -          PTHR12848.orig.30.pir -               0.31    7.2   2.9       4.6    3.3   1.8   2.1   2   0   0   2   2   2   0 hypothetical protein, conserved [Plasmodium vivax]
EDL46822.1           -          PTHR12848.orig.30.pir -               0.32    7.1   7.0      0.33    7.1   7.0   1.1   1   0   0   1   1   1   0 hypothetical protein, conserved [Plasmodium vivax]
EDL44370.1           -          PTHR12848.orig.30.pir -                  9    2.4  24.0        11    2.1  24.0   1.1   1   0   0   1   1   1   0 hypothetical protein, conserved [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /share/korflab/project/torture/Analysis/HMMs/RAPTOR_FULL.hmm
# Target file:     /share/korflab/project/torture/Analysis/Proteomes/Alveolata/Alveolata-genome-proteins/ncbi_dataset/data/GCA_000002415.2/protein.faa
# Option settings: hmmsearch --tblout /share/korflab/project/torture/Analysis/HMMER_Output/Alveolata/RAPTOR/GCA_000002415.2_RAPTOR_FULL.out /share/korflab/project/torture/Analysis/HMMs/RAPTOR_FULL.hmm /share/korflab/project/torture/Analysis/Proteomes/Alveolata/Alveolata-genome-proteins/ncbi_dataset/data/GCA_000002415.2/protein.faa 
# Current dir:     /share/korflab/project/torture/Analysis
# Date:            Mon Oct  7 11:27:38 2024
# [ok]
