"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Stramenopiles","Cylclo1","1|57481|Ccl_1326.t1"," -"," PTHR11139.orig.30.pi"," -",0,1274.8,25.1,0,1274.5,25.1,2856,"Cylindrotheca closterium","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Cylindrotheca","JGI"
"2","Stramenopiles","Nithil2","hil2|19395|g1851.t1"," -"," PTHR11139.orig.30.pi"," -",0,1280.8,32.5,0,1280.5,32.5,2857,"Nitzschia inconspicua GAI-293 v2.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","JGI"
"3","Stramenopiles","Ectsil1","tsil1|26679|rna1162"," -"," PTHR11139.orig.30.pi"," -",2.7e-293,977.3,0,8e-279,926.7,0,2880,"Ectocarpus siliculosus Ec 32","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","JGI"
"4","Stramenopiles","Alaesc1","43|tor1"," -"," PTHR11139.orig.30.pi"," -",0,1293,5,0,1291.5,5,2889,"Alaria esculenta A1","Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria","JGI"
"5","Stramenopiles","Brelac1","|6975|CCR75_007408."," -"," PTHR11139.orig.30.pi"," -",0,1996.2,21.8,0,1995.3,21.8,4779,"Bremia lactucae SF5",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"6","Stramenopiles","Blahom1","Blahom1|5055|rna482"," -"," PTHR11139.orig.30.pi"," -",0,1026.4,27.3,0,1026.1,27.3,12968,"Blastocystis hominis Singapore isolate B (sub-type 7)","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","JGI"
"7","Stramenopiles","Cyccr2","370|CCRYP_009168-RC"," -"," PTHR11139.orig.30.pi"," -",0,1158.1,41.1,0,1157.7,41.1,29204,"Cyclotella cryptica CCMP332 v2.0","Coscinodiscophyceae","Bacillariophyta","Stephanodiscales","Stephanodiscaceae","Cyclotella","JGI"
"8","Stramenopiles","Cafroe1",""," -"," PTHR11139.orig.30.pi"," -",1.7e-159,532.5,0.1,3e-160,532,0.1,33653,"Cafeteria roenbergensis BVI","Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria","JGI"
"9","Stramenopiles","Mosaich1","_gw1.175.3.1"," -"," PTHR11139.orig.30.pi"," -",1.6e-226,755.4,0.7,9e-227,755.2,0.7,33852,"Bacillariophyceae sp. bin 90 v1.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae",NA,"JGI"
"10","Stramenopiles","Macpyr2",""," -"," PTHR11139.orig.30.pi"," -",0,1031.8,0.2,0,1031.3,0.2,35122,"Macrocystis pyrifera CI_03 v1.0","Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis","JGI"
"11","Stramenopiles","Psemu1",""," -"," PTHR11139.orig.30.pi"," -",0,1278,34.5,0,1277.7,34.5,37319,"Pseudo-nitzschia multiseries CLN-47","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia","JGI"
"12","Stramenopiles","Parimp1","Y_DN14083_c1_g2_i1"," -"," PTHR11139.orig.30.pi"," -",0,1155.1,43.8,0,1154.6,43.8,37642,"Paraphysomonas imperforata CCMP1604 v1.4","Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"13","Stramenopiles","Hypcat1","RNA-1"," -"," PTHR11139.orig.30.pi"," -",2.6e-231,771.8,21.6,1e-232,771.5,21.6,42384,"Hyphochytrium catenoides ATCC 18719","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"14","Stramenopiles","Auran1","jgi|Auran1|52494"," -"," PTHR11139.orig.30.pi"," -",0,1217.5,42.5,0,1217.1,42.5,44056,"Aureococcus anophagefferens clone 1984 v1.0","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus","JGI"
"15","Stramenopiles","VisC74","ontig_2_g14850.t1"," -"," PTHR11139.orig.30.pi"," -",0,1481.4,28.8,0,1481,28.8,44431,"Vischeria strain C74","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"16","Stramenopiles","NanspC018","h1_pm.C_140173"," -"," PTHR11139.orig.30.pi"," -",0,1505.5,0,0,1505.1,0,52230,"Nannochloropsis oceanica C018 v1.0","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"17","Stramenopiles","Physo3",""," -"," PTHR11139.orig.30.pi"," -",0,2128.7,13.5,0,2127.1,13.5,67593,"Phytophthora sojae v3.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"18","Stramenopiles","Nangad1","angad1|2647|rna6638"," -"," PTHR11139.orig.30.pi"," -",0,1405.7,0,0,1405,0,72520,"Nannochloropsis gaditana B-31","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"19","Stramenopiles","Undpi1","caffold_14.g06228.m"," -"," PTHR11139.orig.30.pi"," -",2.8e-288,960.2,0,5e-264,877.5,0,74381,"Undaria pinnatifida M23","Phaeophyceae",NA,"Laminariales","Alariaceae","Undaria","JGI"
"20","Stramenopiles","Aplke1","h1_pg.C_180012"," -"," PTHR11139.orig.30.pi"," -",0,1376.5,28.1,0,1376.1,28.1,87111,"Aplanochytrium kerguelense PBS07 v1.0","Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Aplanochytrium","JGI"
"21","Stramenopiles","Sacja1","cja1|4177|SJ19575.1"," -"," PTHR11139.orig.30.pi"," -",0,1102.2,0,0,1101.8,0,88149,"Saccharina japonica str. Ja","Phaeophyceae",NA,"Laminariales","Laminariaceae","Saccharina","JGI"
"22","Stramenopiles","Nanoce1779",""," -"," PTHR11139.orig.30.pi"," -",0,1389.2,0,0,1365.4,0,145522,"Nannochloropsis oceanica CCMP1779 v2.0","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"23","Stramenopiles","Ent11IV18","TY_DN4976_c5_g1_i1"," -"," PTHR11139.orig.30.pi"," -",0,1263.1,35.5,0,1262.8,35.5,186042,"Entomoneis sp. UTEX 11IV18-2A FL v1.0","Bacillariophyceae","Bacillariophyta",NA,"Entomoneidaceae","Entomoneis","JGI"
"24","Stramenopiles","Fracro1","|5882|MHU86_2656.1"," -"," PTHR11139.orig.30.pi"," -",0,1265.2,26.3,0,1264.9,26.3,210448,"Fragilaria crotonensis SAG 28.96","Fragilariophyceae","Bacillariophyta","Fragilariales","Fragilariaceae","Fragilaria","JGI"
"25","Stramenopiles","Persor1","277|PsorP6_010397.1"," -"," PTHR11139.orig.30.pi"," -",0,1956.7,19.3,0,1956.1,19.3,230839,"Peronosclerospora sorghi P6",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronosclerospora","JGI"
"26","Stramenopiles","Mintr2",""," -"," PTHR11139.orig.30.pi"," -",0,1213.6,27.6,0,1213.3,27.6,265540,"Minidiscus variabilis CCMP495 v1.0","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Minidiscus","JGI"
"27","Stramenopiles","Trimin1","lus.C_Contig_350023"," -"," PTHR11139.orig.30.pi"," -",4.5e-145,485.7,0,4e-146,485.4,0,303371,"Tribonema minus UTEX B 3156 v1.0","Xanthophyceae",NA,"Tribonematales","Tribonemataceae","Tribonema","JGI"
"28","Stramenopiles","Claok1","aok1|6342|g16759.t1"," -"," PTHR11139.orig.30.pi"," -",0,1225.4,0,0,1224.9,0,309737,"Cladosiphon okamuranus S strain","Phaeophyceae",NA,"Ectocarpales","Chordariaceae","Cladosiphon","JGI"
"29","Stramenopiles","Phyinf1","yinf1|11235|rna5526"," -"," PTHR11139.orig.30.pi"," -",0,2086.7,17.4,0,2085.1,17.4,403677,"Phytophthora infestans T30-4",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"30","Stramenopiles","Ochro1393",""," -"," PTHR11139.orig.30.pi"," -",0,1120.9,10.8,0,1120.2,10.8,420556,"Ochromonas sp. CCMP1393 v1.4","Chrysophyceae",NA,"Chromulinales","Chromulinaceae","Ochromonas","JGI"
"31","Stramenopiles","Chaten1","|13903|CTEN210_1391"," -"," PTHR11139.orig.30.pi"," -",0,1206.3,39.1,0,1206,39.1,426638,"Chaetoceros tenuissimus NIES-3715","Coscinodiscophyceae","Bacillariophyta","Chaetocerotales","Chaetocerotaceae","Chaetoceros","JGI"
"32","Stramenopiles","Pelago2097","80050"," -"," PTHR11139.orig.30.pi"," -",0,1244.6,2.6,0,1242.7,2.6,483370,"Pelagophyceae sp. CCMP2097 v1.0","Pelagophyceae",NA,NA,NA,NA,"JGI"
"33","Stramenopiles","Ochro2298",""," -"," PTHR11139.orig.30.pi"," -",2.4e-277,924.7,24.1,2e-278,924.2,24.1,483371,"Ochromonadaceae sp. CCMP2298 v1.0","Synurophyceae",NA,"Ochromonadales","Ochromonadaceae",NA,"JGI"
"34","Stramenopiles","Pereff1","|5023|KXD40_009122."," -"," PTHR11139.orig.30.pi"," -",0,1944.2,0,0,1943.3,0,542832,"Peronospora effusa UA202013",NA,"Oomycota","Peronosporales","Peronosporaceae","Peronospora","JGI"
"35","Stramenopiles","Hyaar1","anscript:HpaT802906"," -"," PTHR11139.orig.30.pi"," -",0,2019.6,23.2,0,2018.9,23.2,559515,"Hyaloperonospora arabidopsidis Emoy2 v2.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Hyaloperonospora","JGI"
"36","Stramenopiles","Semro1","64|Sro182_g079310.1"," -"," PTHR11139.orig.30.pi"," -",0,1227.6,34.9,0,1227.3,34.9,568900,"Seminavis robusta D6","Bacillariophyceae","Bacillariophyta","Naviculales","Naviculaceae","Seminavis","JGI"
"37","Stramenopiles","Sarfu1","rfu1|56795|g2266.t1"," -"," PTHR11139.orig.30.pi"," -",0,1063.1,15.8,0,1062.4,15.8,590727,"Sargassum fusiforme","Phaeophyceae",NA,"Fucales","Sargassaceae","Sargassum","JGI"
"38","Stramenopiles","Phyci1",""," -"," PTHR11139.orig.30.pi"," -",0,2140.8,2.9,0,2139.3,2.9,622258,"Phytophthora cinnamomi var cinnamomi v1.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"39","Stramenopiles","Thaoce1","oce1|96783|rna10088"," -"," PTHR11139.orig.30.pi"," -",0,1044.5,10.2,0,1042.2,10.2,637379,"Thalassiosira oceanica CCMP1005","Coscinodiscophyceae","Bacillariophyta","Thalassiosirales","Thalassiosiraceae","Thalassiosira","JGI"
