"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Stramenopiles","Cylclo1","1|59841|Ccl_8283.t1"," -"," PTHR19842.orig.30.pi"," -",1.9e-97,326.2,1.6,3e-97,325.5,1.6,2856,"Cylindrotheca closterium","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Cylindrotheca","JGI"
"2","Stramenopiles","Nithil2","hil2|37748|g27036.t"," -"," PTHR19842.orig.30.pi"," -",3.1e-99,331.9,1.2,3.8e-99,331.6,1.2,2857,"Nitzschia inconspicua GAI-293 v2.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Nitzschia","JGI"
"3","Stramenopiles","Ectsil1","tsil1|25652|rna1419"," -"," PTHR19842.orig.30.pi"," -",4.7e-110,367.3,6.4,7e-111,367,6.4,2880,"Ectocarpus siliculosus Ec 32","Phaeophyceae",NA,"Ectocarpales","Ectocarpaceae","Ectocarpus","JGI"
"4","Stramenopiles","Alaesc1","153_5"," -"," PTHR19842.orig.30.pi"," -",6.1e-115,383.5,5.3,2e-116,383.3,5.3,2889,"Alaria esculenta A1","Phaeophyceae",NA,"Laminariales","Alariaceae","Alaria","JGI"
"5","Stramenopiles","Brelac1","|7148|CCR75_008598."," -"," PTHR19842.orig.30.pi"," -",1.1e-116,388.1,0.7,3e-117,387.8,0.7,4779,"Bremia lactucae SF5",NA,"Oomycota","Peronosporales","Peronosporaceae","Bremia","JGI"
"6","Stramenopiles","Blahom1","Blahom1|1034|rna149"," -"," PTHR19842.orig.30.pi"," -",3.8e-55,185.5,1.6,4.3e-55,185.3,1.6,12968,"Blastocystis hominis Singapore isolate B (sub-type 7)","Bigyra",NA,"Opalinata","Blastocystidae","Blastocystis","JGI"
"7","Stramenopiles","Cyccr2","6873|CCRYP_006718-R"," -"," PTHR19842.orig.30.pi"," -",9.7e-110,366.1,3.4,1e-110,365.9,3.4,29204,"Cyclotella cryptica CCMP332 v2.0","Coscinodiscophyceae","Bacillariophyta","Stephanodiscales","Stephanodiscaceae","Cyclotella","JGI"
"8","Stramenopiles","Cafroe1",""," -"," PTHR19842.orig.30.pi"," -",3.8e-69,232,0,4.7e-69,231.6,0,33653,"Cafeteria roenbergensis BVI","Bigyra",NA,"Bicosoecida","Cafeteriaceae","Cafeteria","JGI"
"9","Stramenopiles","Mosaich1","_gw1.671.11.1"," -"," PTHR19842.orig.30.pi"," -",3.4e-99,331.3,0,3.8e-99,331.1,0,33852,"Bacillariophyceae sp. bin 90 v1.0","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae",NA,"JGI"
"10","Stramenopiles","Macpyr2","025_c0_g1_i10"," -"," PTHR19842.orig.30.pi"," -",2.9e-115,385.1,6.2,4e-116,384.8,6.2,35122,"Macrocystis pyrifera CI_03 v1.0","Phaeophyceae",NA,"Laminariales","Laminariaceae","Macrocystis","JGI"
"11","Stramenopiles","Psemu1",""," -"," PTHR19842.orig.30.pi"," -",1.5e-99,333,0.1,1.7e-99,332.9,0.1,37319,"Pseudo-nitzschia multiseries CLN-47","Bacillariophyceae","Bacillariophyta","Bacillariales","Bacillariaceae","Pseudo-nitzschia","JGI"
"12","Stramenopiles","Parimp1","TY_DN9870_c0_g1_i1"," -"," PTHR19842.orig.30.pi"," -",3.8e-99,331.5,4.9,4.6e-99,331.2,4.9,37642,"Paraphysomonas imperforata CCMP1604 v1.4","Chrysophyceae",NA,"Chromulinales","Paraphysomonadaceae","Paraphysomonas","JGI"
"13","Stramenopiles","Hypcat1","A-1"," -"," PTHR19842.orig.30.pi"," -",2.6e-132,440.6,0.3,2e-133,440.3,0.3,42384,"Hyphochytrium catenoides ATCC 18719","Hyphochytriomycetes",NA,NA,"Hyphochytriaceae","Hyphochytrium","JGI"
"14","Stramenopiles","Auran1","jgi|Auran1|34399"," -"," PTHR19842.orig.30.pi"," -",8e-104,346.3,1,9e-105,346.2,1,44056,"Aureococcus anophagefferens clone 1984 v1.0","Pelagophyceae",NA,"Pelagomonadales","Pelagomonadaceae","Aureococcus","JGI"
"15","Stramenopiles","VisC74","ntig_1_g03440.t1"," -"," PTHR19842.orig.30.pi"," -",7.9e-120,399.4,1.6,7e-121,399.1,1.6,44431,"Vischeria strain C74","Eustigmatophyceae",NA,"Eustigmatales","Chlorobotryaceae","Vischeria","JGI"
"16","Stramenopiles","NanspC018","#_328"," -"," PTHR19842.orig.30.pi"," -",1.9e-113,377.6,0.5,2e-114,377.4,0.5,52230,"Nannochloropsis oceanica C018 v1.0","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"17","Stramenopiles","Physo3","d_14:1113823-111835"," -"," PTHR19842.orig.30.pi"," -",1.7e-72,244.5,0,2e-72,244.4,0,67593,"Phytophthora sojae v3.0",NA,"Oomycota","Peronosporales","Peronosporaceae","Phytophthora","JGI"
"18","Stramenopiles","Nangad1","angad1|8435|rna2402"," -"," PTHR19842.orig.30.pi"," -",5.9e-115,382.8,0.9,6e-116,382.7,0.9,72520,"Nannochloropsis gaditana B-31","Eustigmatophyceae",NA,"Eustigmatales","Monodopsidaceae","Nannochloropsis","JGI"
"19","Stramenopiles","Undpi1","caffold_2.g00488.m1"," -"," PTHR19842.orig.30.pi"," -",3.6e-89,298.3,1.5,4.1e-89,298.1,1.5,74381,"Undaria pinnatifida M23","Phaeophyceae",NA,"Laminariales","Alariaceae","Undaria","JGI"
"20","Stramenopiles","Aplke1","h1_pm.C_460016"," -"," PTHR19842.orig.30.pi"," -",4.5e-111,370.2,2.5,9e-112,370.1,2.5,87111,"Aplanochytrium kerguelense PBS07 v1.0","Bigyra",NA,"Thraustochytrida","Thraustochytriaceae","Aplanochytrium","JGI"
