Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_001939145.1	ASM193914v1	Symbiodinium microadriaticum	2951	808226712	Scaffold
GCA_947184155.2	Cgoreaui_SCF055-01_v2.1	Cladocopium goreaui	2562237	1171456478	Scaffold
GCA_963575745.1	Prorocentrum_cordatum_CCMP1329	Polarella glacialis	89957	4145537003	Scaffold
GCA_963377175.1	EvRCC1521	Effrenium voratum	2562239	1158599799	Scaffold
GCA_905221605.1	Snat_CCMP2548	Symbiodinium natans	878477	761619964	Scaffold
GCA_905221615.1	Stri_CCMP2592	Symbiodinium sp. CCMP2592	631055	1103301044	Scaffold
GCA_905178155.1	a120_v1	Amoebophrya sp. A120	2202890	115520608	Scaffold
GCA_905178165.1	a25_v1	Amoebophrya sp. A25	1410381	116004390	Scaffold
GCA_963970005.1	Durusdinium_trenchii_CCMP2556	Durusdinium trenchii	1381693	1711485134	Scaffold
GCA_905231915.1	Snec_CCMP2469	Symbiodinium necroappetens	1628268	767953253	Scaffold
GCA_905221635.1	Slin_CCMP2456	Symbiodinium sp. CCMP2456	1519616	694902460	Scaffold
GCA_905237085.1	Pgla_CCMP1383	Polarella glacialis	89957	2984680192	Scaffold
GCA_905237095.1	Pgla_CCMP2088	Polarella glacialis	89957	2756104381	Scaffold
GCA_963377275.1	Evrt383	Effrenium voratum	2562239	1322947892	Scaffold
GCA_963969995.1	Durusdinium_trenchii_SCF082	Durusdinium trenchii	1381693	1636889185	Scaffold
GCA_963377065.1	EvCCMP421	Effrenium voratum	2562239	1057836601	Scaffold
GCA_905231905.1	Spil_CCMP2461	Symbiodinium pilosum	2952	1089424773	Scaffold
GCA_905231925.1	Smic_04-503SCI.03	Symbiodinium microadriaticum	2951	775008844	Scaffold
GCA_905221625.1	Smic_CassKB8	Symbiodinium sp. KB8	230985	813744491	Scaffold
