tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
KAJ0409596.1, -, PTHR19842.orig.30.pi, -,1.5e-119,398.1,0.6,7e-120,397.9,0.6,GCA_026401395.1
KAJ0405579.1, -, PTHR19842.orig.30.pi, -,1.2e-59,201.2,0.6,1.7e-09,36.5,0.0,GCA_026401395.1
KAJ0394163.1, -, PTHR19842.orig.30.pi, -,7.7e-58,195.3,0.0,6e-13,47.8,0.0,GCA_026401395.1
KAJ0409216.1, -, PTHR19842.orig.30.pi, -,4.6e-57,192.7,0.0,1.6e-16,59.5,0.0,GCA_026401395.1
KAJ0395737.1, -, PTHR19842.orig.30.pi, -,7.3e-54,182.2,3.3,7.4e-29,100.0,0.0,GCA_026401395.1
KAJ0396168.1, -, PTHR19842.orig.30.pi, -,2.3e-53,180.6,1.5,1.4e-24,86.0,0.0,GCA_026401395.1
KAJ0394313.1, -, PTHR19842.orig.30.pi, -,1.6e-49,168.0,0.0,1.5e-15,56.3,0.0,GCA_026401395.1
KAJ0407448.1, -, PTHR19842.orig.30.pi, -,2e-43,147.9,0.0,1.1e-28,99.5,0.0,GCA_026401395.1
KAJ0399072.1, -, PTHR19842.orig.30.pi, -,4e-42,143.7,5.1,2.2e-12,45.9,0.1,GCA_026401395.1
KAJ0392751.1, -, PTHR19842.orig.30.pi, -,5.6e-42,143.2,3.4,2.6e-13,49.0,0.0,GCA_026401395.1
KAJ0403870.1, -, PTHR19842.orig.30.pi, -,5.7e-41,139.9,3.1,6.4e-18,64.1,0.6,GCA_026401395.1
KAJ0394314.1, -, PTHR19842.orig.30.pi, -,1.2e-39,135.6,0.0,5e-18,64.5,0.0,GCA_026401395.1
KAJ0403933.1, -, PTHR19842.orig.30.pi, -,6.1e-39,133.2,6.0,4.9e-12,44.8,0.0,GCA_026401395.1
KAJ0406908.1, -, PTHR19842.orig.30.pi, -,1.2e-38,132.2,5.8,4.5e-18,64.6,0.2,GCA_026401395.1
KAJ0404100.1, -, PTHR19842.orig.30.pi, -,1.7e-38,131.7,6.0,9.7e-16,56.9,0.3,GCA_026401395.1
KAJ0393488.1, -, PTHR19842.orig.30.pi, -,1e-37,129.2,0.4,1.4e-17,63.0,0.0,GCA_026401395.1
KAJ0403401.1, -, PTHR19842.orig.30.pi, -,3e-37,127.6,1.8,5.1e-29,100.6,1.8,GCA_026401395.1
KAJ0405619.1, -, PTHR19842.orig.30.pi, -,3.8e-37,127.3,2.9,8.8e-15,53.8,0.6,GCA_026401395.1
KAJ0395685.1, -, PTHR19842.orig.30.pi, -,1.3e-36,125.5,0.0,1.2e-10,40.3,0.0,GCA_026401395.1
KAJ0410296.1, -, PTHR19842.orig.30.pi, -,2.4e-36,124.7,0.8,1.6e-27,95.7,0.0,GCA_026401395.1
KAJ0402816.1, -, PTHR19842.orig.30.pi, -,2.6e-36,124.6,0.1,7.6e-15,54.0,0.5,GCA_026401395.1
KAJ0401240.1, -, PTHR19842.orig.30.pi, -,7e-35,119.8,1.5,2e-11,42.8,0.1,GCA_026401395.1
KAJ0404106.1, -, PTHR19842.orig.30.pi, -,1.4e-34,118.8,0.1,6e-17,60.9,0.1,GCA_026401395.1
KAJ0407556.1, -, PTHR19842.orig.30.pi, -,3.8e-34,117.4,0.0,5.1e-13,48.0,0.0,GCA_026401395.1
KAJ0399667.1, -, PTHR19842.orig.30.pi, -,1.9e-33,115.1,0.3,8.6e-14,50.5,0.1,GCA_026401395.1
KAJ0401206.1, -, PTHR19842.orig.30.pi, -,1.9e-32,111.9,3.8,1.1e-12,46.9,0.1,GCA_026401395.1
KAJ0396046.1, -, PTHR19842.orig.30.pi, -,2.6e-32,111.4,0.4,1.7e-13,49.6,0.0,GCA_026401395.1
KAJ0397456.1, -, PTHR19842.orig.30.pi, -,3.1e-32,111.2,1.8,6.9e-22,77.1,0.1,GCA_026401395.1
KAJ0410299.1, -, PTHR19842.orig.30.pi, -,3.6e-32,110.9,1.6,7.9e-13,47.4,0.9,GCA_026401395.1
KAJ0399284.1, -, PTHR19842.orig.30.pi, -,3.7e-32,110.9,2.0,1.8e-22,79.0,0.1,GCA_026401395.1
KAJ0408528.1, -, PTHR19842.orig.30.pi, -,2.2e-31,108.3,0.2,2.5e-23,81.9,0.0,GCA_026401395.1
KAJ0397936.1, -, PTHR19842.orig.30.pi, -,4.1e-31,107.5,1.1,8.3e-16,57.2,0.5,GCA_026401395.1
KAJ0404088.1, -, PTHR19842.orig.30.pi, -,3e-30,104.6,19.9,6.3e-12,44.4,0.4,GCA_026401395.1
KAJ0410202.1, -, PTHR19842.orig.30.pi, -,7.1e-30,103.4,1.9,1.4e-16,59.7,1.6,GCA_026401395.1
KAJ0407898.1, -, PTHR19842.orig.30.pi, -,8.9e-30,103.1,0.0,3.5e-12,45.3,0.0,GCA_026401395.1
KAJ0404315.1, -, PTHR19842.orig.30.pi, -,7.7e-29,100.0,0.0,5.4e-11,41.3,0.0,GCA_026401395.1
KAJ0408849.1, -, PTHR19842.orig.30.pi, -,3.5e-28,97.8,0.0,3.4e-11,42.0,0.0,GCA_026401395.1
KAJ0404531.1, -, PTHR19842.orig.30.pi, -,6.7e-28,96.9,0.0,1.3e-15,56.5,0.0,GCA_026401395.1
KAJ0397203.1, -, PTHR19842.orig.30.pi, -,8.1e-28,96.6,0.0,3.9e-15,55.0,0.0,GCA_026401395.1
KAJ0397121.1, -, PTHR19842.orig.30.pi, -,6.7e-27,93.6,3.6,8.9e-17,60.4,0.1,GCA_026401395.1
