tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ETO30231.1, -, PTHR13298.orig.30.pi, -,5.8e-89,299.9,0.2,7.6e-89,299.5,0.2,GCA_000512085.1
ETO23178.1, -, PTHR13298.orig.30.pi, -,2.1e-07,29.8,0.1,0.0086,14.5,0.0,GCA_000512085.1
ETO03707.1, -, PTHR13298.orig.30.pi, -,3.8e-05,22.3,1.6,3.8e-05,22.3,1.6,GCA_000512085.1
ETN97191.1, -, PTHR13298.orig.30.pi, -,0.044,12.2,0.9,0.048,12.1,0.9,GCA_000512085.1
ETO26106.1, -, PTHR13298.orig.30.pi, -,0.065,11.6,0.0,0.069,11.5,0.0,GCA_000512085.1
ETO14552.1, -, PTHR13298.orig.30.pi, -,0.26,9.6,0.0,0.37,9.1,0.0,GCA_000512085.1
ETO03258.1, -, PTHR13298.orig.30.pi, -,0.99,7.7,2.9,12.0,4.2,0.1,GCA_000512085.1
CEO96991.1, -, PTHR13298.orig.30.pi, -,1.9e-146,488.3,0.0,7e-104,343.5,0.0,GCA_001049375.1
CEO94942.1, -, PTHR13298.orig.30.pi, -,0.0032,13.9,2.4,0.36,7.2,0.1,GCA_001049375.1
CEO94816.1, -, PTHR13298.orig.30.pi, -,0.0062,13.0,0.1,0.032,10.6,0.1,GCA_001049375.1
CEO96267.1, -, PTHR13298.orig.30.pi, -,0.0067,12.9,0.3,0.22,7.9,0.0,GCA_001049375.1
MES1921368.1, -, PTHR13298.orig.30.pi, -,2.2e-36,123.0,1.4,2.7e-36,122.7,1.4,GCA_040357525.1
MES1922611.1, -, PTHR13298.orig.30.pi, -,1.5e-12,44.1,4.4,1.8e-12,43.8,4.4,GCA_040357525.1
MES1922963.1, -, PTHR13298.orig.30.pi, -,1.6e-08,30.8,0.0,1.8e-08,30.5,0.0,GCA_040357525.1
MES1901962.1, -, PTHR13298.orig.30.pi, -,0.0018,13.8,0.2,0.0019,13.7,0.2,GCA_040357535.1
MES1911630.1, -, PTHR13298.orig.30.pi, -,4e-14,50.3,1.2,4.3e-14,50.1,1.2,GCA_040357565.1
MES1917955.1, -, PTHR13298.orig.30.pi, -,0.00012,18.9,0.1,0.00013,18.7,0.1,GCA_040357565.1
MES1911661.1, -, PTHR13298.orig.30.pi, -,0.0031,14.2,1.4,0.38,7.3,0.4,GCA_040357565.1
MES1917631.1, -, PTHR13298.orig.30.pi, -,0.22,8.1,6.3,0.14,8.7,0.1,GCA_040357565.1
