##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
1,Bremia lactucae SF5,Brelac1,4779,115935664,8303,N,Y,Y,N,,"Fletcher K et al.,2019",31201315,
2,Peronosclerospora sorghi P6,Persor1,230839,325250994,13951,N,Y,Y,N,,"Fletcher K et al.,2023",36592124,
3,Peronospora effusa UA202013,Pereff1,542832,58578433,8867,N,Y,Y,N,,"Fletcher K et al.,2022",35226812,
4,Euglena gracilis CCAP 1224/5Z v1.0,Euggra1,3039,2147483647,18428,N,Y,Y,N,,"Chen Z et al.,2024",39013888,
5,Pavlova sp. RCC6257 v1.0,Pavlova6257_1,2661851,77856185,24303,N,Y,N,N,,,,
6,Parmales sp. scaly parma v1.0,ScaPar1,2962637,30979897,11651,N,Y,Y,N,,"Ban H et al.,2023",37420035,
7,Triparma laevis f. inornata v1.0,Trilae1,1714386,42573550,12794,N,Y,Y,N,,"Ban H et al.,2023",37420035,
8,Cylindrotheca closterium,Cylclo1,2856,55068444,20379,N,Y,Y,N,,"Audoor S et al.,2024",38506152,
9,Coccomyxa pringsheimii SAG 216-7,Coprin2167_1,574566,50915843,9499,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
10,Apatococcus lobatus SAG 2145,Apalob2145_1,904363,106452463,10265,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
11,Myrmecia bisecta SAG 2043,Myrbis2043_1,41462,83484054,11697,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
12,Elliptochloris bilobata SAG 245.80,Ellbil24580_1,381761,52254682,8287,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
13,Cyanophora paradoxa CCMP329,Cyapar1_1,2762,98351904,21535,N,Y,Y,N,,"Price DC et al.,2019",31098614,
14,Mesotaenium kramstae Lemmermann NIES-658 v2.0,Meskra658_1,184486,331172796,14318,N,Y,N,N,,,,
15,Desmodesmus armatus isolate SE107 v1.0,DesarSE107_1,375941,116304009,17675,N,Y,Y,N,,,,10.1128/mra.00896-19
16,Trebouxia sp. A1-2,TrebouA12_1,2608996,52896788,9683,N,Y,Y,N,,"Greshake Tzovaras B et al.,2020",32163141,
17,Limnomonas spitsbergensis CCryo_02-99_CH,Limspi1,2954232,260248090,14963,N,Y,Y,N,,"Hulatt CJ et al.,2024",38662665,
