tar,tid,qry,qid,eva,sca,bia,evd,scd,bid
EDL44104.1,-,PTHR13335.orig.30.pi,-,0.00089,16.6,0.5,0.001,16.4,0.5
CAD51379.1,-,PTHR13335.orig.30.pi,-,1.1e-06,26.2,7.5,1.1e-06,26.2,7.5
CAD52271.1,-,PTHR13335.orig.30.pi,-,9.2e-06,23.1,1.3,9.2e-06,23.1,1.3
EAA19286.1,-,PTHR13335.orig.30.pi,-,0.0072,14.1,9.5,0.011,13.6,9.5
EAA18690.1,-,PTHR13335.orig.30.pi,-,0.03,12.1,9.8,0.034,11.9,9.8
EAA18350.1,-,PTHR13335.orig.30.pi,-,0.4,8.4,7.2,0.46,8.2,7.2
CAA9986481.1,-,PTHR13335.orig.30.pi,-,0.0003,18.2,4.6,0.00031,18.1,4.6
CAA9989808.1,-,PTHR13335.orig.30.pi,-,0.00064,17.0,1.1,0.0015,15.8,1.1
CAA9986774.1,-,PTHR13335.orig.30.pi,-,0.23,8.6,5.1,0.019,12.2,3.9
EER00951.1,-,PTHR13335.orig.30.pi,-,0.0014,18.0,6.4,0.19,11.0,5.0
EER16243.1,-,PTHR13335.orig.30.pi,-,0.0038,16.6,0.3,0.0089,15.4,0.3
EER11422.1,-,PTHR13335.orig.30.pi,-,0.011,15.2,8.7,0.012,15.0,8.7
EER08243.1,-,PTHR13335.orig.30.pi,-,0.012,15.0,4.3,0.013,14.9,4.3
EER03022.1,-,PTHR13335.orig.30.pi,-,1.9,7.7,1.1,2.5,7.3,1.1
EPT24656.1,-,PTHR13335.orig.30.pi,-,3.4e-13,48.3,0.0,1.9e-11,42.5,0.0
EPT30534.1,-,PTHR13335.orig.30.pi,-,7.3e-07,27.4,1.3,7.2e-06,24.1,2.3
EPT32193.1,-,PTHR13335.orig.30.pi,-,8.1e-07,27.3,0.0,8.1e-07,27.3,0.0
EPT27551.1,-,PTHR13335.orig.30.pi,-,9e-06,23.8,5.2,1.8e-05,22.8,5.2
EPT30330.1,-,PTHR13335.orig.30.pi,-,9.8e-06,23.7,1.6,9.8e-06,23.7,1.6
EPT26695.1,-,PTHR13335.orig.30.pi,-,1.8e-05,22.8,3.7,0.0036,15.2,2.8
EPT28420.1,-,PTHR13335.orig.30.pi,-,8.3e-05,20.6,4.4,0.00016,19.7,4.4
EPT28446.1,-,PTHR13335.orig.30.pi,-,0.00017,19.6,0.1,0.00017,19.6,0.1
EPT27467.1,-,PTHR13335.orig.30.pi,-,0.00035,18.5,5.1,0.00035,18.5,5.1
EPT26712.1,-,PTHR13335.orig.30.pi,-,0.00071,17.5,7.3,0.00076,17.4,7.3
