tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
AEE32509.1, -, PTHR11139.orig.30.pi, -,0.0,2139.9,28.9,0.0,2139.6,28.9,GCA_000001735.2
AEE32510.1, -, PTHR11139.orig.30.pi, -,0.0,2116.8,29.4,0.0,2116.5,29.4,GCA_000001735.2
AED94599.1, -, PTHR11139.orig.30.pi, -,0.0,1960.6,28.9,0.0,1960.3,28.9,GCA_000001735.2
ANM71086.1, -, PTHR11139.orig.30.pi, -,0.0,1960.6,28.9,0.0,1960.3,28.9,GCA_000001735.2
ANM71087.1, -, PTHR11139.orig.30.pi, -,0.0,1960.6,28.9,0.0,1960.3,28.9,GCA_000001735.2
ANM71088.1, -, PTHR11139.orig.30.pi, -,0.0,1960.6,29.0,0.0,1960.3,29.0,GCA_000001735.2
AEC06702.1, -, PTHR11139.orig.30.pi, -,0.0,1588.4,55.8,0.0,1588.1,55.8,GCA_000001735.2
AEE86614.1, -, PTHR11139.orig.30.pi, -,0.0,1521.0,58.8,0.0,1520.8,58.8,GCA_000001735.2
AEE86613.1, -, PTHR11139.orig.30.pi, -,0.0,1521.0,59.0,0.0,1520.7,59.0,GCA_000001735.2
AEE86612.1, -, PTHR11139.orig.30.pi, -,0.0,1520.2,59.0,0.0,1519.9,59.0,GCA_000001735.2
ANM64736.1, -, PTHR11139.orig.30.pi, -,2.9e-243,812.8,26.8,9e-244,812.8,26.8,GCA_000001735.2
ANM64737.1, -, PTHR11139.orig.30.pi, -,6.9e-243,811.6,27.5,9e-244,811.6,27.5,GCA_000001735.2
AEE78379.2, -, PTHR11139.orig.30.pi, -,6.5e-79,267.6,42.6,6.5e-79,267.6,42.6,GCA_000001735.2
AEE85373.1, -, PTHR11139.orig.30.pi, -,6.7e-09,35.3,6.1,9.5e-06,24.9,0.3,GCA_000001735.2
AEE33693.1, -, PTHR11139.orig.30.pi, -,1.5e-08,34.1,8.3,3.4e-08,32.9,4.3,GCA_000001735.2
AED97836.1, -, PTHR11139.orig.30.pi, -,4.1e-07,29.4,0.0,5.6e-07,28.9,0.0,GCA_000001735.2
