tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ANM66183.1, -, PTHR13335.orig.30.pi, -,0.0022,18.4,1.1,0.0035,17.8,1.1,GCA_000001735.2
AEE84654.1, -, PTHR13335.orig.30.pi, -,0.0031,17.9,0.4,0.0055,17.1,0.1,GCA_000001735.2
AEC08051.1, -, PTHR13335.orig.30.pi, -,0.023,15.1,0.0,0.03,14.7,0.0,GCA_000001735.2
ANM66756.1, -, PTHR13335.orig.30.pi, -,0.18,12.1,6.4,0.18,12.1,6.4,GCA_000001735.2
AEE85303.1, -, PTHR13335.orig.30.pi, -,0.24,11.7,12.3,0.3,11.4,12.3,GCA_000001735.2
AEE85304.1, -, PTHR13335.orig.30.pi, -,0.24,11.7,12.3,0.3,11.4,12.3,GCA_000001735.2
ANM65802.1, -, PTHR13335.orig.30.pi, -,0.42,10.9,8.8,0.56,10.5,8.8,GCA_000001735.2
AEE33746.1, -, PTHR13335.orig.30.pi, -,0.81,10.0,21.6,1.0,9.6,21.6,GCA_000001735.2
AEE76692.1, -, PTHR13335.orig.30.pi, -,0.93,9.8,5.9,0.91,9.8,5.9,GCA_000001735.2
AEE31206.1, -, PTHR13335.orig.30.pi, -,1.7,8.9,34.4,2.5,8.3,34.4,GCA_000001735.2
AEE31207.1, -, PTHR13335.orig.30.pi, -,1.7,8.9,34.4,2.5,8.3,34.4,GCA_000001735.2
ANM58494.1, -, PTHR13335.orig.30.pi, -,1.7,8.9,34.4,2.5,8.3,34.4,GCA_000001735.2
KAI9398046.1, -, PTHR13335.orig.30.pi, -,0.00073,20.1,0.0,0.0019,18.8,0.0,GCA_000002775.4
KAI9397692.1, -, PTHR13335.orig.30.pi, -,0.004,17.7,37.7,0.004,17.7,37.7,GCA_000002775.4
KAI9398048.1, -, PTHR13335.orig.30.pi, -,0.0056,17.2,0.0,0.0076,16.8,0.0,GCA_000002775.4
KAI9398047.1, -, PTHR13335.orig.30.pi, -,0.0057,17.2,0.0,0.0075,16.8,0.0,GCA_000002775.4
KAI9397691.1, -, PTHR13335.orig.30.pi, -,0.0058,17.2,37.9,0.0058,17.2,37.9,GCA_000002775.4
KAI9397690.1, -, PTHR13335.orig.30.pi, -,0.0059,17.1,37.7,0.0059,17.1,37.7,GCA_000002775.4
KAI9397689.1, -, PTHR13335.orig.30.pi, -,0.0059,17.1,37.7,0.0059,17.1,37.7,GCA_000002775.4
PNT43497.1, -, PTHR13335.orig.30.pi, -,0.029,14.8,22.0,0.034,14.6,22.0,GCA_000002775.4
KAI9387152.1, -, PTHR13335.orig.30.pi, -,0.48,10.8,17.6,0.75,10.2,17.7,GCA_000002775.4
KAI9387153.1, -, PTHR13335.orig.30.pi, -,0.48,10.8,17.6,0.75,10.2,17.7,GCA_000002775.4
PNT13049.1, -, PTHR13335.orig.30.pi, -,1.1,9.6,26.5,0.25,11.8,23.5,GCA_000002775.4
KAI9387154.1, -, PTHR13335.orig.30.pi, -,1.6,9.1,18.9,0.49,10.8,15.7,GCA_000002775.4
KAI9397355.1, -, PTHR13335.orig.30.pi, -,8.2,6.8,27.8,9.8,6.5,27.8,GCA_000002775.4
OQU84001.1, -, PTHR13335.orig.30.pi, -,2.5e-10,41.3,13.4,4.6e-10,40.5,13.4,GCA_000003195.3
KXG26777.1, -, PTHR13335.orig.30.pi, -,0.00046,20.6,27.8,0.00058,20.3,27.8,GCA_000003195.3
KXG26776.1, -, PTHR13335.orig.30.pi, -,0.00056,20.4,27.8,0.00077,19.9,27.8,GCA_000003195.3
KXG21349.1, -, PTHR13335.orig.30.pi, -,0.015,15.6,6.4,0.014,15.8,6.4,GCA_000003195.3
EES12096.1, -, PTHR13335.orig.30.pi, -,0.02,15.2,1.5,0.095,13.0,0.0,GCA_000003195.3
KXG24299.1, -, PTHR13335.orig.30.pi, -,0.054,13.8,7.0,0.058,13.7,7.0,GCA_000003195.3
KXG24296.1, -, PTHR13335.orig.30.pi, -,0.065,13.5,7.0,0.072,13.4,7.0,GCA_000003195.3
OQU83786.1, -, PTHR13335.orig.30.pi, -,0.074,13.4,0.1,0.21,11.9,0.0,GCA_000003195.3
EER87800.1, -, PTHR13335.orig.30.pi, -,0.083,13.2,0.0,0.098,13.0,0.0,GCA_000003195.3
KXG24297.1, -, PTHR13335.orig.30.pi, -,0.29,11.4,10.0,0.32,11.3,10.0,GCA_000003195.3
KXG24298.1, -, PTHR13335.orig.30.pi, -,0.29,11.4,10.0,0.32,11.3,10.0,GCA_000003195.3
OQU77461.1, -, PTHR13335.orig.30.pi, -,1.2,9.4,13.5,1.1,9.4,13.5,GCA_000003195.3
CBI16931.3, -, PTHR13335.orig.30.pi, -,0.0033,17.0,2.4,0.004,16.7,2.4,GCA_000003745.2
KGN57170.2, -, PTHR13335.orig.30.pi, -,0.0011,18.5,9.2,0.0014,18.1,9.2,GCA_000004075.3
KGN50190.1, -, PTHR13335.orig.30.pi, -,0.0062,15.9,0.2,0.013,14.9,0.0,GCA_000004075.3
KAE8653363.1, -, PTHR13335.orig.30.pi, -,2.6,7.3,31.2,2.9,7.1,31.2,GCA_000004075.3
EFH57223.1, -, PTHR13335.orig.30.pi, -,0.0065,16.3,0.0,0.0088,15.9,0.0,GCA_000004255.1
EFH69871.1, -, PTHR13335.orig.30.pi, -,0.018,14.8,31.7,0.025,14.4,31.7,GCA_000004255.1
EFH51337.1, -, PTHR13335.orig.30.pi, -,0.023,14.5,0.0,0.028,14.2,0.0,GCA_000004255.1
EFH49687.1, -, PTHR13335.orig.30.pi, -,0.025,14.4,11.3,0.028,14.2,11.3,GCA_000004255.1
EFH46065.1, -, PTHR13335.orig.30.pi, -,0.075,12.8,0.0,0.13,12.1,0.0,GCA_000004255.1
EFH51339.1, -, PTHR13335.orig.30.pi, -,0.086,12.6,0.0,0.11,12.3,0.0,GCA_000004255.1
EFH49080.1, -, PTHR13335.orig.30.pi, -,0.12,12.2,34.8,0.14,11.9,34.8,GCA_000004255.1
EFH55734.1, -, PTHR13335.orig.30.pi, -,0.12,12.1,3.4,0.16,11.7,3.4,GCA_000004255.1
EFH64379.1, -, PTHR13335.orig.30.pi, -,0.15,11.8,20.7,0.18,11.5,20.7,GCA_000004255.1
EFH43780.1, -, PTHR13335.orig.30.pi, -,3.7,7.2,14.3,4.5,6.9,14.3,GCA_000004255.1
KAG4403319.1, -, PTHR13335.orig.30.pi, -,1.6e-06,29.7,1.7,1.6e-06,29.7,1.7,GCA_000004515.5
KAG4403322.1, -, PTHR13335.orig.30.pi, -,1.2e-05,26.8,5.1,1.2e-05,26.8,5.1,GCA_000004515.5
KRH30516.1, -, PTHR13335.orig.30.pi, -,0.00011,23.5,0.0,0.00014,23.2,0.0,GCA_000004515.5
KRH26576.1, -, PTHR13335.orig.30.pi, -,0.00022,22.5,0.0,0.00045,21.5,0.0,GCA_000004515.5
KRH25162.1, -, PTHR13335.orig.30.pi, -,0.00043,21.6,0.0,0.00055,21.3,0.0,GCA_000004515.5
KAG4401976.1, -, PTHR13335.orig.30.pi, -,0.00065,21.0,4.7,0.00065,21.0,4.7,GCA_000004515.5
KRH24606.1, -, PTHR13335.orig.30.pi, -,0.0023,19.2,15.2,0.0032,18.7,15.2,GCA_000004515.5
KRH22733.1, -, PTHR13335.orig.30.pi, -,0.0061,17.8,0.0,0.011,16.9,0.0,GCA_000004515.5
KRH77422.1, -, PTHR13335.orig.30.pi, -,0.01,17.1,0.1,0.019,16.2,0.1,GCA_000004515.5
KRH28015.1, -, PTHR13335.orig.30.pi, -,0.011,16.9,0.1,0.025,15.8,0.1,GCA_000004515.5
KRH28016.1, -, PTHR13335.orig.30.pi, -,0.014,16.6,0.1,0.032,15.4,0.1,GCA_000004515.5
KRH28017.1, -, PTHR13335.orig.30.pi, -,0.021,16.0,0.0,0.038,15.2,0.0,GCA_000004515.5
KAG4387426.1, -, PTHR13335.orig.30.pi, -,0.029,15.6,0.0,0.035,15.3,0.0,GCA_000004515.5
KRH30944.1, -, PTHR13335.orig.30.pi, -,0.029,15.6,0.0,0.035,15.3,0.0,GCA_000004515.5
