tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CAM66296.1, -, PTHR33149.orig.30.pi, -,0.66,7.7,4.2,1.6,6.4,4.2,GCA_000002875.2_D1_FULL
EFC44587.1, -, PTHR33149.orig.30.pi, -,0.0022,16.8,0.3,7.5,5.1,0.0,GCA_000004985.1_D1_FULL
EFC48192.1, -, PTHR33149.orig.30.pi, -,0.44,9.2,7.2,0.72,8.5,7.2,GCA_000004985.1_D1_FULL
CBZ27360.1, -, PTHR33149.orig.30.pi, -,0.93,7.2,5.8,1.2,6.8,5.8,GCA_000234665.4_D1_FULL
EPY33289.1, -, PTHR33149.orig.30.pi, -,0.0065,14.8,5.4,0.011,14.1,5.4,GCA_000442495.1_D1_FULL
EPY30396.1, -, PTHR33149.orig.30.pi, -,0.44,8.8,4.0,0.59,8.4,4.0,GCA_000442495.1_D1_FULL
EPY31349.1, -, PTHR33149.orig.30.pi, -,0.49,8.6,3.1,0.81,7.9,3.1,GCA_000442495.1_D1_FULL
EPY28153.1, -, PTHR33149.orig.30.pi, -,0.072,11.9,0.0,0.11,11.2,0.0,GCA_000442575.2_D1_FULL
EPY24170.1, -, PTHR33149.orig.30.pi, -,1.8,7.3,5.8,0.12,11.1,0.3,GCA_000442575.2_D1_FULL
KEG14691.1, -, PTHR33149.orig.30.pi, -,1.2,7.2,4.3,2.3,6.3,4.3,GCA_000691245.1_D1_FULL
CUG93160.1, -, PTHR33149.orig.30.pi, -,0.048,12.5,0.4,0.079,11.8,0.4,GCA_001460835.1_D1_FULL
KAG8349068.1, -, PTHR33149.orig.30.pi, -,0.82,7.7,8.5,1.2,7.2,0.4,GCA_019425475.1_D1_FULL
KAH8606973.1, -, PTHR33149.orig.30.pi, -,1.4,7.7,8.5,2.0,7.2,0.4,GCA_021307395.1_D1_FULL
CAC9461684.1, -, PTHR33149.orig.30.pi, -,0.69,7.7,4.2,1.7,6.4,4.2,GCA_900500625.2_D1_FULL
CAD2220863.1, -, PTHR33149.orig.30.pi, -,0.044,11.9,0.0,0.07,11.2,0.0,GCA_903995115.1_D1_FULL
CAD2217022.1, -, PTHR33149.orig.30.pi, -,1.1,7.3,5.8,0.075,11.1,0.3,GCA_903995115.1_D1_FULL
