Clade,Name,Accession,BUSCO Status,Completed Single Copy,Completed Duplicated Copy,Fragmented,Missing,Orthologs searched,C score,Frag score,Notes,links ,TBLASTN,SIN1,RICTOR,RAPTOR,LST8,TOR
Excavata,Giardia intestinalis,GCA_000002435.2,Done,60,1,15,179,255,23.92%,5.88%,,,,,,,,
Excavata,Trypanosoma brucei brucei,GCA_000002445.1,Done,127,0,2,1,130,97.69%,1.54%,,,,,,,,
Excavata,Leishmania major,GCA_000002725.2,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Trichomonas vaginalis,GCA_000002825.3,Done,105,28,17,105,255,52.16%,6.67%,,,,,,,,
Excavata,Leishmania braziliensis,GCA_000002845.2,Done ,126,0,2,2,130,96.92%,1.54%,,,,,,,,
Excavata,Leishmania infantum,GCA_000002875.2,Done ,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Naegleria gruberi,GCA_000004985.1,Done,194,4,26,31,255,77.65%,10.20%,,,,,,,,
Excavata,Giardia intestinalis,GCA_000182405.1,Done ,60,0,17,178,255,23.53%,6.67%,,,,,,,,
Excavata,Giardia lamblia,GCA_000182665.1,Done,61,0,16,178,255,23.92%,6.27%,,,,,,,,
Excavata,Trypanosoma cruzi,GCA_000188675.2,Done ,121,0,6,3,130,93.08%,4.62%,,,,,,,,
Excavata,Trypanosoma cruzi,GCA_000209065.1,Done,91,36,2,1,130,97.69%,1.54%,,,,,,,,
Excavata,Trypanosoma brucei ,GCA_000210295.1,Done ,128,0,2,0,130,98.46%,1.54%,,,,,,,,
Excavata,Leishmania donovani,GCA_000227135.2,Done ,128,1,0,1,130,99.23%,0.00%,,,,,,,,
Excavata,Trypanosoma vivax,GCA_000227375.1,Done,11,1,3,115,130,9.23%,2.31%,,,,,,,,
Excavata,Trypanosoma congolense,GCA_000227395.2,Done,44,1,19,66,130,34.62%,14.62%,,,,,,,,
Excavata,Leishmania mexicana,GCA_000234665.4,Done ,129,0,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Trypanosoma cruzi marinkellei,GCA_000300495.1,Done ,128,0,1,1,130,98.46%,0.77%,,,,,,,,
Excavata,Strigomonas culicis,GCA_000442495.1,Done ,80,15,26,9,130,73.08%,20.00%,,,,,,,,
Excavata,Angomonas deanei,GCA_000442575.2,Done,77,26,22,5,130,79.23%,16.92%,ncbi warning: too long ,,,,,,,
Excavata,Trypanosoma rangeli,GCA_000492115.1,Done,123,0,5,2,130,94.62%,3.85%,,,,,,,,
Excavata,Trypanosoma cruzi,GCA_000496795.1,Done,118,0,11,1,130,90.77%,8.46%,,,,,,,,
Excavata,Spironucleus salmonicida,GCA_000497125.2,Done,44,4,18,189,255,18.82%,7.06%,,,,,,,,
Excavata,Giardia intestinalis ,GCA_000498715.1,Done ,59,1,16,179,255,23.53%,6.27%,,,,,,,,
Excavata,Giardia intestinalis ,GCA_000498735.1,Done ,59,0,16,180,255,23.14%,6.27%,,,,,,,,
Excavata,Phytomonas sp. em1 ,GCA_000582765.1,Done ,117,0,12,1,130,90.00%,9.23%,,,,,,,,
Excavata,Trypanosoma grayi,GCA_000691245.1,Done,124,0,5,1,130,95.38%,3.85%,,,,,,,,
Excavata,Leishmania panamensis,GCA_000755165.1,Done ,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Phytomonas sp. hart1,GCA_000982615.1,Done ,104,0,25,1,130,80.00%,19.23%,,,,,,,,
Excavata,Perkinsela sp. ccap 1560/4,GCA_001235845.1,Done ,83,2,9,36,130,65.38%,6.92%,,,,,,,,
Excavata,Leptomonas pyrrhocoris,GCA_001293395.1,Done ,109,21,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Leptomonas seymouri,GCA_001299535.1,Done ,129,0,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Trypanosoma equiperdum,GCA_001457755.2,Done ,123,0,0,7,130,94.62%,0.00%,,,,,,,,
Excavata,Bodo saltans,GCA_001460835.1,Done ,113,3,11,3,130,89.23%,8.46%,,,,,,,,
Excavata,Giardia intestinalis ,GCA_001543975.1,Done ,59,0,17,179,255,23.14%,6.67%,,,,,,,,
Excavata,Monocercomonoides exilis,GCA_001643675.2,Done ,129,23,13,90,255,59.61%,5.10%,,,,,,,,
Excavata,Tritrichomonas foetus,GCA_001839685.2,Done ,104,25,12,114,255,50.59%,4.71%,,,,,,,,
Excavata,Trypanosoma theileri ,GCA_002087225.1,Done ,129,0,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Trypanosoma cruzi cruzi ,GCA_002219105.2,Done ,128,2,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_003177095.1,Done,23,106,0,1,130,99.23%,0.00%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_003177105.1,Done,107,9,14,0,130,89.23%,10.77%,,,,,,,,
Excavata,Naegleria lovaniensis,GCA_003324165.2,Done,201,19,12,23,255,86.27%,4.71%,,,,,,,,
Excavata,Trypanosoma brucei equiperdum,GCA_003543875.1,Done,97,2,6,25,130,76.15%,4.62%,,,,,,,,
Excavata,Kipferlia bialata,GCA_003568945.1,Done,44,4,56,151,255,18.82%,21.96%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_003719155.1,Done,70,39,17,4,130,83.85%,13.08%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_003719455.1,Done,126,0,4,0,130,96.92%,3.08%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_003719475.1,Done,125,0,5,0,130,96.15%,3.85%,,,,,,,,
Excavata,Trypanosoma rangeli ,GCA_003719485.1,Done,127,0,2,1,130,97.69%,1.54%,,,,,,,,
Excavata,Leishmania donovani,GCA_003719575.1,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Leishmania donovani,GCA_003730175.1,Done,125,4,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Leishmania donovani,GCA_003730215.1,Done,125,4,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Giardia muris,GCA_006247105.1,Done,55,2,18,180,255,22.35%,7.06%,,,,,,,,
Excavata,Naegleria fowleri,GCA_008403515.1,Done,215,4,8,28,255,85.88%,3.14%,,,,,,,,
Excavata,Streblomastix strix,GCA_008636045.1,Done,92,5,46,112,255,38.04%,18.04%,,,,,,,,
Excavata,Leishmania tarentolae,GCA_009731335.1,Done,127,1,1,1,130,98.46%,0.77%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_013358655.1,Done,128,0,0,2,130,98.46%,0.00%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_015033625.1,Done,129,1,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Trypanosoma cruzi ,GCA_015033655.1,Done,127,1,0,2,130,98.46%,0.00%,,,,,,,,
Excavata,Leishmania enriettii,GCA_017916305.1,Done,128,0,0,2,130,98.46%,0.00%,,,,,,,,
Excavata,Leishmania martiniquensis,GCA_017916325.1,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Leishmania orientalis,GCA_017916335.1,Done,129,0,1,0,130,99.23%,0.77%,,,,,,,,
Excavata,Leishmania sp. ghana 2012 lv757,GCA_017918215.1,Done,126,0,0,4,130,96.92%,0.00%,,,,,,,,
Excavata,Leishmania sp. namibia,GCA_017918225.1,Done,129,0,0,1,130,99.23%,0.00%,,,,,,,,
Excavata,Porcisia hertigi,GCA_017918235.1,Done,126,2,0,2,130,98.46%,0.00%,,,,,,,,
Excavata,Novymonas esmeraldas,GCA_019188245.1,Done,125,0,0,5,130,96.15%,0.00%,,,,,,,,
Excavata,Trypanosoma vivax,GCA_019425475.1,Done,119,0,1,10,130,91.54%,0.77%,,,,,,,,
Excavata,Carpediemonas membranifera,GCA_019828565.1,Done,100,24,29,102,255,48.63%,11.37%,,,,,,,,
Excavata,Histomonas meleagridis,GCA_020184695.1,Done,93,26,25,111,255,46.67%,9.80%,,,,,,,,
Excavata,Histomonas meleagridis,GCA_020186115.1,Done,95,27,24,109,255,47.84%,9.41%,,,,,,,,
Excavata,Trypanosoma vivax,GCA_021307395.1,Done,103,8,8,11,130,85.38%,6.15%,ncbi warning: genome too long ,,,,,,,
Excavata,Trypanosoma melophagium,GCA_022059095.1,Done,130,0,0,0,130,100.00%,0.00%,,,,,,,,
Excavata,Aduncisulcus paluster,GCA_024181965.1,Done,76,4,29,146,255,31.37%,11.37%,,,,,,,,
Excavata,Leishmania braziliensis,GCA_024505685.1,Done,121,0,3,6,130,93.08%,2.31%,,,,,,,,
Excavata,Trichomonas vaginalis g3,GCA_026262505.1,Done,103,30,17,105,255,52.16%,6.67%,,,,,,,,
Excavata,Acrasis kona,GCA_026419775.2,Done,192,26,17,20,255,85.49%,6.67%,,,,,,,,
Excavata,Anaeramoeba flamelloides,GCA_027625915.1,Done,37,166,8,44,255,79.61%,3.14%,,,,,,,,
Excavata,Paratrimastix pyriformis,GCA_027972325.1,Done,156,3,17,79,255,62.35%,6.67%,,,,,,,,
Excavata,Anaeramoeba ignava,GCA_028826165.1,Done,174,23,7,51,255,77.25%,2.75%,,,,,,,,
Excavata,Anaeramoeba flamelloides,GCA_028892595.1,Done,30,173,6,46,255,79.61%,2.35%,,,,,,,,
Excavata,Diplonema papillatum,GCA_030068145.1,Done,45,6,12,67,130,39.23%,9.23%,,,,,,,,
