tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
AAZ13085.1, -, PTHR13298.orig.30.pi, -,2.8e-226,752.5,0.0,3e-227,751.9,0.0,GCA_000002445.1
CAJ16416.1, -, PTHR13298.orig.30.pi, -,0.41,6.8,3.9,4.2,3.5,0.1,GCA_000002445.1
CAJ04835.1, -, PTHR13298.orig.30.pi, -,5.5e-244,811.1,0.0,9e-245,810.8,0.0,GCA_000002725.2
CAJ03736.1, -, PTHR13298.orig.30.pi, -,0.038,10.1,0.1,0.051,9.7,0.1,GCA_000002725.2
CAJ06420.1, -, PTHR13298.orig.30.pi, -,1.9,4.5,6.6,0.25,7.5,1.1,GCA_000002725.2
CAM36643.1, -, PTHR13298.orig.30.pi, -,2.8e-217,722.6,0.0,4e-218,722.0,0.0,GCA_000002845.2
CAM40719.1, -, PTHR13298.orig.30.pi, -,1.8,4.6,4.4,0.5,6.4,0.5,GCA_000002845.2
CAM68252.1, -, PTHR13298.orig.30.pi, -,1.3e-234,780.0,0.0,7e-235,779.7,0.0,GCA_000002875.2
CAM65708.1, -, PTHR13298.orig.30.pi, -,0.3,7.1,3.8,5.1,3.1,0.0,GCA_000002875.2
CAM71335.1, -, PTHR13298.orig.30.pi, -,2.5,4.1,4.9,0.81,5.7,0.7,GCA_000002875.2
EFC50597.1, -, PTHR13298.orig.30.pi, -,2.4e-89,299.9,31.9,2.4e-89,299.9,31.9,GCA_000004985.1
EFC44443.1, -, PTHR13298.orig.30.pi, -,0.017,12.3,0.5,0.86,6.6,0.1,GCA_000004985.1
EFC47776.1, -, PTHR13298.orig.30.pi, -,0.021,11.9,0.6,0.029,11.5,0.6,GCA_000004985.1
EFC41340.1, -, PTHR13298.orig.30.pi, -,0.029,11.5,0.2,0.031,11.3,0.2,GCA_000004985.1
EKG08664.1, -, PTHR13298.orig.30.pi, -,8.7e-170,565.7,0.0,2e-170,565.3,0.0,GCA_000188675.2
EKG07266.1, -, PTHR13298.orig.30.pi, -,0.0027,14.3,3.1,0.0034,14.0,3.1,GCA_000188675.2
