Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Stats Total Sequence Length	Assembly Level
GCA_003013715.2	ASM301371v2	Candidozyma auris	498019	12249773	Complete Genome
GCA_003054445.1	ASM305444v1	Pichia kudriavzevii	4909	10812555	Complete Genome
GCA_030384665.1	ASM3038466v1	Lodderomyces elongisporus	36914	16086460	Complete Genome
GCA_000090985.2	ASM9098v2	Micromonas commoda	296587	20989326	Complete Genome
GCA_000026945.1	ASM2694v1	Candida dubliniensis CD36	573826	14618422	Complete Genome
GCA_029203305.1	ASM2920330v1	Yamadazyma tenuis	2315449	10831699	Complete Genome
GCA_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802	226230	11913776	Complete Genome
GCA_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815	226126	12104871	Complete Genome
GCA_036426115.1	ASM3642611v1	Kwoniella botswanensis	1268659	23007246	Complete Genome
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans	796027	15938258	Complete Genome
GCA_029542845.1	ASM2954284v1	Malassezia nana	180528	7702145	Complete Genome
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei	1514897	7331251	Complete Genome
GCA_029542785.1	ASM2954278v1	Malassezia japonica	223818	8433779	Complete Genome
GCA_029542925.1	ASM2954292v1	Malassezia vespertilionis	2020962	7595203	Complete Genome
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans	2070801	31798767	Complete Genome
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118	1296100	24551665	Complete Genome
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus	2545709	11416521	Complete Genome
GCA_001720195.2	ASM172019v2	Cryptococcus depauperatus CBS 7841	1295531	16179376	Complete Genome
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117	1296121	23932770	Complete Genome
GCA_035658355.1	ASM3565835v1	Kwoniella shivajii	564305	22171496	Complete Genome
GCA_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074	1295534	23026020	Complete Genome
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737	1296096	20887338	Complete Genome
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis	1734106	21305292	Complete Genome
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum	45286	8922523	Complete Genome
GCA_014133895.1	ASM1413389v1	Torulaspora globosa	48254	9281121	Complete Genome
GCA_042764415.1	Remth1	Remersonia thermophila	72144	27414229	Complete Genome
GCA_011074865.2	ASM1107486v2	Brettanomyces nanus	13502	10117252	Complete Genome
GCA_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola	279322	20237334	Complete Genome
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis	1775926	15114296	Complete Genome
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis	1821822	8000312	Complete Genome
GCA_029542945.1	ASM2954294v1	Malassezia obtusa	76774	8169464	Complete Genome
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi	948313	7453460	Complete Genome
GCA_029542765.1	ASM2954276v1	Malassezia psittaci	1821823	8186253	Complete Genome
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis	253288	8264016	Complete Genome
GCA_029542885.1	ASM2954288v1	Malassezia caprae	1381934	7728824	Complete Genome
GCA_000146045.2	R64	Saccharomyces cerevisiae S288C	559292	12071326	Complete Genome
GCA_000002985.3	WBcel235	Caenorhabditis elegans	6239	100272607	Complete Genome
GCA_030704535.1	ASM3070453v1	Vitis vinifera	29760	494873210	Complete Genome
GCA_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47	660027	50358849	Complete Genome
GCA_022201045.1	DVS_A1.0	Citrus sinensis	2711	298977511	Complete Genome
GCA_001761485.1	ASM176148v1	Yarrowia lipolytica	4952	20500066	Complete Genome
GCA_000143535.4	ASM14353v4	Botrytis cinerea B05.10	332648	42630066	Complete Genome
GCA_016906535.1	ASM1690653v1	Rhizoctonia solani	456999	40703773	Complete Genome
GCA_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042	1003335	10920159	Complete Genome
GCA_000002725.2	ASM272v2	Leishmania major strain Friedlin	347515	32855089	Complete Genome
GCA_020647865.1	ASM2064786v1	Trichoderma asperellum	101201	37545380	Complete Genome
GCA_020647795.1	ASM2064779v1	Trichoderma atroviride	63577	37300646	Complete Genome
GCA_900002385.2	GCA_900002385	Plasmodium yoelii	5861	23043114	Complete Genome
GCA_009556855.1	ASM955685v1	Talaromyces marneffei	37727	28198338	Complete Genome
GCA_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D	280699	16546747	Complete Genome
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum	230603	11715280	Complete Genome
GCA_000687475.2	ASM68747v2	Ustilaginoidea virens	1159556	37060086	Complete Genome
GCA_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464	573729	38744216	Complete Genome
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus	3088	104665984	Complete Genome
GCA_026914185.1	ASM2691418v1	Puccinia triticina	208348	122823596	Complete Genome
GCA_016767815.1	ASM1676781v1	Penicillium digitatum	36651	26336737	Complete Genome
GCA_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis	1069201	37256495	Complete Genome
GCA_011074885.2	ASM1107488v2	Brettanomyces bruxellensis	5007	13150648	Complete Genome
GCA_003290485.1	ASM329048v1	Malassezia restricta	76775	7330907	Complete Genome
GCA_033473495.1	ASM3347349v1	Cercospora beticola	122368	36074111	Complete Genome
GCA_033870435.1	ASM3387043v1	Sordaria macrospora	5147	39444728	Complete Genome
GCA_000836335.2	ASM83633v2	Cryptococcus bacillisporus CA1280	1296109	17825526	Complete Genome
GCA_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri	182096	29697343	Complete Genome
GCA_038181435.1	ASM3818143v1	Fusarium acuminatum	5515	46698876	Complete Genome
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1	877507	34970730	Complete Genome
GCA_045014175.1	ASM4501417v1	Kerria lacca	473130	256623901	Complete Genome
GCA_004011695.2	ASM401169v2	Ascochyta rabiei	5454	40846718	Complete Genome
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei	59799	20976081	Complete Genome
GCA_013426205.1	ASM1342620v1	Metarhizium brunneum	500148	37771916	Complete Genome
GCA_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895	284811	9095748	Complete Genome
GCA_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku	869250	8983596	Complete Genome
GCA_034359265.1	ASM3435926v1	Canna indica	4628	752924351	Complete Genome
GCA_041870755.1	OSU_Fsam_1.1	Fusarium sambucinum	5128	38374918	Complete Genome
GCA_034447905.1	ASM3444790v1	Colletotrichum destructivum	34406	51750812	Complete Genome
GCA_026184415.1	ASM2618441v1	Trichothecium roseum	47278	33510174	Complete Genome
GCA_026873545.1	ASM2687354v1	Fusarium falciforme	195108	53563088	Complete Genome
GCA_023205875.1	ASM2320587v1	Chloropicon primus	1764295	17584162	Complete Genome
GCA_964275055.1	MOSE0	Monosporozyma servazzii	27293	12262199	Complete Genome
GCA_016952355.1	ASM1695235v1	Fusarium culmorum	5516	37519305	Complete Genome
GCA_020509005.2	Cfulv_R5_v5	Fulvia fulva	5499	67169167	Complete Genome
GCA_000092065.1	ASM9206v1	Ostreococcus lucimarinus CCE9901	436017	13204888	Complete Genome
GCA_041154625.1	CerSpe_IZO01_v1.0	Prunus speciosa	378228	269259082	Complete Genome
GCA_023278565.1	ASM2327856v1	Colletotrichum lupini	145971	63407421	Complete Genome
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae	2747967	49477711	Complete Genome
GCA_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis	1220207	34318862	Complete Genome
GCA_042100115.1	ASM4210011v1	Alternaria dauci	48095	34906709	Complete Genome
GCA_022605165.1	ASM2260516v1	Purpureocillium takamizusanense	2060973	35574015	Complete Genome
GCA_004217705.1	ASM421770v1	Metschnikowia aff. pulcherrima	2163413	15801215	Complete Genome
GCA_007735645.1	ASM773564v1	Venturia effusa	50376	45212240	Complete Genome
GCA_009938135.1	ASM993813v1	Malassezia furfur	55194	8268083	Complete Genome
GCA_036417295.1	ASM3641729v1	Cryptococcus decagattii	1859122	17768546	Complete Genome
GCA_001984395.2	ASM198439v2	Zygosaccharomyces parabailii	1365886	20834458	Complete Genome
GCA_034226045.1	ASM3422604v1	Picochlorum sp. SENEW3	1470871	4091095	Complete Genome
GCA_900080155.1	UBRO_v3	Ustilago bromivora	307758	20447485	Complete Genome
GCA_036810445.1	ASM3681044v1	Kwoniella europaea PYCC6329	1423913	22833461	Complete Genome
GCA_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126	578455	36912256	Complete Genome
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii	1491479	40078385	Complete Genome
GCA_013368755.1	ASM1336875v1	Talaromyces rugulosus	121627	35758560	Complete Genome
GCA_023920165.1	ASM2392016v1	Curvularia clavata	95742	32360171	Complete Genome
GCA_020906515.1	ASM2090651v1	Vanrija pseudolonga	143232	24922244	Complete Genome
GCA_001592805.2	ASM159280v2	Peltaster fructicola	286661	18987130	Complete Genome
GCA_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei	54757	18338688	Complete Genome
GCA_013402915.1	ASM1340291v1	Zygotorulaspora mrakii	42260	10412516	Complete Genome
GCA_036630325.1	ASM3663032v1	Vairimorpha necatrix	6039	15005441	Complete Genome
GCA_038396805.1	Version 1	Chloropicon roscoffensis	1461544	16820234	Complete Genome
GCA_964275045.1	MOUN0	Monosporozyma unispora	27294	12741222	Complete Genome
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae	38082	7303369	Complete Genome
