tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
nesh1_pg.C_230170, -, PTHR11139.orig.30.pi, -,0.0,1391.1,7.4,0.0,1389.6,7.4,Bigna1_TOR
g.38_#_26, -, PTHR11139.orig.30.pi, -,0.0,1290.0,17.3,0.0,1289.6,17.3,Bigna1_TOR
1, -, PTHR11139.orig.30.pi, -,3.9e-276,920.7,60.2,9e-277,920.4,60.2,Bigna1_TOR
3.1, -, PTHR11139.orig.30.pi, -,2e-173,580.0,2.3,5e-174,579.7,2.3,Bigna1_TOR
ewise1.C_1300005, -, PTHR11139.orig.30.pi, -,3.7e-126,423.2,0.0,1e-127,423.0,0.0,Bigna1_TOR
nesh1_pg.C_230042, -, PTHR11139.orig.30.pi, -,3e-124,416.9,26.3,3e-124,416.9,26.3,Bigna1_TOR
691, -, PTHR11139.orig.30.pi, -,6.8e-28,97.2,0.0,7.2e-28,97.1,0.0,Bigna1_TOR
13361, -, PTHR11139.orig.30.pi, -,1.4e-18,66.3,0.5,5e-18,64.5,0.5,Bigna1_TOR
37.1, -, PTHR11139.orig.30.pi, -,1.5e-17,62.9,0.0,9.8e-09,33.6,0.0,Bigna1_TOR
693, -, PTHR11139.orig.30.pi, -,2.6e-16,58.7,0.1,2.6e-16,58.7,0.1,Bigna1_TOR
8801, -, PTHR11139.orig.30.pi, -,1.7e-15,56.0,0.5,1.4e-13,49.7,0.1,Bigna1_TOR
nesh1_pg.C_150088, -, PTHR11139.orig.30.pi, -,5.3e-11,41.1,0.2,7.1e-11,40.7,0.2,Bigna1_TOR
8.1, -, PTHR11139.orig.30.pi, -,7.7e-10,37.3,0.0,9.5e-10,37.0,0.0,Bigna1_TOR
g.1_#_64, -, PTHR11139.orig.30.pi, -,3e-08,32.0,1.3,3.4e-07,28.5,0.2,Bigna1_TOR
nesh1_pg.C_1010034, -, PTHR11139.orig.30.pi, -,3.5e-08,31.8,3.0,5e-08,31.3,3.0,Bigna1_TOR
nesh1_pg.C_630024, -, PTHR11139.orig.30.pi, -,7e-08,30.8,0.0,1.3e-07,29.9,0.0,Bigna1_TOR
, -, PTHR11139.orig.30.pi, -,1.5e-07,29.7,6.1,0.0029,15.4,0.4,Bigna1_TOR
16261, -, PTHR11139.orig.30.pi, -,3.6e-07,28.4,1.9,3.6e-07,28.4,1.9,Bigna1_TOR
5.1, -, PTHR11139.orig.30.pi, -,5.6e-07,27.8,0.6,5.6e-07,27.8,0.6,Bigna1_TOR
nesh1_pm.C_1000003, -, PTHR11139.orig.30.pi, -,8.9e-06,23.8,1.2,1.2e-05,23.4,1.2,Bigna1_TOR
nesh1_pg.C_1380008, -, PTHR11139.orig.30.pi, -,2.6e-05,22.2,0.4,4.9e-05,21.3,0.4,Bigna1_TOR
.1, -, PTHR11139.orig.30.pi, -,3.2e-05,22.0,0.4,3.6e-05,21.8,0.4,Bigna1_TOR
10120, -, PTHR11139.orig.30.pi, -,3.7e-05,21.7,1.1,4.9e-05,21.3,1.1,Bigna1_TOR
703, -, PTHR11139.orig.30.pi, -,9.1e-05,20.4,0.3,0.00012,20.0,0.3,Bigna1_TOR
17232, -, PTHR11139.orig.30.pi, -,0.00012,20.0,0.4,0.00012,20.0,0.4,Bigna1_TOR
ewise1Plus.C_112002, -, PTHR11139.orig.30.pi, -,0.00042,18.2,0.0,0.00049,18.0,0.0,Bigna1_TOR
nesh1_pm.C_110010, -, PTHR11139.orig.30.pi, -,0.00051,18.0,0.2,0.0064,14.3,0.2,Bigna1_TOR
5655, -, PTHR11139.orig.30.pi, -,0.00087,17.2,0.1,0.0013,16.6,0.1,Bigna1_TOR
nesh1_pg.C_90012, -, PTHR11139.orig.30.pi, -,0.0022,15.8,1.2,0.02,12.7,1.1,Bigna1_TOR
ewise1Plus.C_500017, -, PTHR11139.orig.30.pi, -,0.0037,15.1,7.5,0.0039,15.0,4.9,Bigna1_TOR
8584, -, PTHR11139.orig.30.pi, -,0.017,12.9,0.0,1.3,6.6,1.4,Bigna1_TOR
nesh1_pg.C_140027, -, PTHR11139.orig.30.pi, -,0.033,11.9,3.6,0.067,10.9,3.6,Bigna1_TOR
14934, -, PTHR11139.orig.30.pi, -,0.053,11.3,0.6,0.067,10.9,0.6,Bigna1_TOR
nesh1_pm.C_190011, -, PTHR11139.orig.30.pi, -,0.061,11.1,1.7,0.078,10.7,1.7,Bigna1_TOR
g.122_#_9, -, PTHR11139.orig.30.pi, -,0.073,10.8,0.2,0.074,10.8,0.2,Bigna1_TOR
731, -, PTHR11139.orig.30.pi, -,0.076,10.8,0.3,0.095,10.4,0.3,Bigna1_TOR
