tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
MES1918981.1, -, PTHR12848.orig.30.pi, -,2.7e-26,90.3,0.1,3e-26,90.1,0.1,GCA_040357525.1
MES1918488.1, -, PTHR12848.orig.30.pi, -,1.5e-20,71.3,7.8,1.9e-20,70.9,7.8,GCA_040357525.1
MES1918982.1, -, PTHR12848.orig.30.pi, -,3.8e-20,69.9,0.1,5.3e-20,69.4,0.1,GCA_040357525.1
MES1921943.1, -, PTHR12848.orig.30.pi, -,1.5e-13,48.1,0.0,4.1e-09,33.4,0.0,GCA_040357525.1
MES1918676.1, -, PTHR12848.orig.30.pi, -,7.4e-13,45.8,0.0,8.9e-13,45.5,0.0,GCA_040357525.1
MES1918678.1, -, PTHR12848.orig.30.pi, -,8.1e-13,45.7,0.0,9.9e-13,45.4,0.0,GCA_040357525.1
MES1918675.1, -, PTHR12848.orig.30.pi, -,1.3e-12,45.0,0.0,1.6e-12,44.7,0.0,GCA_040357525.1
MES1921356.1, -, PTHR12848.orig.30.pi, -,2e-12,44.4,0.1,2.3e-12,44.1,0.1,GCA_040357525.1
MES1921357.1, -, PTHR12848.orig.30.pi, -,2e-12,44.3,0.1,2.2e-12,44.2,0.1,GCA_040357525.1
MES1918677.1, -, PTHR12848.orig.30.pi, -,2.8e-11,40.6,0.0,3.6e-11,40.2,0.0,GCA_040357525.1
MES1922196.1, -, PTHR12848.orig.30.pi, -,9.8e-11,38.8,0.3,1.7e-08,31.4,0.1,GCA_040357525.1
MES1922195.1, -, PTHR12848.orig.30.pi, -,1.1e-10,38.6,0.2,1.4e-08,31.6,0.1,GCA_040357525.1
MES1918556.1, -, PTHR12848.orig.30.pi, -,2.7e-10,37.3,0.0,3.9e-10,36.8,0.0,GCA_040357525.1
MES1921578.1, -, PTHR12848.orig.30.pi, -,3.6e-10,36.9,1.0,4.9e-10,36.5,1.0,GCA_040357525.1
MES1919638.1, -, PTHR12848.orig.30.pi, -,4.7e-10,36.5,0.0,6.2e-10,36.1,0.0,GCA_040357525.1
MES1923354.1, -, PTHR12848.orig.30.pi, -,5.3e-10,36.3,0.4,7.7e-10,35.8,0.4,GCA_040357525.1
MES1922039.1, -, PTHR12848.orig.30.pi, -,1.3e-08,31.7,0.0,1.4e-05,21.6,0.0,GCA_040357525.1
MES1918085.1, -, PTHR12848.orig.30.pi, -,1.9e-08,31.2,0.0,2.5e-08,30.8,0.0,GCA_040357525.1
MES1918282.1, -, PTHR12848.orig.30.pi, -,3e-08,30.5,0.2,3.5e-08,30.3,0.2,GCA_040357525.1
MES1922419.1, -, PTHR12848.orig.30.pi, -,1.2e-07,28.5,0.3,1.3e-07,28.4,0.3,GCA_040357525.1
MES1922078.1, -, PTHR12848.orig.30.pi, -,1.4e-07,28.4,0.0,2.6e-06,24.1,0.0,GCA_040357525.1
MES1918187.1, -, PTHR12848.orig.30.pi, -,2.6e-07,27.4,0.1,3.2e-07,27.1,0.1,GCA_040357525.1
MES1921195.1, -, PTHR12848.orig.30.pi, -,7.4e-07,25.9,0.2,2.4e-06,24.2,0.0,GCA_040357525.1
MES1923057.1, -, PTHR12848.orig.30.pi, -,2e-06,24.5,0.1,2.4e-06,24.2,0.1,GCA_040357525.1
MES1921196.1, -, PTHR12848.orig.30.pi, -,3.8e-06,23.6,0.0,4.3e-06,23.4,0.0,GCA_040357525.1
MES1923321.1, -, PTHR12848.orig.30.pi, -,1.4e-05,21.7,0.1,2.1e-05,21.1,0.1,GCA_040357525.1
