"","Accn","Group","Organism_Taxonomic_ID","Organism.Name","SIN1","RICTOR","RAPTOR","TOR","LST8","D1","C.score","Frag.score","Class name","Order name","Phylum name","Family name","Genus name"
"1","GCA_000512085.1","Rhizaria",46433,"Reticulomyxa filosa",NA,"M","L","M","L",NA,36.86,27.84,NA,NA,"Foraminifera","Reticulomyxidae","Reticulomyxa"
"2","GCA_000698435.2","Rhizaria",641309,"Lotharella oceanica",NA,NA,NA,NA,NA,"H",1.96,1.18,"Chlorarachniophyceae",NA,"Cercozoa",NA,"Lotharella"
"3","GCA_001049375.1","Rhizaria",37360,"Plasmodiophora brassicae",NA,"H","H","M","L",NA,88.63,3.92,"Phytomyxea","Plasmodiophorida","Endomyxa","Plasmodiophoridae","Plasmodiophora"
"4","GCA_009731375.1","Rhizaria",1928728,"Paulinella micropora",NA,NA,NA,NA,NA,"H",1.96,0.78,"Imbricatea","Euglyphida","Cercozoa","Paulinellidae","Paulinella"
"5","GCA_039583845.1","Rhizaria",2184066,"Marteilia pararefringens",NA,NA,NA,"L",NA,NA,21.18,12.94,"Ascetosporea","Paramyxida","Endomyxa","Marteiliidae","Marteilia"
"6","GCA_040357525.1","Rhizaria",126728,"Bonamia ostreae",NA,"L",NA,"L","L",NA,25.88,18.82,"Ascetosporea","Haplosporida","Endomyxa",NA,"Bonamia"
"7","GCA_040357535.1","Rhizaria",2844372,"Paramarteilia canceri",NA,NA,"L","L",NA,NA,9.41,15.29,"Ascetosporea","Paramyxida","Endomyxa","Marteiliidae","Paramarteilia"
"8","GCA_040357565.1","Rhizaria",1215613,"Cercozoa sp. M6MM",NA,NA,NA,"L","L",NA,55.29,14.51,NA,NA,"Cercozoa",NA,NA
