"","Super.Group","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Organism_Taxonomic_ID","Organism_Name","Class.name","Phylum.name","Order.name","Family.name","Genus.name","Source"
"1","Chlorophyta","Dunsal1","|Dusal.0279s00013.1"," -"," PTHR12848.orig.30.pi"," -",9.8e-201,669.9,0.1,1.1e-88,298.7,3.7,3046,"Dunaliella salina CCAP19/18","Chlorophyceae","Chlorophyta","Chlamydomonadales","Dunaliellaceae","Dunaliella","JGI"
"2","Chlorophyta","ChlreiCC4532","Cre08.g371957_4532."," -"," PTHR12848.orig.30.pi"," -",0,1229.4,0,0,1229,0,3055,"Chlamydomonas reinhardtii CC-4532 v6.1","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","JGI"
"3","Chlorophyta","Volca2","64|Vocar.0065s0020."," -"," PTHR12848.orig.30.pi"," -",0,1248.1,0,0,1247.6,0,3067,"Volvox carteri v2.1","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI"
"4","Chlorophyta","Chloso1230","CSI2_123000001847-R"," -"," PTHR12848.orig.30.pi"," -",2e-294,979.7,0,6e-265,878.2,0,3071,"Chlorella sorokiniana UTEX 1230","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"5","Chlorophyta","Auxeprot1","|3072|XM_011402534."," -"," PTHR12848.orig.30.pi"," -",0,1042.2,0,7e-223,739.5,0.1,3075,"Auxenochlorella protothecoides 0710","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Auxenochlorella","JGI"
"6","Chlorophyta","Chloso1602","E21_8187"," -"," PTHR12848.orig.30.pi"," -",0,1214.4,0,0,1214,0,3076,"Chlorella sorokiniana UTEX 1602","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Chlorella","JGI"
"7","Chlorophyta","Scedim1","_transcript/140"," -"," PTHR12848.orig.30.pi"," -",0,1239.3,0,0,1239,0,3087,"Scenedesmus dimorphus UTEX 1237 v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Scenedesmus","JGI"
"8","Chlorophyta","SceoblDOE13",""," -"," PTHR12848.orig.30.pi"," -",0,1238.9,0,0,1238.6,0,3088,"Scenedesmus obliquus var. DOE0013 v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Tetradesmus","JGI"
"9","Chlorophyta","Pedmin1","48|Pedmi_jg8172.t1"," -"," PTHR12848.orig.30.pi"," -",0,1223.6,0,0,1223.2,0,3159,"Pedinomonas minor SAG 1965-3","Pedinophyceae","Chlorophyta","Pedinomonadales","Pedinomonadaceae","Pedinomonas","JGI"
"10","Chlorophyta","Tetstr1","28805|TSEL_018792.t"," -"," PTHR12848.orig.30.pi"," -",0,1206.1,0,0,1205.6,0,3165,"Tetraselmis striata","Chlorodendrophyceae","Chlorophyta","Chlorodendrales","Chlorodendraceae","Tetraselmis","JGI"
"11","Chlorophyta","Chrzof2",""," -"," PTHR12848.orig.30.pi"," -",0,1271.6,0,0,1271.2,0,31302,"Chromochloris zofingiensis var. SAG 211-14 v6.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Chromochloridaceae","Chromochloris","JGI"
"12","Chlorophyta","Gonpec1","npec1|15531|rna1326"," -"," PTHR12848.orig.30.pi"," -",0,1209.7,0,0,1209.1,0,33097,"Gonium pectorale NIES-2863","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Gonium","JGI"
"13","Chlorophyta","MicrAD1","sed-gene-0.3-mRNA-1"," -"," PTHR12848.orig.30.pi"," -",0,1207.2,0,0,1203.3,0,38832,"Micromonas sp. AD1 metagenome extracted assembly","Mamiellophyceae","Chlorophyta","Mamiellales","Mamiellaceae","Micromonas","JGI"
"14","Chlorophyta","Monmin1",""," -"," PTHR12848.orig.30.pi"," -",0,1181.3,0,0,1180.9,0,39955,"Monoraphidium minutum 26B-AM v1.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","JGI"
"15","Chlorophyta","SymretAf1",""," -"," PTHR12848.orig.30.pi"," -",0,1223.9,0,0,1223.6,0,40981,"Symbiochloris reticulata Africa extracted metagenome v1.0","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Symbiochloris","JGI"
"16","Chlorophyta","Myrbis2043","1|8001|KAK9819637.1"," -"," PTHR12848.orig.30.pi"," -",0,1317.9,0,0,1317.5,0,41462,"Myrmecia bisecta SAG 2043","Trebouxiophyceae","Chlorophyta","Trebouxiales","Trebouxiaceae","Myrmecia","JGI"
"17","Chlorophyta","Haeplu1",""," -"," PTHR12848.orig.30.pi"," -",0,1020.6,0,0,1020.2,0,44745,"Haematococcus lacustris Liv1 v1.2","Chlorophyceae","Chlorophyta","Chlamydomonadales","Haematococcaceae","Haematococcus","JGI"
"18","Chlorophyta","Edade1","ade1|3637|g13083.t1"," -"," PTHR12848.orig.30.pi"," -",0,1224.2,0,0,1223.7,0,47281,"Edaphochlamys debaryana CCAP 11/70","Chlorophyceae","Chlorophyta","Chlamydomonadales",NA,"Edaphochlamys","JGI"
"19","Chlorophyta","Astgub1","ub1|8785|GFR43035.1"," -"," PTHR12848.orig.30.pi"," -",1.6e-272,907.2,0,1e-273,906.8,0,47775,"Astrephomene gubernaculifera NIES-4017","Chlorophyceae","Chlorophyta","Chlamydomonadales","Astrephomenaceae","Astrephomene","JGI"
"20","Chlorophyta","Tetso1","1_1|3213|PNH07533.1"," -"," PTHR12848.orig.30.pi"," -",0,1215.1,0,0,1214.4,0,47790,"Tetrabaena socialis NIES-571","Chlorophyceae","Chlorophyta","Chlamydomonadales","Tetrabaenaceae","Tetrabaena","JGI"
"21","Chlorophyta","Chlin1","lin1|27|g11556.t1"," -"," PTHR12848.orig.30.pi"," -",0,1131.1,0,0,1130.8,0,51695,"Chlamydomonas incerta SAG 7.73","Chlorophyceae","Chlorophyta","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","JGI"
"22","Chlorophyta","Volafr1","fr1|13645|GIL46599."," -"," PTHR12848.orig.30.pi"," -",0,1234.7,0,0,1234.2,0,51714,"Volvox africanus NIES-3780","Chlorophyceae","Chlorophyta","Chlamydomonadales","Volvocaceae","Volvox","JGI"
"23","Chlorophyta","Ostta4221","2|OT_ostta06g00980T"," -"," PTHR12848.orig.30.pi"," -",0,1283.9,1.7,0,1283.5,1.7,70448,"Ostreococcus tauri RCC4221 v3.0","Mamiellophyceae","Chlorophyta","Mamiellales","Bathycoccaceae","Ostreococcus","JGI"
"24","Chlorophyta","Treb6682","fgenesh1_pg.232_#_3"," -"," PTHR12848.orig.30.pi"," -",0,1249.6,0,0,1249.1,0,75966,"Trebouxiophyceae sp. bin 3300059473_6682 v1.0","Trebouxiophyceae","Chlorophyta",NA,NA,NA,"JGI"
"25","Chlorophyta","Enacos1","_transcript/1373"," -"," PTHR12848.orig.30.pi"," -",0,1242.9,0,0,1242.4,0,113528,"Enallax costatus CCAP 276/31 v1.1","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Enallax","JGI"
"26","Chlorophyta","Ostque1","1|2556|CAD7701866.1"," -"," PTHR12848.orig.30.pi"," -",0,1118,0,0,1117.6,0,121088,"Ostreobium quekettii SAG 6.99","Ulvophyceae","Chlorophyta","Bryopsidales","Ostreobiaceae","Ostreobium","JGI"
"27","Chlorophyta","Monneg1","12950|XM_014047380."," -"," PTHR12848.orig.30.pi"," -",1.2e-246,821.8,0,9e-247,821.2,0,145388,"Monoraphidium neglectum SAG 48.87","Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Monoraphidium","JGI"
"28","Chlorophyta","Caulen1","ulen1|95747|g2047.t"," -"," PTHR12848.orig.30.pi"," -",1.2e-292,973.4,0.8,5e-293,973,0.8,148947,"Caulerpa lentillifera","Ulvophyceae","Chlorophyta","Bryopsidales","Caulerpaceae","Caulerpa","JGI"
"29","Chlorophyta","Flerot1","T_transcript/6244"," -"," PTHR12848.orig.30.pi"," -",0,1229.9,0,0,1229.5,0,269715,"Flechtneria rotunda SEV3VF49 v1.1","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Flechtneria","JGI"
"30","Chlorophyta","Rapsub1","1754_mrna_Rsub_0175"," -"," PTHR12848.orig.30.pi"," -",0,1182.2,0,0,1177.5,0,307507,"Raphidocelis subcapitata NIES-35","Chlorophyceae","Chlorophyta","Sphaeropleales","Selenastraceae","Raphidocelis","JGI"
"31","Chlorophyta","DesarB2533",""," -"," PTHR12848.orig.30.pi"," -",0,1173.4,0,0,1172.8,0,375941,"Desmodesmus armatus UTEX B 2533 v2.0","Chlorophyceae","Chlorophyta","Sphaeropleales","Scenedesmaceae","Desmodesmus","JGI"
"32","Chlorophyta","Ellbil24580","_1|7195|KAK9843551."," -"," PTHR12848.orig.30.pi"," -",0,1219.4,0,0,1219,0,381761,"Elliptochloris bilobata SAG 245.80","Trebouxiophyceae","Chlorophyta",NA,NA,"Elliptochloris","JGI"
"33","Chlorophyta","Ulvmu1","1|1703|UM116_0016.1"," -"," PTHR12848.orig.30.pi"," -",0,1023.9,10.5,0,1023.5,10.5,498180,"Ulva mutabilis Foyn","Ulvophyceae","Chlorophyta","Ulvales","Ulvaceae","Ulva","JGI"
"34","Chlorophyta","Micco1",""," -"," PTHR12848.orig.30.pi"," -",0,1204.5,0,0,1204.1,0,554055,"Micractinium conductrix SAG 241.80","Trebouxiophyceae","Chlorophyta","Chlorellales","Chlorellaceae","Micractinium","JGI"
