##,name,portal,NCBI Taxon,assembly length,#of genes,is restricted,is public,is published,is superseded,superseded by,publication(s),pubmed id(s),doi id(s)
1,Coccomyxa pringsheimii SAG 216-7,Coprin2167_1,574566,50915843,9499,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
2,Apatococcus lobatus SAG 2145,Apalob2145_1,904363,106452463,10265,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
3,Myrmecia bisecta SAG 2043,Myrbis2043_1,41462,83484054,11697,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
4,Elliptochloris bilobata SAG 245.80,Ellbil24580_1,381761,52254682,8287,N,Y,Y,N,,"Puginier C et al.,2024",38789482,
5,Mesotaenium kramstae Lemmermann NIES-658 v2.0,Meskra658_1,184486,331172796,14318,N,Y,N,N,,,,
6,Desmodesmus armatus isolate SE107 v1.0,DesarSE107_1,375941,116304009,17675,N,Y,Y,N,,,,10.1128/mra.00896-19
7,Trebouxia sp. A1-2,TrebouA12_1,2608996,52896788,9683,N,Y,Y,N,,"Greshake Tzovaras B et al.,2020",32163141,
8,Limnomonas spitsbergensis CCryo_02-99_CH,Limspi1,2954232,260248090,14963,N,Y,Y,N,,"Hulatt CJ et al.,2024",38662665,
9,Tetrabaena socialis NIES-571,Tetso1_1,47790,135779852,12454,N,Y,Y,N,,"Featherston J et al.,2018",29294063,
10,Chloropicon primus CCMP1205,Chlpri1_1,1764295,17400691,8504,N,Y,Y,N,,"Lemieux C et al.,2019",31492891,
11,Chromochloris zofingiensis var. SAG 211-14 v6.0,Chrzof2,31302,58777831,16265,N,Y,N,N,,,,
12,Scenedesmus obliquus UTEX 3031 haplotype 1,Sob3031_h1_1,3088,101592434,11826,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
13,Scenedesmus obliquus UTEX 3031 haplotype 2,Sob3031_h2_1,3088,103421150,12494,N,Y,Y,N,,,,10.1016/j.algal.2024.103431
14,Scenedesmus obliquus SAG 2326 v1.0,Acuobl2326_1,3088,104249355,17007,Y,Y,N,N,,,,
15,Scenedesmus sp. WC-1 v1.0,ScespWC1_1,3087,102320957,17012,N,Y,N,N,,,,
16,Scenedesmus dimorphus UTEX 1237 v1.0,Scedim1,3087,102569700,17373,Y,Y,N,N,,,,
17,Haematococcus lacustris Liv1 v1.2,Haeplu1,44745,291505220,21373,N,Y,N,N,,,,
18,Haematococcus lacustris NIES-144,Haelac144_1,44745,171794631,28279,N,Y,Y,N,,"Morimoto D et al.,2020",32499361,
19,Volvox reticuliferus NIES-3786,Volre3786_1,1737510,133961728,12974,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
20,Volvox africanus NIES-3780,Volafr1,51714,129328469,12622,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
21,Volvox reticuliferus NIES-3785,Volre3785_1,1737510,133065142,13178,N,Y,Y,N,,"Yamamoto K et al.,2021",34011609,
22,Chlorella sorokiniana DOE1412,ChloDOE1412_1_1,3076,57881618,10257,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
23,Chlorella sorokiniana UTEX 1602,Chloso1602_1_1,3076,59371605,9245,N,Y,Y,N,,"Arriola MB et al.,2018",29178410,
24,Chlorella sorokiniana UTEX 1230,Chloso1230_1_1,3071,58534920,12209,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
25,Chlorella sorokiniana strain 1228,Chloso1228_1_1,3076,61391260,11701,N,Y,Y,N,,,,10.1016/j.algal.2018.09.012
26,Micractinium conductrix SAG 241.80,Micco1_1,554055,60773875,8739,N,Y,Y,N,,"Arriola MB et al.,2018",29178410,
27,Auxenochlorella protothecoides UTEX 25,Auxpr25_1_1,3075,21217637,5688,N,Y,Y,N,,,,10.1016/j.algal.2018.07.001
28,Chlamydomonas eustigma NIES-2499,Chleu1_1,1157962,66605202,13365,N,Y,Y,N,,"Hirooka S et al.,2017",28893987,
29,Trebouxiophyceae sp. bin 3300059473_978 v1.0,Trebou978_1,75966,16200188,7783,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
30,Trebouxiophyceae sp. bin 3300059473_6682 v1.0,Treb6682_1,75966,18077445,8628,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
31,Chlorellaceae sp. bin 3300059473_4402 v1.0,Trebou4402_1,2941158,14333578,8227,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
32,Chlorellaceae sp. bin 3300059473_4966 v1.0,Trebou4966_1,2941158,14819488,8098,N,Y,Y,N,,"Oliver T et al.,2024",39231974,
33,Prasinoderma coloniale CCMP1413,Praco1_1,156133,25323194,6927,N,Y,Y,N,,"Li L et al.,2020",32572216,
34,Chloromonas remiasii CCCryo 005-99 v1.0,Chlremi1,2069334,493134015,38828,N,Y,N,N,,,,
35,Chlorokybus atmophyticus CCAC 0220,Chlat1_1,3144,74335726,8693,N,Y,Y,N,,"Wang S et al.,2020",31844283,
36,Mesostigma viride NIES-296,Mesvir1_1,41882,441698809,16232,N,Y,Y,N,,"Liang Z et al.,2020",31921561,
37,Mesotaenium endlicherianum SAG 12.97,Mesen1_1,184485,173768482,10300,N,Y,Y,N,,"Cheng S et al.,2019",31730849,
38,Raphidocelis subcapitata NIES-35,Rapsub1_1,307507,51162697,13088,N,Y,Y,N,,"Suzuki S et al.,2018",29795299,
39,Botryococcus braunii Showa,Botrbrau1_1,1202541,170200492,13943,N,Y,Y,N,,"Browne DR et al.,2017",28428306,
40,Mesostigma viride CCAC 1140,Mesovir1_1,41882,281412241,8789,N,Y,Y,N,,"Wang S et al.,2020",31844283,
41,Spirogloea muscicola CCAC 0214,Spimu1_1,2576442,171136975,24093,N,Y,Y,N,,"Cheng S et al.,2019",31730849,
42,Klebsormidium nitens NIES-2285 v1.1,Klenit1_1,105231,103921766,15568,N,Y,Y,N,,"Hori K et al.,2014",24865297,
43,Astrephomene gubernaculifera NIES-4017,Astgub1,47775,103829650,13067,N,Y,Y,N,,"Yamashita S et al.,2021",34811380,
44,Chlamydomonas reinhardtii CC-4532 v6.1,ChlreiCC4532_1,3055,114035500,16090,N,Y,Y,N,,"Craig RJ et al.,2023",36562730,
45,Ostreobium quekettii SAG 6.99,Ostque1,121088,151902089,9649,N,Y,Y,N,,,,10.1016/j.cub.2021.01.018
46,Nannochloris desiccata UTEX 2526,Nandes2526_1,1650286,21550525,8818,N,Y,Y,N,,"Sanders CK et al.,2022",35262191,
47,Helicosporidium sp. ATCC 50920,Heli50920_1,1291522,12373820,5602,N,Y,Y,N,,"Pombert JF et al.,2014",24809511,
48,Nannochloris desiccata UTEX 2437,Nandes2437_1,1650286,20738005,7973,N,Y,Y,N,,"Sanders CK et al.,2022",35770994,
49,Pedinomonas minor SAG 1965-3,Pedmin1,3159,54966539,10504,N,Y,Y,N,,"Xu Y et al.,2022",35560066,
