tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
CAE8603289.1, -, PTHR13298.orig.30.pi, -,2.1e-38,133.1,0.0,1.3e-37,130.4,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8596086.1, -, PTHR13298.orig.30.pi, -,3.5e-37,129.0,0.0,3e-36,125.9,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8586789.1, -, PTHR13298.orig.30.pi, -,0.00024,20.2,0.0,0.00026,20.1,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8616754.1, -, PTHR13298.orig.30.pi, -,0.0021,17.1,0.2,0.23,10.3,0.1,GCA_905237085.1_Pianissimo_FULL
CAE8598135.1, -, PTHR13298.orig.30.pi, -,0.0024,16.9,0.0,0.032,13.2,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8585976.1, -, PTHR13298.orig.30.pi, -,0.004,16.2,0.5,0.5,9.2,0.1,GCA_905237085.1_Pianissimo_FULL
CAE8619401.1, -, PTHR13298.orig.30.pi, -,0.0049,15.9,0.1,0.58,9.0,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8625692.1, -, PTHR13298.orig.30.pi, -,0.0068,15.4,0.1,0.0088,15.1,0.1,GCA_905237085.1_Pianissimo_FULL
CAE8638624.1, -, PTHR13298.orig.30.pi, -,0.0074,15.3,0.0,0.076,12.0,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8629071.1, -, PTHR13298.orig.30.pi, -,0.041,12.8,1.0,2.4,7.0,0.4,GCA_905237085.1_Pianissimo_FULL
CAE8591182.1, -, PTHR13298.orig.30.pi, -,0.065,12.2,0.2,0.081,11.9,0.2,GCA_905237085.1_Pianissimo_FULL
CAE8619839.1, -, PTHR13298.orig.30.pi, -,0.11,11.4,0.8,3.4,6.5,0.3,GCA_905237085.1_Pianissimo_FULL
CAE8626213.1, -, PTHR13298.orig.30.pi, -,0.13,11.2,0.0,0.22,10.4,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8599490.1, -, PTHR13298.orig.30.pi, -,0.14,11.0,0.2,0.16,10.9,0.2,GCA_905237085.1_Pianissimo_FULL
CAE8633898.1, -, PTHR13298.orig.30.pi, -,0.27,10.1,0.0,0.84,8.5,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8591213.1, -, PTHR13298.orig.30.pi, -,0.29,10.0,0.2,0.38,9.6,0.2,GCA_905237085.1_Pianissimo_FULL
CAE8602255.1, -, PTHR13298.orig.30.pi, -,0.32,9.9,0.2,0.42,9.5,0.2,GCA_905237085.1_Pianissimo_FULL
CAE8628010.1, -, PTHR13298.orig.30.pi, -,0.34,9.8,0.0,4.5,6.1,0.0,GCA_905237085.1_Pianissimo_FULL
CAE8633834.1, -, PTHR13298.orig.30.pi, -,0.91,8.4,0.9,1.4,7.7,0.3,GCA_905237085.1_Pianissimo_FULL
CAE8608336.1, -, PTHR13298.orig.30.pi, -,6.0,5.7,17.1,6.7,5.5,17.1,GCA_905237085.1_Pianissimo_FULL
CAE8622767.1, -, PTHR13298.orig.30.pi, -,7.0,5.4,4.1,21.0,3.9,0.0,GCA_905237085.1_Pianissimo_FULL
