"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Has_D1","Ciliate_Check","Organism_Taxonomic_ID","Organism.Name","C.score","Frag.score"
"1","GCA_000165425.1","CAK94867.1"," -"," PTHR13298.orig.30.pi"," -",4.1e-269,896.6,28.8,6e-270,896.4,28.8,FALSE,TRUE,5888,"Paramecium tetraurelia",98.83,0.58
"2","GCA_000220395.1","EGR34184.1"," -"," PTHR13298.orig.30.pi"," -",2.9e-83,278.7,6.4,3.6e-83,278.5,6.4,FALSE,TRUE,5932,"Ichthyophthirius multifiliis",82.46,5.26
"3","GCA_000751175.1","CDW85288.1"," -"," PTHR13298.orig.30.pi"," -",9.3e-168,560,24.3,8e-144,478.5,21.4,FALSE,TRUE,5949,"Stylonychia lemnae",97.66,1.17
"4","GCA_013115115.1","KAF4659893.1"," -"," PTHR13298.orig.30.pi"," -",3.8e-93,311.9,1,2.1e-45,153.8,0,FALSE,FALSE,32597,"Perkinsus olseni",89.47,2.34
"5","GCA_905182995.1","CAD8135743.1"," -"," PTHR13298.orig.30.pi"," -",2.3e-266,887.6,29.2,8e-267,887.3,29.2,FALSE,TRUE,43137,"Paramecium octaurelia",96.49,1.75
"6","GCA_905183005.1","CAD8139168.1"," -"," PTHR13298.orig.30.pi"," -",4.7e-267,889.8,30,7e-268,889.6,30,FALSE,TRUE,43138,"Paramecium pentaurelia",98.25,1.17
"7","GCA_905182985.1","CAD8054926.1"," -"," PTHR13298.orig.30.pi"," -",4.7e-265,883.5,31.7,7e-266,883.2,31.7,FALSE,TRUE,65129,"Paramecium sonneborni",98.83,0.58
"8","GCA_905237085.1","CAE8603289.1"," -"," PTHR13298.orig.30.pi"," -",2.1e-38,133.1,0,1.3e-37,130.4,0,FALSE,FALSE,89957,"Polarella glacialis",69.59,16.37
"9","GCA_001447515.1","KRX02551.1"," -"," PTHR13298.orig.30.pi"," -",2.9e-203,676.9,32.7,8e-203,674.3,32.7,FALSE,TRUE,266149,"Pseudocohnilembus persalinus",99.42,0
"10","GCA_000189635.1","EDK31723.1"," -"," PTHR13298.orig.30.pi"," -",2.3e-192,641.8,29.3,1e-192,638.1,29.3,FALSE,TRUE,312017,"Tetrahymena thermophila SB210",98.83,0
"11","GCA_013115145.1","KAF4671639.1"," -"," PTHR13298.orig.30.pi"," -",8.8e-91,304.1,0,3.2e-42,143.3,0,FALSE,FALSE,330153,"Perkinsus chesapeaki",91.23,3.51
"12","GCA_000006405.1","EEQ97606.1"," -"," PTHR13298.orig.30.pi"," -",5e-46,157,2.3,1.1e-31,109.5,0,FALSE,FALSE,423536,"Perkinsus marinus ATCC 50983",97.08,1.17
"13","GCA_001179505.1","CEM01627.1"," -"," PTHR13298.orig.30.pi"," -",4.4e-128,428.7,0,1.4e-68,231.7,0,FALSE,FALSE,1169540,"Vitrella brassicaformis CCMP3155",99.42,0
"14","GCA_914767885.1","CAG9330223.1"," -"," PTHR13298.orig.30.pi"," -",3.4e-186,621.4,11.7,6e-186,617.1,11.7,FALSE,TRUE,1481888,"Blepharisma stoltei",95.91,2.92
