tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
BAM79788.1, -, PTHR12848.orig.30.pi, -,1.3e-302,1005.4,0.0,3e-301,998.9,0.0,GCA_000091205.1
BAM81452.1, -, PTHR12848.orig.30.pi, -,1.5e-17,61.1,0.0,5.2e-14,49.4,0.0,GCA_000091205.1
BAM80214.1, -, PTHR12848.orig.30.pi, -,2.7e-17,60.2,1.8,9.6e-17,58.4,1.5,GCA_000091205.1
BAM82429.1, -, PTHR12848.orig.30.pi, -,6.8e-17,58.9,6.9,2e-14,50.7,0.1,GCA_000091205.1
BAM80434.1, -, PTHR12848.orig.30.pi, -,9.3e-16,55.1,5.4,1.4e-15,54.5,5.4,GCA_000091205.1
BAM79080.1, -, PTHR12848.orig.30.pi, -,3.2e-15,53.4,0.0,1.4e-13,48.0,0.0,GCA_000091205.1
BAM79070.1, -, PTHR12848.orig.30.pi, -,2.2e-13,47.3,0.6,8.1e-13,45.4,0.6,GCA_000091205.1
BAM79217.1, -, PTHR12848.orig.30.pi, -,4e-13,46.4,0.0,6e-08,29.3,0.0,GCA_000091205.1
BAM79274.1, -, PTHR12848.orig.30.pi, -,1e-12,45.1,0.3,1.2e-05,21.7,0.0,GCA_000091205.1
BAM82111.1, -, PTHR12848.orig.30.pi, -,1.1e-12,45.0,0.2,2.8e-12,43.6,0.2,GCA_000091205.1
BAM80140.1, -, PTHR12848.orig.30.pi, -,1.8e-12,44.3,0.2,2.1e-12,44.1,0.2,GCA_000091205.1
BAM80772.1, -, PTHR12848.orig.30.pi, -,2.3e-12,43.9,0.0,2.9e-12,43.6,0.0,GCA_000091205.1
BAM83516.1, -, PTHR12848.orig.30.pi, -,4.9e-12,42.8,0.0,7.5e-12,42.2,0.0,GCA_000091205.1
BAM82487.1, -, PTHR12848.orig.30.pi, -,8e-12,42.1,0.1,9.9e-08,28.6,0.0,GCA_000091205.1
BAM79904.1, -, PTHR12848.orig.30.pi, -,1e-11,41.8,0.1,2.2e-05,20.8,0.0,GCA_000091205.1
BAM79796.1, -, PTHR12848.orig.30.pi, -,1.7e-11,41.0,11.0,4.7e-11,39.6,11.0,GCA_000091205.1
BAM80105.1, -, PTHR12848.orig.30.pi, -,3.1e-11,40.2,0.0,1.4e-08,31.4,0.1,GCA_000091205.1
BAM79287.1, -, PTHR12848.orig.30.pi, -,4e-11,39.8,0.0,5.1e-11,39.5,0.0,GCA_000091205.1
BAM82815.1, -, PTHR12848.orig.30.pi, -,8.6e-11,38.7,0.0,1.2e-10,38.3,0.0,GCA_000091205.1
BAM80712.1, -, PTHR12848.orig.30.pi, -,1.6e-10,37.8,5.4,4.8e-07,26.3,1.7,GCA_000091205.1
BAM80018.1, -, PTHR12848.orig.30.pi, -,2.9e-10,37.0,0.0,6.1e-08,29.3,0.0,GCA_000091205.1
BAM81760.1, -, PTHR12848.orig.30.pi, -,3e-10,36.9,0.0,1.1e-05,21.8,0.0,GCA_000091205.1
BAM80080.1, -, PTHR12848.orig.30.pi, -,4.7e-10,36.3,0.0,5.3e-09,32.8,0.0,GCA_000091205.1
