tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
ACO55530.1, -, PTHR33149.orig.30.pi, -,1.6e-158,525.7,14.1,9e-159,525.4,14.1,GCA_000090985.2
ACO55561.1, -, PTHR33149.orig.30.pi, -,1.6e-158,525.7,14.1,9e-159,525.4,14.1,GCA_000090985.2
ACO55528.1, -, PTHR33149.orig.30.pi, -,1.9e-149,495.9,2.8,6e-150,495.0,2.8,GCA_000090985.2
ACO50762.1, -, PTHR33149.orig.30.pi, -,2.8e-158,524.9,14.0,3e-159,524.7,14.0,GCA_000151265.1
ACO50766.1, -, PTHR33149.orig.30.pi, -,2.8e-158,524.9,14.0,3e-159,524.7,14.0,GCA_000151265.1
CAL53234.1, -, PTHR33149.orig.30.pi, -,0.039,11.6,0.0,0.052,11.2,0.0,GCA_000214015.2
KFM28256.1, -, PTHR33149.orig.30.pi, -,0.074,10.6,1.3,0.085,10.4,1.3,GCA_000733215.1
KXZ49734.1, -, PTHR33149.orig.30.pi, -,0.11,11.2,0.0,0.13,11.0,0.0,GCA_001584585.1
OUS44431.1, -, PTHR33149.orig.30.pi, -,8.6e-145,480.3,11.0,2e-144,479.1,11.0,GCA_002158475.1
OUS44442.1, -, PTHR33149.orig.30.pi, -,8.6e-145,480.3,11.0,2e-144,479.1,11.0,GCA_002158475.1
OUS44168.1, -, PTHR33149.orig.30.pi, -,0.041,11.6,0.0,0.055,11.2,0.0,GCA_002158475.1
CCO65908.1, -, PTHR33149.orig.30.pi, -,1.1e-158,525.9,14.1,2e-159,525.7,14.1,GCA_002220235.1
CCO65891.1, -, PTHR33149.orig.30.pi, -,1.2e-149,496.2,2.2,3e-150,495.3,2.2,GCA_002220235.1
KAF5830668.1, -, PTHR33149.orig.30.pi, -,8.2e-23,80.8,0.0,9e-17,61.0,0.0,GCA_002284615.2
KAF5840513.1, -, PTHR33149.orig.30.pi, -,3.8e-13,49.1,0.0,3.9e-13,49.0,0.0,GCA_002284615.2
RMZ53028.1, -, PTHR33149.orig.30.pi, -,0.054,10.8,1.5,0.065,10.5,1.5,GCA_003709365.1
KAF6262883.1, -, PTHR33149.orig.30.pi, -,2e-05,23.6,0.5,2e-05,23.6,0.5,GCA_014080715.1
KAF6255037.1, -, PTHR33149.orig.30.pi, -,1.5,7.6,8.9,0.29,9.9,1.4,GCA_014080715.1
KAF6256103.1, -, PTHR33149.orig.30.pi, -,8.2,5.1,11.4,1.0,8.1,3.1,GCA_014080715.1
KAF8054424.1, -, PTHR33149.orig.30.pi, -,1.3e-162,538.6,12.1,5e-163,538.3,12.1,GCA_014905635.1
KAF8054425.1, -, PTHR33149.orig.30.pi, -,1.3e-162,538.6,12.1,5e-163,538.3,12.1,GCA_014905635.1
KAF8054440.1, -, PTHR33149.orig.30.pi, -,7.2e-144,477.0,12.6,8e-145,476.7,12.6,GCA_014905635.1
KAG2438278.1, -, PTHR33149.orig.30.pi, -,0.072,11.8,0.0,0.08,11.7,0.0,GCA_016834595.1
KAG2425841.1, -, PTHR33149.orig.30.pi, -,2.2,7.0,4.2,0.71,8.6,0.6,GCA_016834605.1
KAG2488779.1, -, PTHR33149.orig.30.pi, -,0.048,12.7,0.0,0.057,12.5,0.0,GCA_016858145.1
BDA51763.1, -, PTHR33149.orig.30.pi, -,7e-145,481.1,11.2,9e-146,480.7,11.2,GCA_020887355.1
BDA51909.1, -, PTHR33149.orig.30.pi, -,8.1e-68,227.9,4.7,1e-67,227.6,4.7,GCA_020887355.1
BDA51905.1, -, PTHR33149.orig.30.pi, -,3.3e-19,68.3,0.0,3.6e-19,68.2,0.0,GCA_020887355.1
BDA51906.1, -, PTHR33149.orig.30.pi, -,1.1e-14,53.4,0.1,1.1e-14,53.4,0.1,GCA_020887355.1
BDA51911.1, -, PTHR33149.orig.30.pi, -,1.1e-12,46.9,0.1,1.1e-12,46.9,0.1,GCA_020887355.1
BDA51785.1, -, PTHR33149.orig.30.pi, -,1.2e-09,36.9,0.0,1.3e-09,36.8,0.0,GCA_020887355.1
BDA51902.1, -, PTHR33149.orig.30.pi, -,1.3e-07,30.2,0.1,1.3e-07,30.2,0.1,GCA_020887355.1
BDA51900.1, -, PTHR33149.orig.30.pi, -,0.0022,16.3,0.0,0.0026,16.1,0.0,GCA_020887355.1
KAI3423569.1, -, PTHR33149.orig.30.pi, -,1.8e-164,545.4,11.9,2e-165,545.1,11.9,GCA_023343905.1
KAI3423572.1, -, PTHR33149.orig.30.pi, -,3.7e-142,472.1,12.0,6e-143,471.8,12.0,GCA_023343905.1
KAI8112840.1, -, PTHR33149.orig.30.pi, -,0.029,12.0,1.0,0.049,11.2,1.0,GCA_025209345.1
KAI8113747.1, -, PTHR33149.orig.30.pi, -,0.028,12.0,1.0,0.048,11.2,1.0,GCA_025209375.1
GLC44282.1, -, PTHR33149.orig.30.pi, -,0.066,11.8,0.0,0.072,11.7,0.0,GCA_030267485.1
GLC53541.1, -, PTHR33149.orig.30.pi, -,0.071,11.8,0.0,0.077,11.7,0.0,GCA_030267565.1
GLC65760.1, -, PTHR33149.orig.30.pi, -,0.066,11.8,0.0,0.072,11.7,0.0,GCA_030267705.1
WIA13747.1, -, PTHR33149.orig.30.pi, -,0.096,11.4,0.0,0.26,10.0,0.0,GCA_030272055.1
WIA28572.1, -, PTHR33149.orig.30.pi, -,0.1,11.3,0.0,0.21,10.3,0.0,GCA_030272155.1
BEI31767.1, -, PTHR33149.orig.30.pi, -,3.3e-162,538.3,12.8,8e-163,538.1,12.8,GCA_030272585.1
BEI31720.1, -, PTHR33149.orig.30.pi, -,7.8e-140,464.8,11.1,3e-141,464.5,11.1,GCA_030272585.1
WPT18814.1, -, PTHR33149.orig.30.pi, -,8.1e-163,539.2,11.4,9e-164,538.9,11.4,GCA_034226945.1
WPT18742.1, -, PTHR33149.orig.30.pi, -,4.8e-143,474.2,9.8,1e-144,473.9,9.8,GCA_034226945.1
WPT13769.1, -, PTHR33149.orig.30.pi, -,0.088,10.2,1.0,0.16,9.3,1.0,GCA_034226945.1
KAK9843769.1, -, PTHR33149.orig.30.pi, -,0.0042,15.1,0.2,0.0064,14.5,0.2,GCA_040144335.1
KAK9843770.1, -, PTHR33149.orig.30.pi, -,0.0069,14.4,0.2,0.011,13.8,0.2,GCA_040144335.1
KAL3156086.1, -, PTHR33149.orig.30.pi, -,6.1e-165,547.5,11.9,1e-166,547.2,11.9,GCA_045269315.1
CAG9462901.1, -, PTHR33149.orig.30.pi, -,0.093,10.4,0.0,0.13,10.0,0.0,GCA_916048055.1
CAL5225721.1, -, PTHR33149.orig.30.pi, -,9.7e-162,536.5,11.9,2e-162,536.2,11.9,GCA_964019345.2
