"","Accn","tar","tid","qry","qid","eva","sca","bia","evd","scd","bid","Source","Super.Group","Organism_Taxonomic_ID","Organism.Name"
"1","GCA_022201065.1","KAH9736843.1"," -"," PTHR12848.orig.30.pi"," -",0,1666.1,0,0,1665.8,0,"NCBI","Streptophyta",2711,"Citrus sinensis"
"2","GCA_003032435.1","PTQ49812.1"," -"," PTHR12848.orig.30.pi"," -",0,1570.7,0,0,1570.3,0,"NCBI","Streptophyta",3197,"Marchantia polymorpha"
"3","GCA_014871385.1","KAG0566272.1"," -"," PTHR12848.orig.30.pi"," -",0,1563.1,0,0,1562.7,0,"NCBI","Streptophyta",3225,"Ceratodon purpureus"
"4","GCA_014871845.1","KAG0610225.1"," -"," PTHR12848.orig.30.pi"," -",0,1563.1,0,0,1562.7,0,"NCBI","Streptophyta",3225,"Ceratodon purpureus"
"5","GCA_030272615.1","GLJ38519.1"," -"," PTHR12848.orig.30.pi"," -",0,1614.6,0,0,1614.1,0,"NCBI","Streptophyta",3369,"Cryptomeria japonica"
"6","GCA_029852735.1","KAJ8647716.1"," -"," PTHR12848.orig.30.pi"," -",0,1609.8,0,0,1609.4,0,"NCBI","Streptophyta",3435,"Persea americana"
"7","GCA_003573695.1","RZC55824.1"," -"," PTHR12848.orig.30.pi"," -",0,1622.5,0,0,1622.1,0,"NCBI","Streptophyta",3469,"Papaver somniferum"
"8","GCA_002914805.1","PON53561.1"," -"," PTHR12848.orig.30.pi"," -",0,1624.4,0,0,1624.2,0,"NCBI","Streptophyta",3476,"Parasponia andersonii"
"9","GCA_013030025.1","KAF4393926.1"," -"," PTHR12848.orig.30.pi"," -",0,1636.6,0,0,1636.3,0,"NCBI","Streptophyta",3483,"Cannabis sativa"
"10","GCA_033242285.1","GMN40502.1"," -"," PTHR12848.orig.30.pi"," -",0,1122.9,0,0,1122.6,0,"NCBI","Streptophyta",3494,"Ficus carica"
"11","GCA_035136125.1","KAK4582249.1"," -"," PTHR12848.orig.30.pi"," -",0,1659.4,0,0,1659,0,"NCBI","Streptophyta",3512,"Quercus rubra"
"12","GCA_000511025.2","KMT06601.1"," -"," PTHR12848.orig.30.pi"," -",0,1615.8,0,0,1615.4,0,"NCBI","Streptophyta",3555,"Beta vulgaris subsp. vulgaris"
"13","GCA_000510995.2","KNA04893.1"," -"," PTHR12848.orig.30.pi"," -",0,1608.3,0,0,1607.9,0,"NCBI","Streptophyta",3562,"Spinacia oleracea"
"14","GCA_040167595.1","KAK9734343.1"," -"," PTHR12848.orig.30.pi"," -",0,1578.6,0,0,1578.2,0,"NCBI","Streptophyta",3572,"Saponaria officinalis"
"15","GCA_008761655.1","KAB2008878.1"," -"," PTHR12848.orig.30.pi"," -",0,1668.6,0,0,1668.2,0,"NCBI","Streptophyta",3634,"Gossypium barbadense"
"16","GCA_007990345.1","KAG4125777.1"," -"," PTHR12848.orig.30.pi"," -",0,1664.4,0,0,1664,0,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"17","GCA_038405125.1","KAK8275322.1"," -"," PTHR12848.orig.30.pi"," -",0,1664.4,0,0,1664,0,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"18","GCA_040938325.1","KAL1077976.1"," -"," PTHR12848.orig.30.pi"," -",0,1664.4,0,0,1664,0,"NCBI","Streptophyta",3635,"Gossypium hirsutum"
"19","GCA_000403535.1","EOY04526.1"," -"," PTHR12848.orig.30.pi"," -",0,1656.6,0,0,1656.1,0,"NCBI","Streptophyta",3641,"Theobroma cacao"
"20","GCA_036851155.1","KAK6279608.1"," -"," PTHR12848.orig.30.pi"," -",0,1656.6,0,0,1656.1,0,"NCBI","Streptophyta",3641,"Theobroma cacao"
"21","GCA_040436765.1","KAL0544815.1"," -"," PTHR12848.orig.30.pi"," -",0,1649.5,0,0,1649.1,0,"NCBI","Streptophyta",3656,"Cucumis melo"
"22","GCA_000004075.3","KGN54429.1"," -"," PTHR12848.orig.30.pi"," -",0,1650.8,0,0,1650.4,0,"NCBI","Streptophyta",3659,"Cucumis sativus"
"23","GCA_024362645.1","KAI5584623.1"," -"," PTHR12848.orig.30.pi"," -",0,1641.4,0,0,1641,0,"NCBI","Streptophyta",3694,"Populus trichocarpa"
"24","GCA_015852605.2","KAH8484758.1"," -"," PTHR12848.orig.30.pi"," -",0,1617.7,0,0,1617.3,0,"NCBI","Streptophyta",3696,"Populus deltoides"
"25","GCA_902651935.1","VYS56726.1"," -"," PTHR12848.orig.30.pi"," -",0,1628.6,0,0,1628.2,0,"NCBI","Streptophyta",3702,"Arabidopsis thaliana"
"26","GCA_020379485.1","KAH0891124.1"," -"," PTHR12848.orig.30.pi"," -",0,1615,0,0,1614.5,0,"NCBI","Streptophyta",3708,"Brassica napus"
"27","GCA_003434825.1","RID71362.1"," -"," PTHR12848.orig.30.pi"," -",0,1616.7,0,0,1616.3,0,"NCBI","Streptophyta",3711,"Brassica rapa"
"28","GCA_000801105.3","KAJ4898281.1"," -"," PTHR12848.orig.30.pi"," -",0,1617.3,0,0,1616.9,0,"NCBI","Streptophyta",3726,"Raphanus sativus"
"29","GCA_012274485.2","KAF8098807.1"," -"," PTHR12848.orig.30.pi"," -",0,1614.2,0,0,1613.8,0,"NCBI","Streptophyta",3728,"Sinapis alba"
"30","GCA_004115385.1","RXH81959.1"," -"," PTHR12848.orig.30.pi"," -",0,1629.5,0,0,1629.1,0,"NCBI","Streptophyta",3750,"Malus domestica"
