tar,tid,qry,qid,eva,sca,bia,evd,scd,bid,Accn
EAY12056.1, -, PTHR13335.orig.30.pi, -,3.8e-05,24.6,31.2,5.1e-05,24.1,31.2,GCA_000002825.3
EAY18499.1, -, PTHR13335.orig.30.pi, -,0.00014,22.7,10.7,0.00014,22.7,10.7,GCA_000002825.3
EAY07391.1, -, PTHR13335.orig.30.pi, -,0.074,13.7,21.9,0.1,13.2,21.9,GCA_000002825.3
EAX90479.1, -, PTHR13335.orig.30.pi, -,0.59,10.7,22.8,0.66,10.6,22.8,GCA_000002825.3
EAY22110.1, -, PTHR13335.orig.30.pi, -,3.5,8.2,32.8,4.2,7.9,32.8,GCA_000002825.3
EAX75333.1, -, PTHR13335.orig.30.pi, -,4.5,7.8,29.6,5.5,7.5,29.6,GCA_000002825.3
EAX75655.1, -, PTHR13335.orig.30.pi, -,9.9,6.7,32.0,13.0,6.3,32.0,GCA_000002825.3
EFO65336.1, -, PTHR13335.orig.30.pi, -,0.12,9.5,23.6,0.15,9.1,23.6,GCA_000182665.1
ESU36749.1, -, PTHR13335.orig.30.pi, -,0.27,8.3,20.8,0.34,8.0,20.8,GCA_000498715.1
KAH7831004.1, -, PTHR13335.orig.30.pi, -,5.6e-10,38.8,7.4,5.6e-10,38.8,7.4,GCA_001643675.2
KAH7831928.1, -, PTHR13335.orig.30.pi, -,2.5e-09,36.7,14.3,2.5e-09,36.7,14.3,GCA_001643675.2
KAH7825627.1, -, PTHR13335.orig.30.pi, -,5.9e-07,28.8,0.0,5.9e-07,28.8,0.0,GCA_001643675.2
KAH7825415.1, -, PTHR13335.orig.30.pi, -,1.4e-06,27.6,30.4,7.5e-05,21.9,6.6,GCA_001643675.2
KAH7817493.1, -, PTHR13335.orig.30.pi, -,1.9e-06,27.1,16.9,1.9e-06,27.1,16.9,GCA_001643675.2
KAH7821029.1, -, PTHR13335.orig.30.pi, -,5.5e-06,25.6,0.4,5.5e-06,25.6,0.4,GCA_001643675.2
KAH7825143.1, -, PTHR13335.orig.30.pi, -,5.7e-06,25.6,0.1,5.7e-06,25.6,0.1,GCA_001643675.2
KAH7829660.1, -, PTHR13335.orig.30.pi, -,2.2e-05,23.6,7.1,2.3e-05,23.5,7.1,GCA_001643675.2
KAH7819328.1, -, PTHR13335.orig.30.pi, -,3.4e-05,23.0,0.1,3.4e-05,23.0,0.1,GCA_001643675.2
KAH7823231.1, -, PTHR13335.orig.30.pi, -,3.7e-05,22.9,8.6,3.7e-05,22.9,8.6,GCA_001643675.2
KAH7816950.1, -, PTHR13335.orig.30.pi, -,5e-05,22.5,33.9,0.002,17.2,11.3,GCA_001643675.2
KAH7827363.1, -, PTHR13335.orig.30.pi, -,9e-05,21.6,0.0,9e-05,21.6,0.0,GCA_001643675.2
KAH7828888.1, -, PTHR13335.orig.30.pi, -,0.00012,21.3,11.4,0.00015,20.9,11.4,GCA_001643675.2
KAH7828248.1, -, PTHR13335.orig.30.pi, -,0.00014,21.0,7.8,0.00014,21.0,7.8,GCA_001643675.2
KAH7823306.1, -, PTHR13335.orig.30.pi, -,0.00016,20.8,19.7,0.00016,20.8,19.7,GCA_001643675.2
KAH7819193.1, -, PTHR13335.orig.30.pi, -,0.00016,20.8,8.7,0.00016,20.8,8.7,GCA_001643675.2
KAH7814900.1, -, PTHR13335.orig.30.pi, -,0.00019,20.6,6.0,0.00022,20.3,6.0,GCA_001643675.2
KAH7825582.1, -, PTHR13335.orig.30.pi, -,0.00022,20.4,5.6,0.00022,20.4,5.6,GCA_001643675.2
KAH7825873.1, -, PTHR13335.orig.30.pi, -,0.00024,20.2,32.1,0.00035,19.7,32.1,GCA_001643675.2
KAH7815777.1, -, PTHR13335.orig.30.pi, -,0.00027,20.0,28.4,0.00027,20.0,28.4,GCA_001643675.2
KAH7831260.1, -, PTHR13335.orig.30.pi, -,0.00045,19.3,7.0,0.00045,19.3,7.0,GCA_001643675.2
KAH7819011.1, -, PTHR13335.orig.30.pi, -,0.00058,18.9,0.0,0.00058,18.9,0.0,GCA_001643675.2
KAH7822488.1, -, PTHR13335.orig.30.pi, -,0.0008,18.5,1.3,0.0008,18.5,1.3,GCA_001643675.2
KAH7819484.1, -, PTHR13335.orig.30.pi, -,0.00084,18.4,18.8,0.00084,18.4,18.8,GCA_001643675.2
KAH7823225.1, -, PTHR13335.orig.30.pi, -,0.00086,18.4,0.7,0.00086,18.4,0.7,GCA_001643675.2
KAH7820786.1, -, PTHR13335.orig.30.pi, -,0.001,18.2,60.0,0.0058,15.6,6.0,GCA_001643675.2
KAH7820861.1, -, PTHR13335.orig.30.pi, -,0.001,18.1,0.9,0.001,18.1,0.9,GCA_001643675.2
KAH7825356.1, -, PTHR13335.orig.30.pi, -,0.0014,17.7,15.0,0.0014,17.7,15.0,GCA_001643675.2
KAH7822160.1, -, PTHR13335.orig.30.pi, -,0.0015,17.6,6.2,0.0015,17.6,6.2,GCA_001643675.2
KAH7814787.1, -, PTHR13335.orig.30.pi, -,0.0015,17.5,4.4,0.0015,17.5,4.4,GCA_001643675.2
KAH7827419.1, -, PTHR13335.orig.30.pi, -,0.0016,17.5,10.4,0.0016,17.5,10.4,GCA_001643675.2
KAH7832004.1, -, PTHR13335.orig.30.pi, -,0.0027,16.7,23.0,0.0027,16.7,23.0,GCA_001643675.2
